date,USDCHF,USDJPY,USDCAD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,GBPCAD,GBPAUD,EURJPY,NZDJPY,empty,sum
2015.11.23,-24.000000000001798,-75.00000000000284,-164.99999999999292,33.000000000005244,-138.0000000000159,4.999999999988347,75.00000000000284,32.999999999994145,-239.00000000001143,-218.00000000000708,50.99999999998772,16.000000000005343,,-646.0000000000483
2015.11.23,18.999999999991246,-49.000000000006594,-116.00000000000499,11.00000000000545,-69.00000000000794,14.999999999987246,103.9999999999992,29.000000000001247,-138.0000000000159,-274.9999999999808,96.00000000000364,-15.999999999991132,,-389.0000000000193
2015.11.23,-42.999999999993044,-61.99999999999761,-235.00000000000742,-41.9999999999976,-255.00000000000523,9.999999999998899,57.00000000000216,29.000000000001247,-424.99999999998647,-355.0000000000164,16.999999999995907,-72.99999999999329,,-1376.999999999999
2015.11.23,-62.000000000006494,-106.99999999999932,-300.99999999999574,-161.99999999999548,-235.00000000000742,51.000000000001044,87.0000000000033,53.999999999998494,-463.0000000000134,-450.9999999999792,79.00000000000773,-194.99999999999318,,-1704.9999999999795
2015.11.23,-76.99999999999375,-138.00000000000523,-310.0000000000103,-232.99999999999432,-229.00000000001253,1.0000000000065512,96.00000000000364,48.000000000003595,-431.0000000000258,-505.99999999998425,38.99999999998727,-265.00000000000057,,-2005.000000000026
2015.11.23,-32.0000000000098,-162.00000000000614,-290.00000000001245,-253.0000000000032,-161.99999999999548,-2.999999999997449,174.0000000000066,68.00000000000139,-383.0000000000222,-734.0000000000124,103.00000000000864,-271.0000000000008,,-1945.0000000000437
2015.11.23,-15.999999999993797,-123.99999999999523,-422.00000000001125,-231.0000000000034,-133.00000000000534,-39.999999999995595,153.99999999999636,156.99999999999602,-594.99999999999,-944.0000000000115,56.99999999998795,-268.99999999999125,,-2406.000000000017
2015.11.23,-154.99999999999403,-281.0000000000059,-547.999999999993,-329.00000000000153,-182.0000000000155,-103.00000000000864,146.0000000000008,126.99999999999933,-584.0000000000067,-1119.0000000000034,-36.000000000001364,-287.9999999999967,,-3352.0000000000264
2015.11.23,-146.00000000000168,-349.00000000000375,-651.0000000000016,-443.99999999999994,-120.00000000000898,-170.00000000000347,222.99999999999898,190.99999999999673,-669.9999999999928,-1603.0000000000211,-25.000000000005684,-384.00000000000034,,-4148.000000000043
2015.11.23,-225.99999999999287,-415.00000000000625,-639.0000000000118,-478.0000000000006,-243.00000000001543,-80.99999999999774,195.99999999999795,122.99999999999534,-642.9999999999936,-1649.0000000000116,43.00000000000637,-381.9999999999908,,-4394.000000000022
2015.11.23,-123.99999999999079,-331.00000000000307,-609.9999999999994,-409.0000000000038,-131.00000000001444,-117.00000000001154,228.9999999999992,183.99999999999528,-662.0000000000292,-1388.999999999996,43.00000000000637,-350.9999999999991,,-3668.0000000000464
2015.11.23,-129.00000000000134,-341.0000000000082,-639.0000000000118,-415.99999999999415,-138.0000000000159,-127.00000000001043,231.99999999999932,195.9999999999962,-709.0000000000263,-1475.9999999999884,36.000000000001364,-359.99999999999943,,-3871.000000000059
2015.11.23,-154.99999999999403,-370.00000000000455,-653.999999999999,-419.00000000000273,-171.00000000001003,-112.000000000001,231.99999999999932,185.00000000000182,-734.0000000000124,-1589.9999999999802,51.9999999999925,-338.99999999999864,,-4075.0000000000086
2015.11.23,-154.99999999999403,-381.0000000000002,-615.9999999999943,-422.00000000000017,-187.00000000000384,-92.00000000000318,240.99999999999966,163.00000000000205,-697.9999999999986,-1487.9999999999782,90.00000000000341,-335.9999999999985,,-3880.999999999966
2015.11.23,-120.00000000000898,-362.99999999999955,-617.0000000000009,-373.99999999999653,-182.99999999999983,-87.99999999999919,266.9999999999959,188.9999999999947,-763.0000000000248,-1519.0000000000036,115.0000000000091,-288.99999999998727,,-3745.000000000021
2015.11.23,-154.0000000000097,-409.9999999999966,-712.0000000000015,-419.9999999999982,-172.0000000000166,-93.00000000000975,272.00000000000557,219.00000000000253,-824.9999999999868,-1602.0000000000146,117.999999999995,-314.9999999999977,,-4094.000000000028
2015.11.23,-157.00000000000713,-346.00000000000364,-635.9999999999922,-390.0000000000015,-218.00000000000708,-59.99999999999339,215.0000000000034,175.00000000000293,-757.999999999992,-1585.9999999999986,93.99999999999409,-313.99999999999295,,-3980.999999999988
2015.11.23,-151.9999999999966,-375.0,-639.9999999999961,-459.99999999999375,-229.99999999999687,-46.999999999997044,242.999999999995,178.00000000000037,-784.0000000000291,-1726.9999999999895,141.9999999999959,-390.00000000000057,,-4242.000000000008
2015.11.23,-48.000000000003595,-347.0000000000084,-673.0000000000125,-498.9999999999939,198.99999999999363,-117.00000000001154,335.9999999999985,275.000000000003,-479.99999999999153,-1440.000000000019,150.00000000000568,-453.9999999999935,,-3098.0000000000337
