date,USDCHF,USDJPY,USDCAD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,GBPCAD,GBPAUD,EURJPY,NZDJPY,empty,sum
2015.11.23,-39.00000000001125,-90.00000000000341,-184.00000000000637,-10.999999999994348,-151.00000000001222,-4.000000000004,-6.000000000000227,-21.00000000000435,-267.0000000000172,-256.99999999999613,-2.0000000000095497,-6.999999999990791,,-1039.00000000005
2015.11.23,-42.999999999993044,-76.99999999999818,-174.00000000000747,-0.999999999995449,-178.99999999999582,-5.999999999994898,25.99999999999625,-19.999999999997797,-255.00000000002743,-293.0000000000099,10.99999999999568,-24.00000000000091,,-1035.000000000029
2015.11.23,-49.99999999999449,-82.99999999999841,-235.00000000000742,-46.999999999997044,-266.999999999995,-4.000000000004,31.999999999996476,4.000000000004,-424.99999999998647,-446.9999999999974,7.000000000005002,-77.99999999998875,,-1592.9999999999632
2015.11.23,-69.9999999999923,-115.99999999999966,-316.0000000000052,-171.99999999999437,-294.0000000000165,8.000000000008,54.000000000002046,26.999999999999247,-525.0000000000199,-455.0000000000054,13.00000000000523,-212.99999999999386,,-2059.0000000000127
2015.11.23,-86.99999999999264,-143.00000000000068,-317.9999999999961,-251.00000000000122,-256.99999999999613,-15.999999999993797,81.00000000000307,36.0000000000027,-496.00000000000756,-514.9999999999987,12.000000000000455,-287.9999999999967,,-2241.9999999999777
2015.11.23,-85.00000000000173,-174.99999999999716,-350.00000000000585,-310.9999999999946,-229.99999999999687,-15.00000000000945,97.99999999999898,43.00000000000415,-443.0000000000156,-764.9999999999934,24.00000000000091,-342.9999999999893,,-2552.0
2015.11.23,-62.99999999999084,-167.0000000000016,-422.00000000001125,-282.99999999999994,-185.00000000001293,-45.000000000006146,126.99999999999534,65.99999999999939,-594.99999999999,-966.9999999999845,38.000000000010914,-309.99999999998806,,-2805.9999999999795
2015.11.23,-181.00000000000892,-322.00000000000273,-591.0000000000082,-402.00000000000233,-202.00000000001327,-150.00000000000568,117.00000000000443,114.99999999999844,-687.0000000000153,-1318.9999999999814,-72.00000000000273,-384.9999999999909,,-4079.000000000028
2015.11.23,-226.99999999999943,-364.0000000000043,-687.9999999999998,-473.0000000000012,-209.9999999999991,-178.00000000001148,120.99999999999511,119.00000000000244,-708.0000000000198,-1610.9999999999848,-121.00000000000932,-416.9999999999874,,-4757.000000000019
2015.11.23,-258.0000000000027,-433.9999999999975,-709.0000000000041,-536.0000000000032,-249.99999999999466,-174.99999999999181,147.99999999999613,116.00000000000499,-692.0000000000038,-1960.0000000000061,-66.0000000000025,-450.9999999999934,,-5266.999999999999
