,name,direction
0,USDCHF,S
1,GBPUSD,B
2,EURUSD,B
3,USDCAD,S
4,AUDUSD,B
5,NZDUSD,B
6,CADCHF,B
7,NZDCHF,B
8,GBPJPY,B
9,GBPAUD,B
10,EURJPY,B
11,EURCAD,S
12,EURAUD,S
13,EURNZD,S
14,AUDJPY,B
15,NZDJPY,B
16,NZDCAD,B
17,AUDNZD,S
