date,USDCAD,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,CADJPY,NZDJPY,AUDCAD,empty,sum
2021.05.17,0.0,0.0,-30.000000000007798,-201.99999999999818,-38.99999999998904,-8.000000000008,-76.99999999999818,-180.0000000000024,-141.00000000000534,-238.9999999999901,0.0,,-915.9999999999991
2021.05.17,32.999999999994145,69.9999999999923,66.99999999999484,-78.00000000000296,97.00000000001374,70.99999999999883,-72.00000000000273,26.999999999999247,-120.00000000000455,-280.9999999999917,102.99999999999754,,-83.00000000001127
2021.05.17,-2.0000000000131024,130.99999999999224,66.99999999999484,-301.9999999999925,76.0000000000094,29.999999999996696,-240.0000000000091,-1.0000000000065512,-246.9999999999999,-359.99999999999943,143.9999999999997,,-704.0000000000277
2021.05.17,28.999999999990145,202.9999999999976,148.99999999999915,-300.9999999999877,165.00000000001512,62.99999999999084,-251.00000000000477,156.99999999998494,-242.00000000000443,-343.9999999999941,240.99999999999122,,-131.00000000002197
2021.05.17,73.99999999999629,200.99999999999562,148.99999999999915,-325.9999999999934,241.00000000000233,43.999999999999595,-270.9999999999866,205.99999999999508,-219.99999999999886,-349.9999999999943,300.99999999999574,,49.00000000001063
2021.05.17,63.99999999999739,180.99999999999784,147.99999999999258,-356.9999999999993,233.00000000001654,79.99999999999119,-316.0000000000025,203.99999999998198,-243.99999999999977,-348.99999999998954,258.9999999999981,,-97.00000000001546
2021.05.17,85.00000000000173,95.99999999999609,151.00000000000114,-359.9999999999852,179.00000000001802,160.99999999998892,-318.9999999999884,173.00000000000094,-265.00000000000057,-337.99999999999386,137.9999999999937,,-298.99999999996754
2021.05.17,141.99999999999767,69.9999999999923,118.99999999999133,-308.9999999999975,182.0000000000155,326.9999999999884,-240.0000000000091,131.99999999999878,-240.0000000000091,-273.9999999999867,107.99999999999699,,16.99999999997857
2021.05.17,166.99999999998383,46.00000000000159,139.99999999999568,-233.0000000000041,199.00000000001583,312.9999999999855,-167.0000000000016,143.99999999998857,-190.00000000001194,-239.99999999999488,100.00000000000009,,278.99999999995873
2021.05.17,136.99999999998712,41.9999999999976,127.99999999999478,-150.99999999998204,179.00000000001802,308.9999999999815,-97.99999999998477,136.99999999998712,-154.00000000001057,-176.9999999999925,136.99999999999824,,488.9999999999946
2021.05.17,232.99999999999432,0.999999999995449,145.9999999999906,-94.99999999999886,219.99999999999798,405.9999999999952,-66.0000000000025,210.99999999998343,-81.00000000000307,-176.9999999999925,85.99999999999719,,883.9999999999573
2021.05.17,183.99999999998417,29.999999999996696,139.00000000000023,-117.999999999995,223.00000000001762,363.0000000000022,-76.99999999999818,179.99999999998016,-97.99999999999898,-128.0000000000001,114.99999999999844,,812.9999999999873
2021.05.17,187.99999999998818,41.9999999999976,128.99999999999022,-98.99999999998954,217.0000000000005,400.00000000000034,-45.99999999999227,181.9999999999933,-92.00000000001296,-57.999999999992724,102.99999999999754,,965.9999999999801
2021.05.17,222.99999999999542,0.0,119.99999999999788,-127.9999999999859,287.9999999999994,502.9999999999868,-54.000000000002046,197.99999999998707,-76.00000000000762,-10.99999999999568,78.99999999999574,,1141.999999999971
2021.05.17,207.00000000000162,-6.0000000000060005,105.99999999999498,-189.99999999999773,261.0000000000001,583.9999999999845,-79.00000000000773,164.99999999999292,-117.00000000000443,-35.99999999998715,17.999999999995797,,912.9999999999669
2021.05.17,175.99999999999838,-11.00000000000545,112.000000000001,-183.9999999999975,216.00000000001617,529.0000000000017,-81.99999999999363,141.99999999999767,-135.00000000000512,-24.999999999991473,12.999999999996348,,751.0000000000182
2021.05.17,125.99999999998168,20.999999999993246,105.99999999999498,-157.99999999998704,148.99999999999915,474.999999999981,-68.9999999999884,68.99999999998573,-172.00000000001125,-56.99999999998795,36.999999999998145,,526.9999999999594
2021.05.17,139.9999999999846,12.000000000000899,101.99999999999099,-118.99999999999977,150.00000000000568,468.9999999999861,-25.999999999982037,63.99999999999739,-134.00000000000034,-24.999999999991473,21.999999999999797,,654.9999999999917
2021.05.17,75.00000000000284,10.999999999994348,73.99999999999629,-91.99999999998454,177.00000000000495,515.9999999999832,28.999999999996362,35.999999999991594,-103.00000000000864,-12.999999999991019,21.999999999999797,,731.9999999999851
2021.05.17,-2.0000000000131024,34.99999999999615,35.999999999991594,-170.99999999999227,200.00000000000017,536.9999999999875,36.000000000001364,7.999999999985796,-130.00000000000966,-42.999999999992156,25.999999999992696,,531.999999999948
2021.05.17,-1.0000000000065512,-1.0000000000065512,18.999999999991246,-221.99999999998,215.00000000000963,563.9999999999867,3.0000000000143245,17.000000000000348,-115.99999999999966,-0.999999999990564,26.999999999999247,,504.00000000001825
2021.05.17,92.99999999998754,-41.9999999999976,31.999999999998696,-245.9999999999809,142.0000000000199,613.9999999999812,-8.99999999998613,92.99999999998754,-77.00000000001239,78.00000000000296,-48.99999999999905,,629.0000000000017
2021.05.17,92.00000000000318,12.000000000000899,59.99999999999339,-128.99999999999068,121.99999999999989,557.9999999999918,-40.99999999999682,87.99999999999919,-140.00000000000057,87.0000000000033,-30.000000000007798,,678.9999999999958
2021.05.17,54.99999999998284,5.999999999994898,109.99999999999899,-174.99999999998295,222.00000000001108,640.9999999999804,-97.99999999998477,135.9999999999806,-121.99999999999989,69.00000000000261,-18.0000000000069,,825.9999999999769
2021.05.17,61.99999999998429,-31.000000000003247,108.99999999999244,-133.99999999998613,219.99999999999798,594.99999999999,-67.00000000000728,167.9999999999904,-90.00000000000341,82.00000000000784,-6.0000000000060005,,907.9999999999568
