date,EURUSD,USDCAD,AUDUSD,NZDUSD,AUDCHF,AUDNZD,empty,sum
2019.05.06,-93.99999999999409,-8.999999999992347,-158.0000000000026,-150.00000000000568,-178.00000000000037,-209.9999999999991,,-798.9999999999942
2019.05.06,-165.9999999999995,0.0,-180.99999999999784,-115.00000000000954,-217.99999999999596,-157.99999999999147,,-837.9999999999943
2019.05.06,-200.00000000000017,-5.999999999994898,-273.9999999999965,-187.00000000000384,-300.99999999999574,-226.99999999999943,,-1194.9999999999905
2019.05.06,-293.0000000000099,-1.999999999990898,-306.00000000000625,-237.00000000000944,-322.9999999999955,-217.0000000000005,,-1378.0000000000125
2019.05.06,-276.00000000000955,-2.999999999997449,-297.9999999999983,-230.000000000008,-322.9999999999955,-252.99999999999213,,-1383.0000000000007
2019.05.06,-236.99999999999832,8.000000000008,-297.9999999999983,-213.00000000000762,-317.0000000000006,-241.99999999998667,,-1298.9999999999834
2019.05.06,-170.00000000000347,158.0000000000137,-80.99999999999774,-37.00000000000925,-134.99999999999625,-208.99999999999253,,-473.99999999998556
2019.05.06,-168.99999999999693,209.9999999999991,-36.0000000000027,-18.0000000000069,-80.00000000000229,-158.99999999999804,,-252.00000000000776
2019.05.06,-187.99999999998818,171.00000000001003,-109.00000000000354,-69.00000000000794,-87.99999999999919,-164.99999999999292,,-447.9999999999817
2019.05.06,-235.00000000000742,163.00000000000205,-168.99999999999693,-102.00000000000209,-171.99999999999437,-187.00000000000384,,-702.0000000000026
2019.05.06,-208.00000000000819,180.0000000000024,-141.00000000000225,-79.00000000000685,-146.00000000000168,-192.99999999999872,,-587.0000000000153
2019.05.06,-185.99999999999727,195.9999999999962,-97.9999999999981,-64.0000000000085,-87.99999999999919,-165.9999999999995,,-406.00000000000637
2019.05.06,-204.99999999998852,184.00000000000637,-102.00000000000209,-91.00000000000774,-91.99999999999208,-136.00000000000279,,-441.99999999998687
2019.05.06,-225.99999999999287,204.00000000000418,-89.00000000000574,-96.00000000000719,-70.99999999999883,-116.00000000000499,,-394.00000000000546
2019.05.06,-242.99999999999324,185.99999999999727,-126.99999999999933,-139.00000000000023,-64.99999999999284,-85.99999999998609,,-473.9999999999744
2019.05.06,-248.00000000000378,124.00000000001299,-267.00000000000614,-212.00000000000108,-234.99999999999633,-156.99999999998494,,-994.9999999999793
2019.05.06,-214.00000000000307,140.0000000000068,-239.99999999999577,-207.00000000000162,-231.99999999999886,-153.00000000000313,,-905.9999999999957
2019.05.06,-219.99999999999798,200.00000000000017,-219.99999999999798,-196.00000000000728,-217.0000000000005,-151.9999999999966,,-805.0000000000002
2019.05.06,-236.99999999999832,216.00000000001617,-246.99999999999721,-221.99999999999997,-239.0000000000003,-124.99999999999733,,-853.999999999977
2019.05.06,-229.99999999999687,301.0000000000179,-228.00000000000597,-216.0000000000051,-243.99999999999977,-109.99999999998789,,-726.9999999999777
2019.05.06,-222.99999999999542,157.00000000000713,-336.00000000000296,-247.00000000000833,-371.99999999999454,-217.99999999998488,,-1238.999999999979
2019.05.06,-226.99999999999943,157.00000000000713,-285.9999999999974,-201.00000000000674,-326.9999999999995,-205.99999999999508,,-1089.999999999991
2019.05.06,-215.00000000000963,148.00000000001478,-272.00000000000557,-200.00000000000017,-331.999999999999,-197.00000000000273,,-1068.0000000000023
2019.05.06,-204.00000000000418,163.00000000000205,-280.00000000000244,-186.00000000000838,-356.9999999999962,-221.00000000000452,,-1085.0000000000136
2019.05.06,-194.0000000000053,175.00000000001404,-261.0000000000001,-174.00000000000747,-354.9999999999942,-219.99999999999798,,-1028.9999999999911
2019.05.06,-242.99999999999324,162.00000000001768,-251.99999999999667,-173.00000000000094,-369.99999999999255,-227.99999999998377,,-1103.9999999999495
2019.05.06,-245.0000000000063,167.00000000000603,-239.99999999999577,-152.00000000000767,-378.00000000000057,-235.99999999999176,,-1083.9999999999961
2019.05.06,-275.000000000003,150.00000000000568,-258.9999999999981,-135.00000000000733,-441.99999999999795,-273.9999999999965,,-1234.9999999999973
2019.05.06,-324.9999999999975,107.00000000001265,-256.0000000000007,-124.00000000000189,-425.99999999999307,-323.99999999999096,,-1347.9999999999716
2019.05.06,-306.9999999999906,131.99999999999878,-248.99999999999923,-111.00000000000554,-430.9999999999925,-324.9999999999975,,-1290.9999999999866
2019.05.06,-323.0000000000066,141.00000000001333,-258.9999999999981,-108.00000000000809,-426.9999999999996,-354.9999999999942,,-1330.9999999999932
2019.05.06,-251.00000000000122,192.99999999999872,-246.00000000000176,-65.99999999999939,-432.9999999999945,-371.99999999999454,,-1174.9999999999927
2019.05.06,-157.99999999999147,273.0000000000121,-200.99999999999562,-25.00000000000835,-427.99999999999505,-374.999999999992,,-913.9999999999704
2019.05.06,-222.99999999999542,126.0000000000039,-260.00000000000466,-82.99999999999974,-473.0000000000012,-381.99999999999346,,-1294.9999999999905
2019.05.06,-226.99999999999943,116.00000000000499,-258.0000000000027,-71.00000000000995,-478.0000000000006,-432.9999999999945,,-1351.0000000000023
2019.05.06,-256.99999999999613,-22.999999999995246,-297.9999999999983,-51.000000000001044,-441.99999999999795,-476.9999999999941,,-1547.9999999999827
2019.05.06,-269.00000000000813,-98.99999999998244,-312.9999999999966,-43.999999999999595,-485.99999999999756,-520.9999999999936,,-1731.999999999978
2019.05.06,-270.99999999999903,-98.99999999998244,-297.00000000000284,-32.0000000000098,-458.9999999999983,-509.00000000000387,,-1666.9999999999961
