date,EURUSD,empty,sum
2018.11.26,-56.99999999999594,,-56.99999999999594
2018.11.26,-38.99999999998904,,-38.99999999998904
2018.11.26,-45.99999999999049,,-45.99999999999049
2018.11.26,-19.999999999997797,,-19.999999999997797
2018.11.26,-15.999999999993797,,-15.999999999993797
2018.11.26,-52.000000000007596,,-52.000000000007596
2018.11.26,-97.9999999999981,,-97.9999999999981
2018.11.26,-89.99999999999008,,-89.99999999999008
2018.11.26,-69.00000000000794,,-69.00000000000794
2018.11.26,-107.99999999999699,,-107.99999999999699
2018.11.26,-35.00000000000725,,-35.00000000000725
2018.11.26,-21.00000000000435,,-21.00000000000435
2018.11.26,-15.999999999993797,,-15.999999999993797
2018.11.26,62.000000000006494,,62.000000000006494
2018.11.26,45.000000000006146,,45.000000000006146
2018.11.26,82.00000000000429,,82.00000000000429
2018.11.26,90.99999999999665,,90.99999999999665
2018.11.26,130.99999999999224,,130.99999999999224
2018.11.26,266.999999999995,,266.999999999995
2018.11.26,232.99999999999432,,232.99999999999432
2018.11.26,322.00000000000006,,322.00000000000006
2018.11.26,310.9999999999946,,310.9999999999946
2018.11.26,390.0000000000015,,390.0000000000015
2018.11.26,347.9999999999928,,347.9999999999928
2018.11.26,256.99999999999613,,256.99999999999613
2018.11.26,272.00000000000557,,272.00000000000557
2018.11.26,286.99999999999284,,286.99999999999284
2018.11.26,296.9999999999917,,296.9999999999917
2018.11.26,242.00000000000887,,242.00000000000887
2018.11.26,171.00000000001003,,171.00000000001003
2018.11.26,303.9999999999932,,303.9999999999932
2018.11.26,256.00000000001177,,256.00000000001177
2018.11.26,148.99999999999915,,148.99999999999915
2018.11.26,137.00000000000932,,137.00000000000932
2018.11.26,42.0000000000087,,42.0000000000087
2018.11.26,4.000000000004,,4.000000000004
2018.11.26,9.999999999998899,,9.999999999998899
2018.11.26,-43.999999999999595,,-43.999999999999595
2018.11.26,32.999999999994145,,32.999999999994145
2018.11.26,-5.999999999994898,,-5.999999999994898
2018.11.26,-72.99999999998974,,-72.99999999998974
2018.11.26,-92.00000000000318,,-92.00000000000318
2018.11.26,-82.00000000000429,,-82.00000000000429
2018.11.26,-109.99999999998789,,-109.99999999998789
2018.11.26,-69.00000000000794,,-69.00000000000794
2018.11.26,-53.999999999998494,,-53.999999999998494
2018.11.26,-123.00000000000644,,-123.00000000000644
2018.11.26,-117.99999999999588,,-117.99999999999588
2018.11.27,-103.99999999999298,,-103.99999999999298
2018.11.27,-90.99999999999665,,-90.99999999999665
2018.11.27,-82.99999999998863,,-82.99999999998863
2018.11.27,-63.99999999999739,,-63.99999999999739
2018.11.27,-51.000000000001044,,-51.000000000001044
2018.11.27,-65.99999999998829,,-65.99999999998829
2018.11.27,-92.99999999998754,,-92.99999999998754
2018.11.27,-103.99999999999298,,-103.99999999999298
2018.11.27,-48.99999999998794,,-48.99999999998794
2018.11.27,-65.99999999998829,,-65.99999999998829
2018.11.27,-14.999999999987246,,-14.999999999987246
2018.11.27,-58.99999999998684,,-58.99999999998684
2018.11.27,-45.000000000006146,,-45.000000000006146
2018.11.27,-22.999999999995246,,-22.999999999995246
2018.11.27,7.0000000000014495,,7.0000000000014495
2018.11.27,31.000000000003247,,31.000000000003247
2018.11.27,-1.999999999990898,,-1.999999999990898
2018.11.27,-106.00000000000608,,-106.00000000000608
2018.11.27,-221.00000000000452,,-221.00000000000452
2018.11.27,-276.9999999999939,,-276.9999999999939
2018.11.27,-292.9999999999877,,-292.9999999999877
2018.11.27,-275.9999999999874,,-275.9999999999874
2018.11.27,-165.9999999999995,,-165.9999999999995
2018.11.27,-296.9999999999917,,-296.9999999999917
2018.11.27,-181.9999999999933,,-181.9999999999933
2018.11.27,-218.00000000000708,,-218.00000000000708
2018.11.27,-190.00000000000128,,-190.00000000000128
2018.11.27,-200.00000000000017,,-200.00000000000017
2018.11.27,-204.99999999998852,,-204.99999999998852
2018.11.27,-119.00000000000244,,-119.00000000000244
2018.11.27,-147.00000000000824,,-147.00000000000824
2018.11.27,-192.99999999999872,,-192.99999999999872
2018.11.27,-151.9999999999966,,-151.9999999999966
2018.11.27,-424.00000000000216,,-424.00000000000216
2018.11.27,-304.9999999999997,,-304.9999999999997
2018.11.27,-492.0000000000035,,-492.0000000000035
2018.11.27,-468.00000000000176,,-468.00000000000176
2018.11.27,-587.0000000000042,,-587.0000000000042
2018.11.27,-550.9999999999903,,-550.9999999999903
2018.11.27,-543.0000000000045,,-543.0000000000045
2018.11.27,-480.99999999999807,,-480.99999999999807
2018.11.27,-425.99999999999307,,-425.99999999999307
2018.11.27,-417.0000000000007,,-417.0000000000007
2018.11.27,-448.9999999999883,,-448.9999999999883
2018.11.27,-462.9999999999912,,-462.9999999999912
2018.11.27,-429.99999999999704,,-429.99999999999704
2018.11.27,-446.9999999999974,,-446.9999999999974
2018.11.27,-516.9999999999897,,-516.9999999999897
2018.11.28,-461.0000000000003,,-461.0000000000003
2018.11.28,-455.99999999998977,,-455.99999999998977
2018.11.28,-415.99999999999415,,-415.99999999999415
2018.11.28,-424.99999999998647,,-424.99999999998647
2018.11.28,-428.9999999999905,,-428.9999999999905
2018.11.28,-506.9999999999908,,-506.9999999999908
2018.11.28,-520.9999999999936,,-520.9999999999936
2018.11.28,-516.9999999999897,,-516.9999999999897
2018.11.28,-468.00000000000176,,-468.00000000000176
2018.11.28,-456.9999999999963,,-456.9999999999963
2018.11.28,-446.9999999999974,,-446.9999999999974
2018.11.28,-462.9999999999912,,-462.9999999999912
2018.11.28,-462.0000000000068,,-462.0000000000068
