date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,NZDJPY,AUDNZD,empty,sum
2020.01.20,-58.99999999999794,-4.000000000004,11.00000000000545,32.999999999994145,-3.999999999992898,-13.00000000000745,-22.999999999995246,-21.000000000000796,-17.999999999995797,76.99999999999818,36.999999999998145,-14.000000000002899,-6.000000000000227,124.99999999999733,-25.000000000005684,-99.99999999998899,,-3.9999999999986784
2020.01.20,-33.000000000005244,-14.000000000002899,11.999999999989797,28.999999999990145,29.000000000001247,0.0,-35.999999999991594,-35.0000000000108,-16.0000000000049,60.000000000002274,85.00000000000173,45.99999999999049,-12.000000000000455,116.00000000000499,-26.00000000001046,-131.99999999999878,,72.99999999995555
2020.01.20,-67.00000000000594,-22.999999999995246,4.999999999988347,60.99999999999994,65.99999999999939,36.999999999998145,-59.99999999999339,-80.0000000000125,-36.999999999998145,125.0,114.0000000000141,133.99999999998968,60.000000000002274,104.99999999999955,-91.99999999999875,-170.00000000000347,,177.99999999998397
2020.01.20,-72.0000000000054,-66.99999999999484,-25.00000000000835,53.999999999998494,80.00000000000229,74.99999999999174,-92.99999999998754,-86.00000000001273,-44.99999999999504,186.00000000000705,165.00000000001512,105.99999999998388,100.99999999999909,67.00000000001705,-141.00000000000534,-137.9999999999937,,167.00000000001177
2020.01.20,-36.0000000000027,-83.9999999999952,-65.00000000000395,63.99999999999739,65.99999999999939,47.9999999999925,-92.00000000000318,-115.0000000000091,-12.000000000000899,195.0000000000216,198.99999999999363,36.999999999998145,131.00000000000023,202.00000000001327,-100.99999999999909,-158.99999999999804,,278.000000000004
2020.01.20,-52.000000000007596,-12.000000000012001,-9.000000000014552,89.99999999999008,40.00000000000669,37.99999999999359,-58.99999999998684,-93.00000000000352,-12.000000000000899,114.00000000000432,140.0000000000068,70.99999999999883,73.0000000000075,134.99999999999625,-91.99999999999875,-130.99999999999224,,240.99999999998764
2020.01.20,-19.999999999997797,-46.0000000000127,-49.00000000001015,63.99999999999739,76.0000000000094,68.99999999999685,-61.99999999998429,-121.00000000000932,0.0,135.00000000001933,151.00000000001222,120.99999999999334,100.00000000000853,113.00000000000753,-120.00000000000455,-137.9999999999937,,273.0000000000321
2020.01.20,-39.00000000000014,-24.000000000001798,-42.0000000000087,72.99999999998974,81.00000000000884,73.99999999999629,-78.00000000000028,-115.0000000000091,-10.999999999994348,137.00000000000045,133.00000000000534,168.99999999999693,115.99999999999966,86.0000000000083,-138.00000000000523,-136.00000000000279,,285.9999999999831
2020.01.20,-43.999999999999595,-22.999999999995246,-43.999999999999595,86.0000000000083,89.00000000000574,76.99999999999375,-82.99999999998863,-125.0,-9.00000000000345,153.00000000002,151.00000000001222,195.9999999999962,132.000000000005,92.00000000000318,-150.00000000000568,-151.9999999999966,,346.0000000000556
2020.01.20,-21.999999999999797,-46.999999999997044,-49.00000000001015,76.99999999999375,72.0000000000054,47.9999999999925,-66.99999999999484,-135.00000000000512,2.999999999997449,159.9999999999966,168.0000000000126,105.99999999998388,124.00000000000944,174.00000000000747,-108.00000000000409,-167.9999999999904,,335.99999999999767
