,names,week,needed_features,accuracy
0,USDCHF,50,"['EURNZD', 'EURGBP', 'EURUSD', 'AUDNZD', 'GBPUSD']",100.0
1,GBPUSD,10,"['EURNZD', 'AUDCHF', 'GBPCHF']",80.0
2,EURUSD,20,"['EURNZD', 'EURGBP', 'AUDUSD', 'GBPUSD', 'EURUSD', 'NZDUSD']",80.0
3,USDJPY,20,"['AUDCHF', 'AUDCAD', 'EURAUD', 'AUDUSD', 'NZDCAD', 'GBPUSD', 'NZDCHF', 'EURNZD', 'NZDUSD', 'EURUSD', 'GBPAUD']",100.0
4,NZDUSD,10,['EURNZD'],80.0
5,EURCHF,20,"['USDCHF', 'EURUSD', 'USDCAD', 'AUDUSD', 'AUDJPY', 'CHFJPY', 'EURNZD', 'EURJPY', 'USDJPY']",100.0
6,CADCHF,10,"['GBPCHF', 'AUDCHF']",80.0
7,NZDCHF,10,['GBPAUD'],80.0
8,GBPJPY,15,"['EURNZD', 'AUDCHF', 'GBPCHF']",100.0
9,GBPCAD,15,['USDCAD'],80.0
10,GBPAUD,15,['EURCAD'],100.0
11,EURJPY,10,['EURNZD'],80.0
12,EURCAD,10,"['EURJPY', 'CHFJPY', 'AUDJPY', 'USDJPY']",80.0
13,NZDJPY,10,['EURNZD'],80.0
14,AUDCAD,20,"['AUDUSD', 'EURUSD', 'NZDUSD', 'GBPUSD', 'GBPAUD', 'AUDJPY']",80.0
15,NZDCAD,10,['GBPAUD'],80.0
