date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURGBP,GBPJPY,EURCAD,empty,sum
2015.03.09,-42.999999999993044,-76.99999999999375,-60.99999999999994,-27.999999999991587,-48.000000000003595,-20.999999999993246,-10.000000000010001,-16.000000000016,-31.999999999998696,-12.000000000000455,-90.99999999999665,,-438.99999999999693
2015.03.09,-136.99999999999824,-262.00000000000665,-103.00000000000864,-111.0000000000042,-114.99999999999844,-74.99999999999174,10.999999999994348,-19.00000000001345,-19.00000000000235,-106.99999999999932,-22.999999999995246,,-960.0000000000239
2015.03.09,-303.9999999999932,-290.00000000001245,-163.00000000000205,-114.99999999999488,-157.99999999999147,-110.99999999999443,24.999999999997247,-187.00000000000384,-5.999999999994898,55.00000000000682,-78.00000000000028,,-1331.9999999999836
2015.03.09,-231.99999999999886,-272.00000000000557,-158.99999999999804,-111.0000000000042,-163.9999999999864,-123.99999999999079,27.999999999994696,-118.00000000001809,-7.0000000000014495,117.999999999995,-55.000000000005045,,-1096.0000000000186
2015.03.09,-283.99999999999534,-309.0000000000037,-257.0000000000183,-194.00000000000261,-202.9999999999976,-169.99999999999238,1.999999999990898,-184.00000000000637,-46.00000000000159,20.999999999986585,-130.99999999999224,,-1755.0000000000327
2015.03.09,-234.99999999999633,-300.00000000001137,-246.00000000001288,-150.99999999999625,-186.99999999998164,-113.99999999999189,41.9999999999976,-80.00000000001339,-48.99999999999905,87.99999999999386,-209.9999999999991,,-1442.0000000000105
2015.03.09,-157.99999999999147,-249.00000000001032,-179.00000000001802,-60.99999999999284,-22.999999999995246,26.000000000003798,100.00000000000009,-63.000000000013046,-34.000000000000696,167.0000000000016,-263.99999999999756,,-738.0000000000136
2015.03.09,-121.99999999999989,-205.00000000001074,-139.00000000000023,-69.99999999999318,-41.99999999998649,39.00000000000014,150.99999999999002,1.999999999990898,-21.999999999999797,114.00000000000432,-202.00000000001327,,-496.0000000000183
2015.03.09,-153.99999999999858,-214.00000000000307,-120.00000000000898,-54.99999999999261,-28.999999999990145,90.0000000000012,184.99999999999073,-49.00000000001015,-9.00000000000345,128.00000000001432,-154.0000000000097,,-381.00000000001035
2015.03.09,-137.9999999999937,-259.0000000000092,-145.00000000001734,27.000000000001023,-55.99999999998939,104.00000000000409,164.99999999999292,19.999999999997797,0.999999999995449,306.99999999998795,-157.00000000000713,,-131.00000000003755
2015.03.09,-85.99999999999719,-263.00000000001324,-145.00000000001734,82.00000000000784,-71.99999999998319,138.00000000000477,226.99999999999943,113.99999999999189,2.000000000002,408.9999999999918,-161.99999999999548,,243.99999999999127
2015.03.09,-19.999999999997797,-266.999999999995,-110.00000000001009,224.00000000000375,-29.999999999996696,169.00000000000804,361.9999999999957,192.99999999999872,21.00000000000435,639.00000000001,-168.99999999999693,,1012.000000000024
2015.03.09,-60.99999999999994,-297.9999999999983,-119.00000000000244,200.00000000000284,-58.99999999998684,142.00000000000878,333.9999999999899,181.9999999999933,21.00000000000435,605.9999999999945,-127.99999999999478,,820.0000000000114
2015.03.09,-106.99999999999044,-334.00000000001205,-137.00000000000932,134.00000000000034,-107.99999999999699,119.00000000000244,281.99999999999335,169.99999999998127,34.99999999999615,598.9999999999895,-130.99999999999224,,521.999999999962
2015.03.09,-89.99999999999008,-341.99999999999784,-116.00000000000499,138.9999999999958,-69.9999999999923,147.00000000000824,348.9999999999993,187.99999999998818,60.00000000000449,593.9999999999941,-110.00000000001009,,748.9999999999948
2015.03.09,-61.999999999995396,-324.0000000000132,-141.00000000001333,200.00000000000284,-63.99999999999739,106.00000000000608,323.99999999999096,239.99999999999577,38.0000000000047,661.0000000000014,-139.00000000000023,,838.9999999999823
2015.03.09,-183.99999999999528,-404.0000000000044,-246.00000000001288,140.00000000000057,-191.99999999999218,-31.999999999998696,165.9999999999995,126.99999999998823,7.0000000000014495,681.0000000000116,-178.00000000001148,,-115.00000000001364
