date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,AUDNZD,empty,sum
2018.01.29,34.000000000000696,36.0000000000138,-60.99999999999994,-64.00000000000716,-60.99999999999994,-59.000000000009045,-92.99999999998931,-38.0000000000047,63.99999999999739,-41.000000000002146,-75.9999999999934,-43.00000000000637,-127.00000000001043,-82.99999999998863,15.00000000000945,31.999999999996476,79.9999999999983,-134.99999999999625,79.00000000000685,,-540.9999999999844
2018.01.29,-58.99999999999794,-38.99999999998904,-104.99999999999955,37.9999999999967,-56.0000000000005,18.0000000000069,57.00000000000216,-99.00000000000463,0.0,-107.00000000000153,4.9999999999954525,141.9999999999959,-94.00000000001629,-124.99999999999733,-110.99999999999443,-55.00000000000682,-7.000000000005002,-157.99999999999147,32.0000000000098,,-722.9999999999976
2018.01.29,-67.00000000000594,-92.00000000000318,-49.00000000001015,-4.0000000000048885,-93.99999999999409,86.0000000000083,-56.99999999998795,-158.0000000000026,-55.000000000005045,-95.00000000000064,-122.99999999999045,15.999999999991132,-107.00000000001265,-116.99999999998934,-201.99999999999108,30.9999999999917,67.99999999999784,-163.99999999999747,-20.999999999982144,,-1203.9999999999884
2018.01.29,0.0,-122.99999999998423,52.99999999999194,88.99999999999864,-178.99999999999582,95.00000000000064,-42.999999999992156,-157.00000000000713,-78.99999999999574,-41.000000000002146,-26.00000000001046,19.99999999998181,-123.00000000000644,-153.00000000000313,-259.9999999999936,17.99999999998647,86.99999999998909,-199.9999999999891,-38.99999999998904,,-1061.0000000000205
2018.01.29,-19.999999999997797,-132.99999999998312,61.99999999998429,111.0000000000042,-157.99999999999147,129.00000000000134,3.0000000000001137,-172.00000000000549,-73.00000000000084,-40.00000000000669,-2.999999999985903,37.99999999998249,-134.00000000001188,-97.9999999999981,-80.99999999999774,-1.0000000000047748,43.99999999999693,-175.99999999999838,49.00000000001015,,-653.0000000000027
2018.01.29,-73.99999999999629,-161.99999999999548,-46.0000000000127,36.99999999999193,-146.99999999999713,96.99999999999153,-7.999999999995566,-173.00000000000094,-104.99999999999955,-131.99999999999878,-141.9999999999959,62.99999999998818,-90.00000000001229,-211.00000000000563,-79.99999999999119,9.999999999990905,90.99999999999397,-216.99999999998943,124.00000000001299,,-1165.0000000000216
2018.01.29,-294.00000000000534,107.99999999999699,-256.00000000001177,-153.99999999999636,31.000000000003247,171.99999999999437,58.000000000006935,-214.99999999999852,-116.00000000000499,-116.00000000000499,-120.00000000000455,54.000000000002046,-103.00000000000864,-133.00000000000534,161.00000000001114,8.99999999998613,52.99999999999727,-175.99999999999838,226.99999999999943,,-810.0000000000413
2018.01.29,-306.00000000000625,101.00000000001774,-292.00000000000335,-138.00000000000523,90.0000000000012,154.99999999999403,91.00000000000819,-214.99999999999852,-66.99999999999484,-145.00000000000622,-106.99999999999932,112.99999999999955,-82.00000000000429,-63.99999999999739,92.00000000000318,-17.000000000010118,-25.000000000005684,-114.99999999999844,129.00000000000134,,-802.0000000000045
2018.01.29,-421.0000000000047,255.00000000000523,-354.0000000000099,-245.9999999999951,146.00000000000168,235.00000000000742,117.00000000000443,-277.000000000005,-105.99999999999498,-94.00000000000519,-88.99999999999864,46.999999999997044,-60.000000000015596,-29.999999999996696,-7.0000000000014495,34.99999999999659,-3.0000000000001137,-80.99999999999774,43.999999999999595,,-889.0000000000132
2018.01.29,-341.0000000000024,151.00000000001222,-261.0000000000001,-150.99999999999625,72.0000000000054,228.00000000000597,121.00000000000932,-267.00000000000614,-116.00000000000499,-92.00000000000318,-67.00000000000728,62.99999999998818,-72.0000000000054,-62.000000000006494,-8.999999999992347,17.99999999998647,5.9999999999860165,-108.99999999999244,60.99999999999994,,-827.0000000000234
