Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,USDCHF,10,['EURUSD'],80.0,-0.9840000000000001,S
1,GBPUSD,10,['NZDJPY'],80.0,1.0,B
2,EURUSD,10,"['AUDUSD', 'NZDUSD', 'NZDJPY', 'EURUSD', 'GBPUSD']",80.0,1.0,B
3,USDJPY,15,"['EURCAD', 'AUDCHF', 'GBPCAD', 'NZDCAD', 'AUDUSD', 'NZDUSD', 'AUDCAD', 'EURAUD']",100.0,-0.82,S
4,AUDUSD,10,['NZDJPY'],80.0,1.0,B
5,CHFJPY,10,['EURUSD'],80.0,0.982,B
6,CADCHF,50,"['NZDCAD', 'AUDCAD', 'EURCAD', 'EURUSD']",80.0,-0.7298901653901653,S
7,NZDCHF,10,['NZDJPY'],80.0,1.0,B
8,GBPJPY,50,['EURUSD'],80.0,0.40665261254053836,B
9,GBPCAD,10,"['CADJPY', 'GBPJPY', 'EURJPY', 'NZDJPY', 'USDCAD']",80.0,1.0,B
10,GBPAUD,10,"['EURGBP', 'GBPCHF']",100.0,-0.33872222222222237,S
11,EURCAD,10,"['AUDUSD', 'NZDUSD', 'AUDJPY', 'EURUSD', 'NZDJPY', 'GBPUSD']",100.0,1.0,B
12,CADJPY,10,"['EURGBP', 'GBPCHF']",100.0,0.2904285714285715,B
13,NZDJPY,50,"['NZDJPY', 'EURJPY']",80.0,0.7081115079450995,B
14,AUDCAD,10,"['AUDUSD', 'NZDUSD', 'AUDJPY', 'EURUSD', 'NZDJPY', 'GBPUSD']",100.0,1.0,B
15,NZDCAD,10,"['EURAUD', 'AUDUSD', 'NZDUSD', 'EURUSD', 'NZDJPY', 'GBPUSD']",80.0,0.38,B
16,AUDNZD,50,"['GBPCAD', 'EURGBP']",80.0,0.3873927513707634,B
