date,GBPCHF,EURCHF,GBPAUD,EURCAD,EURNZD,AUDJPY,NZDJPY,empty,sum
2019.12.16,-3.999999999981796,-58.000000000002494,0.0,-46.999999999997044,-139.00000000000023,-63.99999999999295,-48.00000000000182,,-359.99999999997635
2019.12.16,-7.0000000000014495,-41.000000000002146,246.00000000001288,-123.00000000000644,-349.99999999998363,-102.99999999999443,-75.9999999999934,,-453.9999999999686
2019.12.16,95.00000000000064,-39.00000000001125,443.0000000000156,-109.00000000000354,-462.9999999999912,-100.99999999999909,-122.99999999999045,,-296.9999999999793
2019.12.16,195.00000000001182,-65.00000000000395,439.99999999999596,-120.00000000000898,-391.9999999999924,-66.0000000000025,-87.0000000000033,,-95.0000000000033
2019.12.16,273.0000000000121,-70.0000000000145,551.9999999999969,-121.99999999999989,-383.99999999998437,-93.99999999999409,-90.99999999999397,,64.00000000002223
2019.12.16,287.000000000015,-93.00000000000975,448.000000000004,-60.99999999999994,-317.9999999999961,-57.999999999992724,-60.99999999999284,,144.00000000002768
2019.12.16,326.0000000000041,-90.00000000001229,510.00000000001046,-56.000000000011596,-325.99999999998187,-24.00000000000091,-54.99999999999261,,285.0000000000153
2019.12.16,339.0000000000004,-103.00000000000864,568.9999999999973,-65.00000000000395,-385.99999999999744,-36.000000000001364,-87.0000000000033,,230.999999999983
2019.12.16,389.0000000000171,-125.00000000001954,487.0000000000152,-79.00000000000685,-313.99999999999204,-1.9999999999953388,-28.999999999996362,,327.00000000002217
2019.12.16,570.0000000000039,-149.00000000002134,821.000000000005,-56.99999999999594,-325.99999999998187,-4.0000000000048885,-28.999999999996362,,826.0000000000085
2019.12.16,670.000000000015,-157.00000000000713,981.0000000000097,-41.000000000002146,-319.999999999987,-12.000000000000455,-34.99999999999659,,1086.0000000000314
2019.12.16,644.0000000000001,-136.00000000000279,963.0000000000027,-56.99999999999594,-286.99999999999284,10.000000000005116,-3.0000000000001137,,1134.0000000000164
2019.12.16,636.0000000000143,-148.00000000001478,1021.0000000000052,-65.00000000000395,-404.9999999999887,-87.99999999999386,-60.000000000002274,,891.0000000000161
2019.12.16,628.0000000000064,-147.00000000000824,1148.0000000000157,-75.00000000000284,-405.9999999999952,-81.00000000000307,-55.999999999997385,,1011.0000000000153
2019.12.16,618.0000000000074,-161.00000000001114,1139.0000000000011,-93.99999999999409,-443.99999999999994,-87.0000000000033,-49.99999999999716,,921.0000000000027
2019.12.16,569.0000000000194,-154.0000000000097,1147.000000000009,-86.0000000000083,-468.00000000000176,-84.00000000000318,-51.9999999999925,,872.000000000013
2019.12.16,517.0000000000119,-128.000000000017,1139.0000000000011,-52.000000000007596,-499.9999999999893,-108.99999999999466,-67.99999999999784,,799.0000000000068
2019.12.16,502.00000000000244,-153.00000000000313,1166.0000000000005,-58.000000000002494,-530.9999999999926,-78.00000000000296,-60.99999999999284,,787.0000000000089
2019.12.16,651.0000000000016,-156.00000000000057,1331.0000000000155,5.999999999994898,-542.9999999999824,-54.000000000002046,-40.99999999999682,,1194.0000000000302
2019.12.16,438.00000000000506,-168.0000000000126,974.0000000000082,15.999999999993797,-622.9999999999958,-48.99999999999238,-24.999999999991473,,563.0000000000149
2019.12.16,344.00000000001097,-178.00000000001148,766.0,45.000000000006146,-525.999999999982,-16.999999999995907,-1.9999999999953388,,432.0000000000324
2019.12.16,329.00000000000153,-157.00000000000713,670.9999999999993,185.99999999999727,-438.9999999999894,-16.000000000005343,-6.999999999990791,,567.0000000000053
2019.12.16,113.00000000000753,-143.00000000000423,453.0000000000145,268.0000000000016,-337.99999999999386,-49.99999999999716,10.000000000005116,,313.0000000000334
2019.12.16,-28.999999999990145,-102.00000000000209,80.99999999999774,263.99999999999756,-310.9999999999946,-40.99999999999682,22.00000000000557,,-115.99999999998278
2019.12.16,-8.999999999992347,-95.00000000000064,78.00000000000028,217.0000000000005,-146.99999999998602,55.999999999997385,118.99999999999977,,219.00000000001896
2019.12.16,21.00000000000435,-157.00000000000713,150.00000000000568,215.00000000000963,-161.99999999999548,87.0000000000033,142.00000000001012,,296.00000000003047
2019.12.16,308.0000000000194,-184.00000000000637,409.99999999999926,262.00000000000665,-122.99999999998423,84.00000000000318,143.00000000000068,,900.0000000000385
2019.12.16,300.00000000001137,-169.00000000001913,406.00000000001745,224.000000000002,-116.99999999998934,105.99999999999454,165.99999999999682,,916.0000000000136
2019.12.16,209.00000000001472,-127.00000000001043,321.0000000000157,225.00000000000853,-121.99999999999989,144.00000000000546,189.99999999999773,,840.0000000000318
2019.12.16,240.00000000001796,-104.00000000001519,406.00000000001745,279.99999999999136,-207.99999999998596,128.0000000000001,146.0000000000008,,888.0000000000266
