date,EURUSD,USDJPY,USDCAD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURCAD,AUDCAD,AUDNZD,empty,sum
2016.02.15,131.99999999999878,13.999999999995794,-90.99999999999665,-111.00000000001664,-159.9999999999966,-14.000000000002899,91.00000000000774,-90.00000000000341,-151.99999999997436,-91.99999999999875,239.00000000001143,102.00000000000209,28.000000000005798,,-103.99999999996766
2016.02.15,53.999999999998494,-174.0000000000066,-81.9999999999821,-278.00000000000045,-301.00000000000193,-97.9999999999981,55.000000000005045,-373.9999999999952,-180.99999999998673,-219.99999999999886,112.000000000001,124.99999999999733,26.0000000000149,,-1335.9999999999534
2016.02.15,-78.99999999998464,-240.99999999999966,2.999999999997449,-490.0000000000126,-343.0000000000035,-200.99999999999562,-82.99999999999974,-627.0000000000095,-241.99999999998667,-149.0000000000009,-154.0000000000097,126.99999999999933,32.0000000000098,,-2446.999999999996
2016.02.15,-106.99999999999044,-317.99999999999784,99.00000000000463,-558.9999999999984,-396.0000000000008,-258.9999999999981,-129.9999999999968,-800.0000000000114,-231.99999999996555,-212.0000000000033,-293.99999999999426,100.00000000000009,107.00000000001265,,-3000.999999999939
2016.02.15,-26.999999999999247,-73.99999999999807,137.00000000000932,-371.00000000001023,-188.99999999999295,-246.99999999999721,-4.999999999999449,-304.00000000000205,33.000000000038554,-26.00000000001046,-226.99999999999943,117.99999999999588,5.000000000010552,,-1176.999999999955
2016.02.15,1.0000000000065512,85.99999999999852,148.00000000001478,-368.9999999999971,-87.0000000000033,-219.00000000000253,-12.999999999996348,-134.00000000001455,-70.99999999997664,125.0,-201.00000000000674,107.99999999999699,15.00000000000945,,-610.999999999971
2016.02.15,22.0000000000109,-76.00000000000762,218.00000000000708,-425.0000000000087,-224.99999999999432,-278.00000000000045,-12.999999999996348,-391.9999999999959,100.0000000000334,-85.00000000000796,-253.99999999999866,153.00000000000313,26.999999999999247,,-1227.9999999999561
2016.02.15,-110.99999999999443,-253.0000000000001,243.00000000001543,-547.0000000000086,-292.99999999999216,-348.00000000000387,-98.99999999999353,-645.0000000000102,362.00000000001785,-128.0000000000001,-461.0000000000003,253.0000000000032,-183.99999999998417,,-2210.999999999951
2016.02.15,-156.00000000000057,-320.0000000000074,174.00000000000747,-612.0000000000125,-283.9999999999918,-373.00000000000114,-109.99999999999899,-693.9999999999884,273.0000000000121,-154.00000000001057,-452.00000000000796,230.99999999999233,-129.99999999998568,,-2606.9999999999936
2016.02.15,-173.00000000000094,-445.99999999999795,329.00000000000153,-662.000000000007,-393.0000000000007,-463.0000000000023,-134.99999999999625,-907.0000000000107,651.0000000000016,-281.0000000000059,-641.0000000000027,324.00000000000205,-188.9999999999947,,-2986.0000000000136
2016.02.15,-132.99999999998312,-414.0000000000015,375.9999999999986,-721.000000000016,-402.000000000001,-463.0000000000023,-158.99999999999804,-973.9999999999895,652.0000000000082,-288.0000000000109,-635.0000000000077,361.9999999999957,-112.99999999998533,,-2911.9999999999927
2016.02.15,-182.99999999999983,-572.0000000000027,440.00000000001813,-785.9999999999978,-513.9999999999958,-529.0000000000017,-193.99999999999417,-1206.9999999999936,983.0000000000006,-407.0000000000107,-780.000000000003,473.99999999999665,-265.99999999998846,,-3540.9999999999727
2016.02.15,-201.99999999999108,-614.0000000000043,419.0000000000138,-896.000000000008,-478.9999999999992,-565.9999999999999,-221.99999999999997,-1298.0000000000018,992.0000000000151,-440.00000000001194,-787.9999999999887,515.9999999999942,-256.99999999999613,,-3834.999999999978
2016.02.15,-119.00000000000244,-528.9999999999964,358.00000000001387,-873.0000000000126,-402.000000000001,-526.0000000000042,-156.99999999999602,-1157.999999999987,821.000000000005,-432.00000000000216,-598.999999999994,468.9999999999972,-235.99999999999176,,-3382.9999999999714
2016.02.15,-151.9999999999966,-602.0000000000039,419.0000000000138,-920.0000000000097,-474.00000000000375,-560.0000000000049,-201.99999999999108,-1317.0000000000073,1019.0000000000143,-477.00000000000387,-712.0000000000015,549.9999999999949,-256.99999999999613,,-3684.9999999999955
2016.02.15,-93.99999999999409,-549.0000000000066,466.00000000001086,-937.00000000001,-436.9999999999976,-578.9999999999961,-180.99999999999784,-1276.0000000000105,1116.0000000000282,-483.0000000000041,-687.9999999999998,580.0000000000027,-316.99999999998954,,-3378.999999999964
2016.02.15,-85.00000000000173,-522.0000000000056,391.000000000008,-859.0000000000098,-454.9999999999983,-505.99999999999534,-167.9999999999904,-1223.9999999999895,884.0000000000181,-462.0000000000033,-590.0000000000016,517.0000000000008,-41.000000000002146,,-3119.9999999999704
2016.02.15,-99.99999999998899,-509.00000000000034,358.9999999999982,-853.0000000000149,-447.00000000000273,-487.99999999999955,-180.99999999999784,-1204.0000000000077,737.0000000000321,-437.0000000000118,-577.9999999999897,464.9999999999932,-31.000000000003247,,-3266.999999999993
2016.02.15,-256.99999999999613,-531.0000000000059,397.0000000000029,-821.000000000005,-352.99999999999443,-578.9999999999961,-191.99999999999218,-1028.9999999999964,981.0000000000318,-275.0000000000057,-838.9999999999898,442.9999999999934,29.00000000001235,,-3025.9999999999413
2016.02.15,-238.99999999998923,-406.9999999999965,351.0000000000124,-954.0000000000103,-132.99999999999557,-612.0000000000015,-190.99999999999673,-873.9999999999952,1007.0000000000246,-160.0000000000108,-763.0000000000026,500.9999999999959,21.00000000000435,,-2452.9999999999613
2016.02.15,-368.9999999999971,-424.0000000000066,157.00000000000713,-997.0000000000034,-9.000000000000341,-599.0000000000051,-212.99999999999653,-746.0000000000093,688.0000000000219,-28.000000000005798,-723.0000000000069,393.9999999999944,100.99999999999554,,-2768.000000000012
2016.02.15,-403.99999999998215,-444.0000000000026,158.99999999999804,-1078.0000000000011,85.99999999999852,-673.9999999999968,-191.99999999999218,-691.0000000000025,1002.9999999999983,-10.000000000005116,-773.0000000000015,488.999999999995,60.000000000015596,,-2468.9999999999786
2016.02.15,-390.9999999999858,-558.0000000000069,138.0000000000159,-1072.0000000000064,-33.00000000000125,-663.0000000000025,-181.9999999999933,-853.0000000000086,891.0000000000196,-155.00000000000114,-733.0000000000059,447.99999999999284,154.0000000000097,,-3008.9999999999745
2016.02.15,-272.99999999998994,-564.9999999999977,209.9999999999991,-683.0000000000114,-194.99999999999318,-600.999999999996,4.000000000004,-640.0000000000148,1311.0000000000177,-297.00000000001125,-649.999999999995,468.9999999999972,109.00000000000354,,-1800.9999999999877
2016.02.15,-342.9999999999822,-606.9999999999993,341.00000000001353,-853.0000000000149,-173.99999999999238,-705.9999999999956,-93.99999999999409,-800.9999999999877,1295.0000000000018,-264.00000000001,-892.0000000000039,429.99999999999704,104.99999999999955,,-2562.9999999999677
2016.02.15,-350.9999999999902,-576.0000000000076,245.0000000000063,-1012.9999999999973,-78.99999999999352,-700.0000000000006,-146.99999999999713,-858.0000000000041,1328.0000000000402,-219.99999999999886,-798.0000000000098,574.9999999999922,5.000000000010552,,-2588.99999999995
2016.02.15,-266.999999999995,-560.0000000000023,180.0000000000024,-721.000000000016,-162.9999999999967,-604.0000000000045,7.0000000000014495,-634.9999999999909,1494.0000000000175,-300.00000000001137,-602.999999999998,583.0000000000002,-18.999999999991246,,-1607.9999999999845
2016.02.15,-424.99999999998647,-621.9999999999999,268.0000000000016,-707.0000000000132,-111.0000000000042,-719.000000000003,-22.999999999995246,-555.0000000000068,1810.0000000000005,-186.00000000000705,-923.9999999999915,565.9999999999999,-66.99999999999484,,-1695.0000000000007
