date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2018.05.07,-4.999999999999449,-89.99999999999008,6.000000000000227,42.999999999993044,25.999999999992696,-7.0000000000014495,-33.00000000000125,-3.999999999992898,-58.99999999999794,-57.99999999998029,-90.00000000001229,-79.99999999998408,-119.00000000000244,-161.00000000001114,7.000000000005002,1.0000000000047748,-2.000000000002,-10.999999999994348,,-635.9999999999739
2018.05.07,15.999999999993797,-65.99999999998829,-8.000000000009777,55.99999999998939,42.999999999993044,7.0000000000014495,7.000000000005002,9.00000000000345,-53.00000000000304,-99.99999999998899,-161.00000000001114,-31.999999999982265,-99.99999999998899,-192.99999999999872,-19.99999999999602,49.99999999999716,26.999999999999247,15.00000000000945,,-502.99999999997533
2018.05.07,28.000000000005798,-115.99999999998278,-49.000000000006594,63.99999999999739,35.999999999991594,79.00000000000685,13.00000000000523,31.000000000003247,-40.00000000000669,-139.9999999999846,-214.00000000000307,-33.999999999991815,-184.00000000000637,-262.00000000000665,-43.99999999999693,51.00000000000193,6.999999999990347,-14.999999999998348,,-788.9999999999814
2018.05.07,19.999999999997797,-93.99999999999409,-22.00000000000557,79.99999999999119,71.99999999999429,51.000000000001044,-28.999999999996362,11.00000000000545,-85.99999999999719,-150.99999999999002,-290.00000000001245,-48.00000000000182,-180.0000000000024,-316.0000000000052,-31.999999999996476,33.999999999991815,40.99999999999105,-25.999999999992696,,-965.0000000000216
2018.05.07,31.000000000003247,-89.99999999999008,69.00000000000261,45.99999999999049,81.9999999999932,55.000000000005045,-106.99999999999932,42.0000000000087,-90.0000000000012,-123.99999999999079,-343.00000000000443,-147.99999999999613,-131.99999999999878,-327.99999999999494,61.99999999999761,-82.99999999999841,84.99999999999064,-61.999999999995396,,-1034.999999999978
2018.05.07,69.9999999999923,-38.99999999998904,34.99999999999659,122.99999999998423,173.9999999999964,49.99999999999449,-31.00000000000591,24.000000000001798,-148.99999999999915,-137.9999999999937,-466.9999999999952,-49.99999999998295,-161.99999999999548,-458.00000000000284,-16.999999999995907,-7.000000000005002,140.99999999999113,-55.99999999998939,,-956.9999999999978
2018.05.07,-31.000000000003247,-136.99999999998712,-123.00000000000466,99.99999999998899,143.9999999999997,25.00000000000835,18.000000000000682,-36.999999999998145,-195.00000000000074,-209.9999999999991,-503.000000000009,32.00000000001069,-249.99999999999466,-523.0000000000068,-121.99999999999989,85.99999999999852,124.99999999999733,-58.99999999999794,,-1659.999999999997
2018.05.07,-50.0000000000056,-190.00000000000128,-194.00000000000261,92.99999999998754,90.99999999999665,56.99999999999594,64.99999999999773,-48.99999999999905,-158.0000000000026,-293.99999999999426,-473.0000000000123,57.999999999992724,-314.99999999999864,-485.0000000000021,-171.99999999999704,69.99999999999318,60.99999999999994,-128.99999999999022,,-2014.0000000000418
2018.05.07,-100.00000000000009,-231.99999999998778,-299.99999999999716,97.9999999999981,175.99999999999838,41.000000000002146,117.00000000000443,-91.99999999999208,-277.000000000005,-341.99999999999784,-710.999999999995,141.00000000001955,-373.00000000000114,-720.0000000000095,-259.9999999999909,158.00000000000125,165.9999999999995,-118.99999999999133,,-2628.999999999944
2018.05.07,-65.99999999999939,-167.9999999999904,-167.0000000000016,120.99999999999334,124.99999999999733,18.999999999991246,24.00000000000091,-78.00000000000028,-204.00000000000418,-362.99999999998,-591.0000000000082,51.9999999999925,-320.9999999999935,-527.0000000000108,-170.0000000000017,24.999999999991473,82.99999999999974,-179.99999999999127,,-2386.0000000000155
2018.05.07,-111.00000000000554,-224.000000000002,-201.00000000000762,4.999999999988347,31.999999999998696,18.0000000000069,7.000000000005002,-42.999999999993044,-148.99999999999915,-308.9999999999815,-470.9999999999992,31.00000000000591,-252.0000000000078,-405.0000000000109,-120.99999999999511,-61.00000000000705,51.99999999999649,-225.99999999999287,,-2428.0
2018.05.07,-94.00000000000519,-217.0000000000005,-132.000000000005,14.000000000002899,8.999999999992347,32.0000000000098,-51.00000000000193,-34.000000000000696,-109.99999999999899,-320.9999999999935,-415.99999999999415,-45.99999999999227,-255.00000000000523,-346.0000000000019,-69.99999999999318,-70.99999999999795,13.999999999991797,-191.99999999999218,,-2285.999999999986
2018.05.07,-139.99999999999568,-245.99999999999068,-131.00000000000023,-28.000000000005798,-7.0000000000014495,7.0000000000014495,-96.00000000000364,-46.999999999997044,-126.99999999999933,-324.9999999999975,-439.0000000000116,-79.00000000000773,-246.99999999999721,-351.99999999999676,-43.99999999999693,-126.99999999999534,24.999999999997247,-228.99999999999034,,-2631.9999999999886
2018.05.07,-78.00000000000028,-163.9999999999864,-120.00000000000455,43.999999999999595,95.00000000000064,-1.999999999990898,-39.00000000000148,-41.9999999999976,-180.99999999999784,-322.00000000000006,-578.9999999999961,-1.0000000000047748,-224.000000000002,-453.99999999999886,-81.99999999999363,-13.999999999995794,100.99999999999554,-135.99999999999167,,-2197.999999999967
2018.05.07,-43.999999999999595,-109.99999999998789,-18.000000000000682,90.99999999999665,159.9999999999935,-15.00000000000945,-105.00000000000398,-45.99999999999049,-221.00000000000452,-316.99999999998954,-662.000000000007,-61.9999999999834,-211.99999999998997,-520.0000000000093,-34.99999999999659,-40.00000000000625,148.99999999999915,-116.99999999998934,,-2123.9999999999795
2018.05.07,-38.0000000000047,-95.00000000000064,15.000000000000568,99.00000000000463,175.99999999999838,-24.000000000001798,-128.0000000000001,-41.9999999999976,-231.0000000000034,-345.99999999997965,-719.000000000003,-87.99999999999386,-201.00000000000674,-534.9999999999966,-13.999999999995794,-58.000000000006935,161.99999999999548,-113.99999999999189,,-2180.9999999999836
2018.05.07,60.99999999999994,17.000000000000348,69.99999999999318,177.99999999998929,243.99999999999977,-17.000000000000348,-76.99999999999818,-12.999999999996348,-226.99999999999943,-347.9999999999928,-777.0000000000055,-31.00000000000591,-148.99999999999915,-530.9999999999926,-22.999999999996135,-25.000000000005684,193.99999999999417,-83.9999999999952,,-1538.0000000000107
2018.05.07,17.000000000000348,-14.999999999987246,64.99999999999773,144.99999999999514,200.00000000000017,-32.0000000000098,-120.99999999999511,-25.999999999992696,-218.00000000000708,-400.00000000000034,-770.000000000004,-60.000000000002274,-154.99999999999403,-479.99999999999153,-3.9999999999906777,-21.000000000000796,159.9999999999935,-60.99999999999994,,-1775.9999999999889
2018.05.07,72.0000000000054,77.00000000001594,116.99999999999022,173.99999999998528,243.99999999999977,-62.99999999999084,-114.00000000000432,-3.999999999992898,-218.00000000000708,-299.99999999998914,-731.9999999999993,-22.999999999996135,-72.0000000000054,-452.00000000000796,16.000000000005343,-19.000000000005457,193.99999999999417,-36.999999999998145,,-1140.000000000001
