date,GBPUSD,USDJPY,GBPCHF,EURCHF,NZDCHF,GBPCAD,EURNZD,NZDCAD,AUDNZD,empty,sum
2015.04.20,-49.00000000001015,-70.99999999999795,-106.00000000000608,-60.99999999999994,0.0,-188.9999999999947,-364.00000000000875,-174.99999999999181,0.0,,-1015.0000000000093
2015.04.20,-86.0000000000083,-43.00000000000637,-85.00000000000173,-17.000000000000348,124.00000000000189,56.000000000011596,-341.00000000001353,-151.9999999999966,17.000000000000348,,-527.0000000000131
2015.04.20,-87.00000000001484,-4.0000000000048885,-25.00000000000835,-2.999999999997449,137.9999999999937,107.00000000001265,-350.00000000000585,-102.99999999999754,43.00000000001525,,-284.00000000000733
2015.04.20,25.999999999992696,-16.999999999995907,116.99999999998934,15.999999999993797,88.99999999999464,108.00000000001918,-697.9999999999986,-278.00000000000045,-120.99999999999334,,-757.9999999999986
2015.04.20,-57.00000000001815,-52.00000000000671,95.00000000000064,-25.00000000000835,148.0000000000037,13.000000000018552,-392.00000000001455,-124.99999999999733,70.0000000000145,,-325.00000000000773
2015.04.20,-115.00000000002063,24.00000000000091,80.99999999999774,1.999999999990898,239.99999999999577,38.0000000000047,-442.00000000000904,-148.99999999999915,36.0000000000138,,-285.000000000025
2015.04.20,-144.0000000000108,49.99999999999716,72.99999999998974,-28.000000000005798,264.999999999993,-41.99999999998649,-569.0000000000194,-190.99999999999673,5.000000000010552,,-581.0000000000288
2015.04.20,-167.00000000000603,-25.99999999999625,131.99999999999878,-31.000000000003247,307.99999999999716,-98.99999999998244,-465.0000000000043,-110.99999999999443,79.00000000000685,,-379.99999999998397
2015.04.20,-236.00000000001398,-43.99999999999693,174.00000000000747,-48.000000000003595,283.99999999999534,-76.99999999999375,-489.0000000000061,-87.99999999999919,25.00000000000835,,-499.00000000000233
2015.04.20,-207.00000000000162,-28.000000000005798,201.99999999999108,-22.0000000000109,371.99999999999454,-168.99999999999693,-580.0000000000027,-111.99999999998988,-11.00000000000545,,-555.0000000000277
2015.04.20,-139.00000000000023,-49.000000000006594,214.00000000000307,-25.00000000000835,339.99999999999585,-51.99999999998539,-677.0000000000165,-139.99999999999568,-36.999999999998145,,-565.000000000012
2015.04.20,-160.00000000000458,21.000000000000796,275.9999999999874,-25.999999999992696,371.99999999999454,-73.99999999999629,-655.0000000000056,-120.99999999999334,-83.9999999999952,,-451.000000000005
2015.04.20,-115.00000000002063,52.99999999999727,261.0000000000001,-24.000000000001798,444.9999999999954,-156.99999999998494,-721.000000000016,-136.99999999999824,-116.00000000000499,,-511.0000000000339
2015.04.20,-94.00000000001629,25.99999999999625,266.999999999995,-22.999999999995246,424.9999999999976,-196.99999999998053,-693.0000000000102,-113.99999999999189,-89.00000000000574,,-492.00000000001114
2015.04.20,-55.000000000005045,19.99999999999602,295.0000000000008,-5.999999999994898,437.999999999994,-181.9999999999933,-743.0000000000048,-117.00000000000044,-79.99999999999119,,-429.9999999999988
2015.04.20,-49.00000000001015,99.99999999999432,243.99999999999977,14.999999999987246,400.9999999999958,-236.99999999999832,-806.0000000000178,-86.99999999999264,-48.99999999998794,,-468.0000000000297
2015.04.20,28.999999999990145,128.99999999999068,313.00000000000773,58.000000000002494,439.0000000000005,-306.9999999999906,-937.00000000001,-115.99999999999389,-45.000000000006146,,-437.0000000000091
2015.04.20,-41.000000000002146,274.0000000000009,290.9999999999968,43.999999999999595,526.9999999999997,-328.9999999999793,-971.0000000000107,-142.99999999999312,-48.000000000003595,,-395.9999999999919
2015.04.20,-89.00000000000574,281.9999999999965,167.9999999999904,14.000000000002899,495.9999999999964,-474.999999999981,-973.0000000000016,-148.99999999999915,-24.000000000001798,,-750.0000000000032
2015.04.20,27.999999999983594,230.00000000000398,-265.0000000000041,52.000000000007596,302.0000000000023,-512.9999999999857,-870.0000000000152,-155.99999999998948,-45.000000000006146,,-1237.0000000000032
