Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,USDJPY,10,['GBPCAD'],80.0,-0.4266349206349207,S
1,USDCAD,10,['AUDCAD'],80.0,0.40956349206349224,B
2,GBPCHF,15,"['GBPAUD', 'NZDUSD', 'GBPJPY', 'GBPCAD']",100.0,0.78,B
3,EURCHF,30,"['EURGBP', 'CADCHF', 'NZDJPY', 'USDCHF', 'AUDNZD', 'EURUSD']",100.0,-0.1515384615384615,S
4,NZDCHF,15,"['GBPAUD', 'AUDUSD']",80.0,0.4103809523809524,B
5,EURGBP,50,"['EURCAD', 'EURAUD', 'AUDCAD', 'AUDUSD']",80.0,-0.5481666666666668,S
6,GBPCAD,20,"['EURJPY', 'EURGBP']",80.0,0.956025641025641,B
7,EURNZD,10,"['AUDCHF', 'CADCHF']",80.0,0.31209523809523815,B
8,NZDCAD,10,['EURCHF'],80.0,-0.3686031746031746,S
9,AUDNZD,10,"['GBPAUD', 'USDCAD', 'GBPUSD']",80.0,0.569261904761905,B
