date,USDJPY,EURCHF,GBPCAD,EURJPY,AUDJPY,AUDNZD,empty,sum
2016.05.23,0.0,-248.99999999998812,-252.99999999999213,0.0,-0.999999999990564,-1.999999999990898,,-504.9999999999617
2016.05.23,7.000000000005002,-275.000000000003,-201.00000000000674,168.00000000000637,94.0000000000083,143.99999999998857,,-63.000000000001535
2016.05.23,23.000000000010346,-276.9999999999939,-214.00000000000307,177.0000000000067,112.00000000000898,190.00000000000128,,11.000000000030326
2016.05.23,67.00000000000728,-272.00000000000557,-187.99999999998818,191.0000000000025,143.00000000000068,170.00000000000347,,111.00000000002018
2016.05.23,34.000000000006025,-292.9999999999877,-228.00000000000597,197.00000000000273,108.00000000000409,157.99999999999147,,-23.99999999998937
2016.05.23,-107.99999999998988,-326.0000000000041,-255.00000000000523,72.00000000000273,-4.9999999999954525,261.0000000000001,,-360.9999999999918
2016.05.23,-275.99999999999625,-340.9999999999913,-181.00000000000892,-48.99999999999238,-91.99999999999875,241.00000000000233,,-697.9999999999852
2016.05.23,-318.9999999999884,-333.9999999999899,-163.00000000000205,-114.99999999999488,-54.99999999999261,248.00000000000378,,-737.9999999999641
2016.05.23,-469.99999999999886,-320.9999999999935,-219.99999999999798,-218.9999999999941,-193.9999999999884,241.00000000000233,,-1182.9999999999707
2016.05.23,-439.9999999999977,-307.99999999999716,-180.0000000000024,-212.99999999999386,-182.99999999999272,191.00000000000784,,-1132.999999999976
2016.05.23,-379.99999999999545,-319.0000000000026,-187.00000000000384,-135.99999999999568,-110.99999999999,190.00000000000128,,-942.9999999999865
2016.05.23,-402.9999999999916,-302.9999999999866,-218.00000000000708,-117.999999999995,-75.9999999999934,131.99999999999878,,-985.9999999999749
2016.05.23,-346.9999999999942,-285.00000000000193,-312.00000000000114,-96.9999999999942,-18.999999999991246,93.00000000000975,,-966.9999999999729
2016.05.23,-394.999999999996,-314.99999999999864,-289.9999999999903,-64.99999999999773,77.00000000001239,113.00000000000753,,-874.9999999999628
2016.05.23,-289.0000000000015,-283.99999999999534,-302.0000000000023,22.999999999996135,157.0000000000107,104.99999999999955,,-589.9999999999927
2016.05.23,-296.99999999999704,-295.0000000000008,-285.00000000000193,7.000000000005002,161.00000000000136,184.00000000000637,,-524.999999999987
2016.05.23,-250.0,-295.99999999998516,-334.9999999999964,-19.000000000005457,142.00000000001012,129.00000000000134,,-628.9999999999756
2016.05.23,-306.99999999998795,-255.00000000000523,-322.00000000000006,-120.00000000000455,17.000000000010118,68.00000000000139,,-918.9999999999862
2016.05.23,-422.9999999999876,-266.999999999995,-453.99999999999886,-197.00000000000273,3.0000000000001137,-9.999999999998899,,-1347.999999999983
2016.05.23,-500.0,-241.99999999998667,-489.99999999999045,-224.99999999999432,-74.99999999998863,-31.000000000003247,,-1562.9999999999634
2016.05.23,-691.9999999999931,-246.99999999999721,-469.0000000000083,-469.99999999999886,-446.9999999999885,-200.00000000000017,,-2524.999999999986
2016.05.23,-643.9999999999912,-234.99999999998522,-445.99999999999085,-468.9999999999941,-426.9999999999925,-161.00000000001114,,-2381.9999999999645
2016.05.23,-628.0000000000001,-251.99999999998556,-774.000000000008,-611.9999999999948,-454.9999999999983,-215.00000000000963,,-2935.999999999996
2016.05.23,-570.999999999998,-244.9999999999841,-956.0000000000013,-587.9999999999939,-358.99999999999466,-306.9999999999906,,-3025.9999999999623
2016.05.23,-592.9999999999893,-266.999999999995,-943.000000000005,-617.0000000000044,-416.9999999999874,-195.00000000001182,,-3031.9999999999927
2016.05.23,-783.9999999999918,-222.99999999999542,-822.9999999999959,-810.0000000000023,-608.9999999999947,-208.99999999999253,,-3457.9999999999727
2016.05.23,-766.9999999999959,-153.9999999999875,-712.0000000000015,-823.9999999999981,-643.0000000000007,-262.999999999991,,-3362.9999999999745
2016.05.23,-664.999999999992,-126.0000000000039,-461.0000000000003,-725.9999999999991,-579.9999999999983,-161.99999999999548,,-2719.999999999989
2016.05.23,-762.0000000000005,-112.99999999998533,-439.99999999999596,-762.0000000000005,-619.9999999999903,-165.9999999999995,,-2862.9999999999723
2016.05.23,-727.9999999999944,-185.99999999999727,-448.9999999999883,-740.9999999999997,-554.9999999999926,-102.00000000000209,,-2760.9999999999745
2016.05.23,-748.9999999999952,-180.0000000000024,-539.0000000000006,-811.9999999999976,-667.9999999999922,-164.99999999999292,,-3112.999999999981
2016.05.23,-723.9999999999895,-153.9999999999875,-482.999999999989,-813.0000000000024,-671.999999999997,-147.00000000000824,,-2992.9999999999736
2016.05.23,-680.9999999999974,-136.99999999998712,-605.9999999999955,-864.0000000000043,-667.9999999999922,-34.000000000000696,,-2989.9999999999777
2016.05.23,-711.9999999999891,-95.999999999985,-624.0000000000023,-890.0000000000006,-701.9999999999982,58.000000000002494,,-2965.9999999999727
2016.05.23,-768.9999999999912,-131.99999999999878,-371.99999999999454,-977.9999999999944,-600.9999999999991,89.99999999999008,,-2761.999999999988
2016.05.23,-738.9999999999901,-200.00000000000017,-429.99999999999704,-861.9999999999948,-644.999999999996,92.00000000000318,,-2783.9999999999745
