date,AUDUSD,EURCHF,CHFJPY,empty,sum
2017.08.28,-42.999999999993044,-69.00000000000794,-98.99999999998954,,-210.99999999999054
2017.08.28,-43.999999999999595,-90.99999999999665,-159.9999999999966,,-294.99999999999284
2017.08.28,12.000000000000899,-107.99999999999699,45.000000000001705,,-50.99999999999439
2017.08.28,106.00000000000608,-199.00000000001583,48.00000000000182,,-45.00000000000793
2017.08.28,129.00000000000134,-217.0000000000005,61.00000000000705,,-26.999999999992127
2017.08.28,92.00000000000318,-212.00000000001216,99.00000000000375,,-21.00000000000523
2017.08.28,31.000000000003247,-180.0000000000024,33.00000000000125,,-115.9999999999979
2017.08.28,30.000000000007798,-26.999999999999247,-121.99999999999989,,-118.99999999999133
2017.08.28,97.00000000000264,29.999999999996696,-101.99999999998965,,25.000000000009692
2017.08.28,118.00000000000699,4.999999999988347,-97.99999999999898,,24.999999999996362
2017.08.28,85.00000000000173,17.000000000000348,-135.99999999999568,,-33.999999999993605
2017.08.28,60.99999999999994,-8.000000000008,-122.99999999999045,,-69.99999999999851
2017.08.28,70.0000000000034,-55.000000000005045,-164.00000000000148,,-149.00000000000313
2017.08.28,58.000000000002494,-168.99999999999693,-295.0000000000017,,-405.99999999999613
2017.08.28,39.00000000000014,-70.99999999999883,-262.999999999991,,-294.9999999999897
2017.08.28,45.000000000006146,-112.000000000001,-278.99999999999636,,-345.99999999999125
2017.08.28,15.00000000000945,-56.000000000011596,-191.0000000000025,,-232.00000000000466
2017.08.28,47.00000000000814,-96.00000000000719,-141.9999999999959,,-190.99999999999494
2017.08.28,76.0000000000094,-58.000000000002494,-134.00000000000034,,-115.99999999999343
2017.08.28,42.0000000000087,-34.000000000000696,-128.99999999999068,,-120.99999999998268
2017.08.28,60.00000000000449,-29.999999999996696,-141.9999999999959,,-111.99999999998812
2017.08.28,86.0000000000083,39.999999999995595,-51.00000000000193,,75.00000000000196
2017.08.28,107.00000000000153,136.00000000000279,51.00000000000193,,294.00000000000625
2017.08.28,174.00000000000747,157.99999999999147,156.0000000000059,,488.0000000000049
2017.08.28,154.0000000000097,265.0000000000041,267.0000000000101,,686.0000000000239
2017.08.28,65.00000000000395,215.99999999999397,265.00000000000057,,545.9999999999985
2017.08.28,-45.99999999999049,161.99999999999548,231.99999999999932,,348.0000000000043
2017.08.28,73.00000000000084,144.99999999999514,186.9999999999976,,404.9999999999936
2017.08.28,90.0000000000012,146.99999999998602,176.00000000000193,,412.99999999998914
2017.08.28,125.00000000000844,143.99999999998857,144.00000000000546,,413.0000000000025
2017.08.28,126.99999999999933,95.999999999985,109.00000000000887,,331.9999999999932
2017.08.28,159.00000000000912,99.00000000000463,186.00000000000705,,444.0000000000208
2017.08.28,114.00000000000298,116.00000000000499,259.00000000000034,,489.0000000000083
2017.08.28,125.00000000000844,-154.0000000000097,-51.9999999999925,,-80.99999999999375
2017.08.28,96.00000000000719,-228.00000000000597,-103.9999999999992,,-235.99999999999798
2017.08.28,96.00000000000719,-209.00000000001472,64.00000000000716,,-49.00000000000037
