date,GBPUSD,EURCHF,EURCAD,empty,sum
2020.06.01,-201.99999999999108,-102.00000000000209,159.99999999998238,,-144.0000000000108
2020.06.01,-173.00000000000094,-82.00000000000429,159.99999999998238,,-95.00000000002285
2020.06.01,-290.9999999999968,-43.999999999999595,-17.000000000000348,,-351.99999999999676
2020.06.01,-218.99999999999142,-52.000000000007596,9.999999999998899,,-261.0000000000001
2020.06.01,-218.00000000000708,-97.9999999999981,-94.00000000001629,,-410.0000000000215
2020.06.01,-218.99999999999142,-82.00000000000429,-32.0000000000098,,-333.00000000000546
2020.06.01,-584.9999999999911,-130.99999999999224,410.99999999998363,,-304.9999999999998
2020.06.01,-517.9999999999962,-113.99999999999189,374.999999999992,,-256.9999999999962
2020.06.01,-787.0000000000043,-212.00000000001216,349.99999999998363,,-649.0000000000329
2020.06.01,-866.9999999999956,-232.00000000000998,409.99999999999926,,-689.0000000000061
2020.06.01,-848.0000000000043,-212.00000000001216,450.9999999999792,,-609.0000000000372
2020.06.01,-805.9999999999956,-266.999999999995,513.9999999999923,,-558.9999999999982
2020.06.01,-642.9999999999936,-268.0000000000016,350.9999999999902,,-560.000000000005
2020.06.01,-628.0000000000064,-258.0000000000027,238.99999999998923,,-647.0000000000199
2020.06.01,-706.999999999991,-310.9999999999946,264.9999999999819,,-753.0000000000038
2020.06.01,-590.0000000000016,-262.00000000000665,292.9999999999877,,-559.0000000000205
2020.06.01,-628.0000000000064,-246.99999999999721,261.0000000000001,,-614.0000000000035
2020.06.01,-661.0000000000005,-259.9999999999936,304.9999999999997,,-615.9999999999943
2020.06.01,-801.0000000000073,-258.0000000000027,351.99999999999676,,-707.0000000000132
2020.06.01,-625.9999999999932,-248.00000000000378,468.9999999999861,,-405.00000000001086
2020.06.01,-811.9999999999905,-215.99999999999397,603.9999999999824,,-424.00000000000216
2020.06.01,-994.000000000006,-266.0000000000107,640.9999999999804,,-619.0000000000364
2020.06.01,-784.9999999999912,-83.9999999999952,475.99999999998755,,-392.9999999999989
2020.06.01,-809.9999999999997,-59.99999999999339,372.9999999999789,,-497.00000000001415
2020.06.01,-825.9999999999934,-36.999999999998145,585.9999999999976,,-276.999999999994
2020.06.01,-665.9999999999889,-82.00000000000429,583.0000000000002,,-164.99999999999295
2020.06.01,-635.9999999999922,-60.99999999999994,719.9999999999873,,22.999999999995225
2020.06.01,-618.0000000000074,-85.00000000000173,738.9999999999785,,35.99999999996942
2020.06.01,-547.0000000000086,-103.99999999999298,738.9999999999785,,87.99999999997692
2020.06.01,-656.9999999999965,-114.99999999999844,738.9999999999785,,-33.00000000001637
2020.06.01,-713.0000000000081,-139.00000000000023,733.9999999999902,,-118.00000000001808
2020.06.01,-743.0000000000048,-168.99999999999693,670.9999999999993,,-241.0000000000024
2020.06.01,-905.0000000000002,-242.99999999999324,591.9999999999925,,-556.0000000000009
2020.06.01,-994.9999999999903,-241.00000000000233,755.9999999999789,,-480.00000000001387
2020.06.01,-1435.0000000000084,-245.0000000000063,1221.9999999999898,,-458.000000000025
2020.06.01,-1594.999999999991,-258.0000000000027,1444.9999999999852,,-408.0000000000084
2020.06.01,-1400.0000000000011,-231.0000000000034,1587.9999999999893,,-43.000000000015234
2020.06.01,-1463.9999999999986,-225.99999999999287,1816.9999999999798,,126.99999999998818
2020.06.01,-1401.0000000000077,-259.9999999999936,1864.9999999999834,,203.99999999998204
2020.06.01,-1414.000000000004,-276.9999999999939,1793.9999999999845,,102.99999999998658
2020.06.01,-1510.9999999999957,-276.00000000000955,1788.9999999999961,,1.999999999990905
2020.06.01,-1549.0000000000005,-320.9999999999935,1834.9999999999866,,-35.0000000000075
2020.06.01,-1558.9999999999993,-336.00000000000296,1922.999999999986,,27.99999999998363
2020.06.01,-1726.0000000000052,-354.9999999999942,1987.9999999999898,,-93.00000000000978
2020.06.01,-1798.999999999995,-339.0000000000004,2152.9999999999827,,14.999999999987267
2020.06.01,-1757.0000000000086,-327.99999999999494,2037.9999999999843,,-47.00000000001933
2020.06.01,-1706.0000000000075,-310.9999999999946,2032.999999999996,,15.999999999993861
2020.06.01,-1642.9999999999945,-283.99999999999534,2003.9999999999836,,76.99999999999363
2020.06.02,-1702.0000000000034,-266.999999999995,2019.9999999999995,,51.00000000000114
2020.06.02,-1685.9999999999875,-266.999999999995,2067.999999999981,,114.99999999999841
2020.06.02,-1706.9999999999918,-282.0000000000045,2074.9999999999823,,85.9999999999859
2020.06.02,-1635.999999999993,-266.999999999995,2006.9999999999811,,103.99999999999318
2020.06.02,-1655.999999999991,-228.99999999999034,2013.9999999999825,,129.00000000000114
2020.06.02,-1628.9999999999916,-221.00000000000452,2015.9999999999957,,165.99999999999955
2020.06.02,-1822.9999999999968,-235.00000000000742,2250.999999999981,,192.9999999999768
2020.06.02,-1915.0,-228.99999999999034,2273.999999999998,,130.00000000000773
2020.06.02,-1831.0000000000048,-251.00000000000122,2261.9999999999864,,179.99999999998045
2020.06.02,-1808.9999999999939,-242.99999999999324,2226.999999999979,,174.99999999999181
2020.06.02,-1602.9999999999989,-214.00000000000307,2242.999999999995,,425.9999999999932
2020.06.02,-1624.0000000000032,-251.00000000000122,2212.999999999998,,337.99999999999386
2020.06.02,-1658.0000000000039,-256.00000000001177,2215.999999999996,,301.9999999999802
2020.06.02,-1614.0000000000043,-262.999999999991,2326.99999999999,,449.99999999999454
