date,GBPUSD,EURCHF,EURCAD,empty,sum
2020.06.01,-238.0000000000049,-133.00000000000534,-15.00000000000945,,-386.00000000001967
2020.06.01,-255.99999999998957,-130.0000000000079,120.99999999999334,,-265.00000000000415
2020.06.01,-304.9999999999997,-114.99999999999844,-100.0000000000112,,-520.0000000000093
2020.06.01,-297.9999999999983,-60.99999999999994,-37.00000000002035,,-396.0000000000186
2020.06.01,-246.99999999999721,-100.99999999999554,-107.00000000001265,,-455.00000000000534
2020.06.01,-259.0000000000092,-114.99999999999844,-121.00000000001555,,-495.0000000000232
2020.06.01,-678.0000000000008,-136.00000000000279,-41.000000000002146,,-855.0000000000058
2020.06.01,-588.9999999999951,-143.00000000000423,333.9999999999899,,-398.00000000000944
2020.06.01,-805.9999999999956,-215.99999999999397,320.9999999999935,,-700.999999999996
2020.06.01,-879.0000000000075,-248.00000000000378,303.9999999999932,,-823.0000000000182
2020.06.01,-890.9999999999974,-242.00000000000887,344.99999999999534,,-788.000000000011
2020.06.01,-914.9999999999991,-269.00000000000813,422.9999999999956,,-761.0000000000116
2020.06.01,-805.9999999999956,-302.0000000000023,345.99999999997965,,-762.0000000000181
2020.06.01,-652.9999999999925,-279.99999999999136,231.99999999998778,,-700.9999999999961
2020.06.01,-712.0000000000015,-313.99999999999204,176.99999999998272,,-849.0000000000109
2020.06.01,-706.999999999991,-314.99999999999864,258.99999999998704,,-763.0000000000026
2020.06.01,-666.9999999999953,-265.0000000000041,224.99999999998633,,-707.0000000000131
2020.06.01,-679.9999999999917,-269.9999999999925,240.9999999999801,,-709.0000000000041
2020.06.01,-842.9999999999937,-327.99999999999494,257.99999999998045,,-913.0000000000082
2020.06.01,-804.9999999999891,-286.99999999999284,316.99999999998954,,-774.9999999999923
2020.06.01,-880.9999999999984,-276.00000000000955,464.9999999999821,,-692.0000000000259
2020.06.01,-1021.9999999999895,-358.9999999999982,529.999999999986,,-851.0000000000017
2020.06.01,-1004.0000000000049,-276.00000000000955,410.99999999998363,,-869.0000000000309
