date,USDCHF,EURUSD,USDJPY,USDCAD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,NZDCAD,empty,sum
2019.05.13,0.0,-75.00000000000284,0.0,0.0,-229.99999999999687,0.0,-3.999999999992898,-124.99999999999733,0.0,-138.00000000000523,-189.00000000001694,-158.0000000000137,-87.99999999999386,-79.00000000000685,-18.999999999991246,,-1105.0000000000177
2019.05.13,-204.00000000000418,-113.00000000000753,21.000000000000796,-24.000000000001798,-232.00000000000998,-168.00000000000148,-157.99999999999147,-141.00000000000225,10.999999999994348,-229.99999999998977,-253.00000000001432,-197.00000000000273,-162.9999999999967,-110.99999999999443,55.000000000005045,,-1907.0000000000168
2019.05.13,-26.999999999999247,-86.0000000000083,-33.999999999991815,-28.000000000005798,-200.00000000000017,19.00000000000235,-27.999999999994696,-154.99999999999403,53.999999999998494,-221.00000000000364,-334.9999999999964,-341.00000000001353,-111.99999999999477,-181.00000000000892,75.9999999999983,,-1599.0000000000123
2019.05.13,28.999999999990145,-65.00000000000395,-27.000000000001023,97.9999999999981,-197.00000000000273,11.00000000000545,-20.999999999993246,-103.99999999999298,47.9999999999925,-188.99999999999295,-351.0000000000124,-405.0000000000109,-60.000000000002274,-238.0000000000049,68.00000000000139,,-1403.00000000003
2019.05.13,-8.999999999992347,-76.99999999999375,-28.999999999996362,96.00000000000719,-141.99999999999767,-14.999999999998348,-42.999999999993044,-70.99999999999883,51.99999999999649,-162.9999999999825,-368.00000000001273,-432.9999999999945,-43.99999999999693,-256.00000000001177,72.0000000000054,,-1429.9999999999595
2019.05.13,-41.000000000002146,-90.00000000001229,-125.0,110.00000000001009,-133.00000000000534,-91.99999999999208,-114.99999999999844,-51.000000000001044,39.999999999995595,-164.99999999999204,-479.0000000000072,-571.9999999999948,-37.9999999999967,-364.9999999999931,81.00000000000884,,-2034.9999999999807
2019.05.13,-32.999999999994145,-75.00000000000284,-161.99999999999193,158.99999999999804,-160.00000000000458,-98.99999999999353,-161.99999999999548,0.0,31.999999999998696,-109.00000000000887,-517.9999999999962,-739.0000000000008,30.000000000001137,-489.0000000000061,26.999999999999247,,-2297.9999999999977
2019.05.13,-1.0000000000065512,-53.00000000001415,-73.99999999999807,154.0000000000097,-165.9999999999995,-37.99999999999359,-115.99999999999389,8.000000000008,10.999999999994348,-131.00000000000023,-434.000000000001,-661.0000000000005,24.00000000000091,-388.0000000000106,-3.999999999992898,,-1868.999999999998
2019.05.13,-12.000000000012001,-46.999999999997044,-58.9999999999975,110.99999999999443,-161.99999999999548,-36.999999999998145,-105.99999999999498,24.000000000001798,17.000000000000348,-177.99999999999727,-429.00000000001273,-632.9999999999947,-4.9999999999954525,-354.0000000000099,-22.999999999995246,,-1893.0000000000039
2019.05.13,-14.000000000002899,-51.000000000001044,-42.00000000000159,110.00000000001009,-141.99999999999767,-52.99999999999194,-127.99999999999478,26.000000000003798,26.999999999999247,-211.9999999999891,-463.0000000000134,-661.0000000000005,-33.00000000000125,-394.00000000000546,-26.999999999999247,,-2056.9999999999854
