date,AUDUSD,GBPCHF,EURCHF,GBPCAD,EURCAD,EURAUD,AUDCAD,NZDCAD,empty,sum
2020.03.16,-1349.0000000000002,-773.9999999999858,-226.99999999999943,-494.00000000001666,-316.0000000000052,-3843.999999999981,-1280.9999999999989,-1353.9999999999995,,-9638.999999999987
2020.03.16,-924.0000000000026,-392.9999999999989,-180.0000000000024,-100.0000000000112,228.00000000000597,-2642.9999999999955,-623.0000000000069,-712.0000000000015,,-5347.000000000014
2020.03.16,-780.000000000003,-267.99999999997937,-248.00000000000378,832.9999999999949,446.9999999999974,-2317.9999999999977,-485.0000000000021,-558.9999999999984,,-3377.9999999999927
2020.03.16,-712.9999999999969,-192.99999999999872,-341.00000000001353,329.00000000000153,-83.9999999999952,-2015.9999999999957,-687.9999999999998,-557.0000000000075,,-4263.0000000000055
2020.03.16,-748.0000000000042,-519.9999999999872,-268.0000000000016,41.99999999998649,-102.00000000000209,-2050.9999999999804,-661.0000000000005,-570.0000000000039,,-4877.999999999993
2020.03.16,-922.0000000000006,-470.9999999999992,-197.00000000000273,-241.00000000000233,-225.00000000000853,-2244.0000000000014,-823.000000000007,-600.0000000000006,,-5723.000000000023
2020.03.16,-1461.9999999999966,-455.99999999998977,-188.00000000001037,-685.0000000000023,-583.0000000000002,-3321.9999999999804,-1522.0000000000011,-768.9999999999975,,-8986.99999999998
2020.03.16,-1383.000000000001,-350.9999999999902,-182.99999999999983,-555.0000000000166,-391.000000000008,-3068.999999999988,-1400.0000000000011,-722.0000000000005,,-8054.0000000000055
2020.03.16,-1229.0000000000023,-376.9999999999829,-185.00000000001293,-399.00000000001603,-253.99999999999866,-2516.9999999999914,-1163.000000000003,-563.0000000000024,,-6687.000000000009
2020.03.16,-1047.9999999999934,-257.99999999998045,-229.00000000001253,-148.99999999999915,-341.00000000001353,-2099.999999999991,-851.0000000000017,-346.0000000000019,,-5321.999999999994
2020.03.16,-1058.9999999999989,-242.99999999999324,-243.00000000001543,190.00000000000128,-25.999999999992696,-2160.999999999991,-716.0000000000056,-397.0000000000029,,-4654.999999999998
2020.03.16,-885.0000000000025,-126.99999999998823,-153.00000000000313,242.99999999999324,-24.000000000001798,-1863.999999999999,-585.0000000000022,-252.0000000000078,,-3647.000000000012
2020.03.16,-758.0000000000031,-200.00000000000017,-194.0000000000053,221.99999999998886,-2.999999999997449,-1672.9999999999911,-395.0000000000009,-165.9999999999995,,-3167.0000000000086
2020.03.16,-741.9999999999982,-234.99999999998522,-192.00000000001438,130.99999999999224,5.999999999994898,-1542.9999999999832,-380.00000000000256,-182.99999999999983,,-3137.9999999999964
2020.03.16,-854.9999999999947,-261.0000000000001,-215.99999999999397,312.00000000000114,107.99999999999699,-1934.9999999999977,-453.99999999999886,-236.00000000000287,,-3536.99999999999
2020.03.16,-863.9999999999981,-270.99999999999903,-195.9999999999962,510.99999999999477,353.99999999998766,-1939.9999999999861,-385.000000000002,-197.99999999999818,,-2988.999999999997
2020.03.16,-868.000000000002,-378.999999999996,-228.00000000000597,529.999999999986,411.99999999999017,-2223.9999999999814,-368.00000000000165,-180.0000000000024,,-3305.000000000013
2020.03.16,-1175.0000000000039,-508.9999999999817,-229.99999999999687,757.999999999992,692.9999999999881,-3135.999999999983,-678.0000000000008,-308.00000000000824,,-4584.9999999999945
2020.03.16,-1173.0000000000018,-592.9999999999991,-246.99999999999721,726.9999999999887,819.9999999999985,-3102.999999999989,-672.0000000000059,-353.99999999999875,,-4595.000000000005
2020.03.16,-1068.9999999999977,-1225.9999999999939,-243.99999999999977,10.999999999983245,858.9999999999875,-3204.9999999999914,-551.0000000000015,-492.0000000000035,,-5917.000000000018
2020.03.16,-966.0000000000002,-1183.0000000000007,-226.00000000001506,107.99999999999699,1129.9999999999866,-3142.0000000000005,-534.0000000000011,-548.9999999999995,,-5362.000000000033
