date,USDCHF,GBPUSD,EURUSD,USDCAD,GBPCHF,EURCHF,CHFJPY,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,NZDCAD,AUDNZD,empty,sum
2018.02.19,-31.000000000003247,-85.00000000000173,93.99999999999409,59.000000000009045,-29.999999999996696,-4.000000000004,141.00000000000534,-41.000000000002146,170.99999999999227,177.00000000000495,-137.9999999999937,167.0000000000016,177.00000000000495,-148.99999999999915,-118.00000000001809,7.999999999995566,75.9999999999983,4.000000000004,,477.9999999999913
2018.02.19,-2.999999999997449,-197.00000000000273,142.99999999998204,19.999999999997797,31.000000000003247,-26.999999999999247,149.0000000000009,-60.00000000000449,216.99999999998454,231.0000000000034,-261.0000000000001,155.00000000000114,163.00000000000205,-202.9999999999976,-173.00000000000094,13.999999999995794,40.00000000000669,2.999999999997449,,241.9999999999725
2018.02.19,9.999999999998899,-217.99999999998488,150.99999999999002,-38.0000000000047,66.00000000001049,-8.999999999992347,127.00000000000955,43.999999999999595,139.99999999998636,215.99999999999397,-200.00000000000017,81.00000000001728,120.99999999999334,-131.99999999999878,17.000000000000348,-10.000000000005116,131.00000000000333,-60.99999999999994,,436.0000000000172
2018.02.19,-31.999999999998696,-184.00000000000637,109.00000000000354,2.0000000000131024,93.00000000000975,-22.0000000000109,112.00000000000898,76.99999999999375,150.00000000000568,231.99999999998778,-173.99999999998528,86.00000000001273,117.99999999999588,-95.00000000000064,71.99999999998319,-10.000000000005116,161.00000000000003,-78.00000000000028,,617.000000000007
2018.02.19,26.000000000003798,-248.00000000000378,187.99999999998818,-72.99999999998974,69.00000000000794,-24.000000000001798,266.00000000000534,66.99999999999484,316.99999999997885,207.00000000000162,-200.99999999998454,256.0000000000002,120.99999999999334,-140.99999999999113,48.99999999998794,100.99999999999909,151.00000000000114,-95.00000000000064,,1035.9999999999907
2018.02.19,-24.000000000001798,-282.0000000000045,218.99999999999142,-231.0000000000034,168.0000000000126,-113.00000000000753,154.00000000001057,141.99999999999767,287.9999999999825,24.999999999986144,-90.99999999999665,229.00000000001342,-32.999999999994145,-43.999999999999595,101.99999999997988,171.00000000000648,87.99999999999919,-60.99999999999994,,706.9999999999723
2018.02.19,1.0000000000065512,-336.9999999999873,289.9999999999903,-249.99999999999466,187.00000000000384,-150.00000000000568,31.00000000000591,143.9999999999997,150.00000000000568,70.99999999999883,-34.000000000000696,133.00000000000978,28.000000000005798,-21.999999999988695,58.99999999998684,69.99999999999318,107.00000000000153,-21.00000000000435,,457.0000000000265
2018.02.19,40.00000000000669,-358.9999999999982,332.9999999999833,-273.9999999999965,148.00000000001478,-137.00000000000932,38.000000000010914,176.99999999999383,110.99999999999,62.000000000006494,75.00000000000284,122.0000000000141,52.000000000007596,43.999999999999595,150.99999999999002,54.000000000002046,167.00000000000603,-28.000000000005798,,776.0000000000185
2018.02.19,-29.999999999996696,-340.00000000000693,293.99999999999426,-276.9999999999939,233.00000000001654,-191.99999999999218,23.000000000010346,236.99999999999832,189.99999999999773,36.999999999998145,107.00000000001265,166.00000000002524,4.000000000004,103.00000000000864,217.0000000000005,109.99999999999943,177.00000000000495,-35.00000000000725,,1024.0000000000737
2018.02.19,-49.99999999999449,-309.0000000000037,235.99999999999176,-241.00000000000233,234.00000000000088,-164.99999999999292,4.0000000000048885,237.99999999999378,159.9999999999966,46.999999999997044,145.00000000001734,109.00000000000887,-26.999999999999247,175.99999999999838,265.99999999998846,87.0000000000033,189.00000000000583,-18.0000000000069,,1081.0000000000075
2018.02.19,-43.00000000000415,-317.9999999999961,245.99999999999068,-239.99999999999577,233.00000000001654,-163.00000000000205,70.00000000000739,196.99999999999162,245.9999999999809,58.99999999998684,99.00000000000463,186.00000000000705,-12.000000000012001,130.0000000000079,166.99999999998383,129.0000000000049,142.00000000000878,17.000000000000348,,1144.9999999999814
2018.02.19,-59.99999999999339,-266.999999999995,200.99999999998454,-204.00000000000418,209.9999999999991,-143.00000000000423,137.00000000000045,171.99999999999437,310.9999999999786,43.999999999999595,26.999999999999247,247.0000000000141,-24.000000000001798,65.00000000000395,125.99999999998168,171.99999999999704,114.99999999999844,-8.000000000008,,1120.9999999999445
2018.02.19,-66.99999999999484,-241.00000000000233,173.99999999998528,-177.99999999998929,197.00000000000273,-127.00000000001043,118.99999999999977,136.99999999999824,268.0000000000007,51.99999999998539,-7.0000000000014495,201.99999999999818,-25.999999999992696,41.000000000002146,63.99999999999739,147.00000000000557,75.00000000000284,24.000000000001798,,853.9999999999891
2018.02.19,-104.00000000000409,-187.00000000000384,147.99999999999258,-164.99999999999292,198.00000000000927,-147.99999999999258,164.00000000000148,156.99999999999602,328.00000000000296,1.0000000000065512,4.000000000004,278.00000000002,-39.999999999995595,19.999999999997797,91.99999999998099,204.9999999999983,84.0000000000063,-8.000000000008,,1027.0000000000193
2018.02.19,-75.9999999999983,-175.99999999999838,132.99999999998312,-185.99999999999727,148.00000000001478,-103.00000000000864,179.00000000000205,168.99999999999693,290.9999999999968,-42.0000000000087,75.00000000000284,239.00000000000432,-90.99999999999665,90.99999999999665,184.99999999999073,206.99999999999363,108.00000000000809,-22.0000000000109,,1128.9999999999711
2018.02.19,-175.00000000000293,-34.000000000000696,85.00000000000173,-95.00000000000064,150.00000000000568,-177.00000000000495,190.00000000001194,163.99999999999747,312.9999999999882,-93.99999999999409,130.0000000000079,341.0000000000082,-35.999999999991594,42.0000000000087,52.99999999999194,242.00000000000443,69.00000000000794,25.00000000000835,,1193.0000000000475
