date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,EURNZD,NZDCAD,AUDNZD,empty,sum
2015.10.05,-21.999999999999797,-38.0000000000047,-32.999999999994145,-1.0000000000065512,-4.000000000004,0.0,-131.99999999999878,-148.00000000001478,-155.00000000000114,-51.99999999999649,0.0,0.0,-96.00000000000719,-14.999999999986358,-106.99999999999044,-18.0000000000069,-248.00000000000378,-24.999999999997247,-84.99999999997954,,-1178.9999999999918
2015.10.05,-35.00000000000725,-36.999999999998145,-35.999999999991594,26.999999999999247,-33.000000000005244,0.0,-61.99999999998429,-119.00000000000244,-123.00000000000466,-58.99999999999794,67.00000000000594,-58.9999999999975,-95.00000000000064,-67.00000000000728,-92.99999999998754,-66.00000000001049,-195.9999999999962,-39.00000000000014,-151.9999999999966,,-1176.9999999999827
2015.10.05,27.999999999994696,95.00000000000064,28.000000000005798,59.99999999999339,-36.0000000000027,4.000000000004,-68.00000000000139,-124.00000000001299,-88.00000000000807,23.00000000000635,75.00000000000284,195.99999999999795,-157.00000000000713,28.999999999996362,-146.00000000000168,-162.00000000001768,-225.00000000000853,-46.00000000000159,-200.99999999998454,,-715.0000000000442
2015.10.05,80.99999999999774,-1.0000000000065512,12.000000000012001,195.9999999999962,-21.999999999999797,87.99999999999919,-90.99999999999665,-148.00000000001478,-46.00000000000648,7.0000000000014495,55.000000000005045,92.99999999998931,-327.00000000001063,82.99999999999841,-229.99999999999687,-93.00000000000975,-446.9999999999974,-29.999999999996696,-246.99999999999721,,-1067.0000000000334
2015.10.05,73.99999999999629,-21.999999999988695,-2.999999999997449,208.99999999999253,-3.0000000000085514,148.99999999999915,-106.99999999999044,-150.00000000000568,-48.00000000000182,-4.999999999999449,63.99999999999739,98.99999999998954,-367.0000000000062,55.00000000000682,-263.99999999999756,-47.00000000001925,-581.9999999999936,38.0000000000047,-334.9999999999964,,-1245.0000000000189
2015.10.05,21.999999999999797,-49.00000000001015,-42.999999999993044,192.99999999999872,26.999999999999247,70.99999999999883,-129.99999999998568,-190.00000000000128,-174.99999999999716,-92.99999999999864,87.99999999999919,-36.000000000001364,-391.9999999999924,-44.999999999987494,-337.99999999999386,71.99999999998319,-584.0000000000067,-46.00000000000159,-304.9999999999997,,-1952.99999999999
2015.10.05,13.999999999991797,-89.99999999999008,-18.999999999991246,48.99999999998794,21.999999999999797,-19.999999999997797,-127.99999999999478,-145.00000000001734,-210.00000000000796,-95.00000000000064,56.0000000000005,-153.00000000002,-321.99999999997783,-86.99999999998909,-285.99999999998624,92.99999999998754,-346.0000000000019,-115.99999999999389,-75.99999999998718,,-1858.9999999999886
2015.10.05,3.999999999992898,-121.99999999999989,-59.99999999999339,71.99999999998319,41.9999999999976,52.000000000007596,-151.9999999999966,-140.0000000000068,-183.00000000000693,-104.99999999999955,51.99999999999649,-146.000000000015,-302.9999999999866,-49.000000000006594,-211.99999999998997,121.99999999999989,-591.0000000000082,-2.999999999997449,-145.99999999997948,,-1868.0000000000089
2015.10.05,-31.999999999998696,-184.00000000000637,-82.00000000000429,-1.0000000000065512,-153.00000000000313,-24.999999999997247,-157.99999999999147,-151.00000000001222,-191.0000000000025,-39.999999999995595,58.000000000002494,-137.00000000000045,-293.0000000000099,-49.000000000006594,-177.99999999998929,-204.00000000000418,-462.9999999999912,-63.00000000000195,-295.99999999998516,,-2642.000000000004
2015.10.05,-141.00000000000225,-290.9999999999968,-235.99999999999176,-29.999999999996696,-189.00000000000583,-85.00000000000173,-188.9999999999947,-187.00000000000384,-291.000000000011,26.999999999999247,68.00000000000139,-163.0000000000109,-299.00000000000483,-174.0000000000066,-285.00000000000193,-205.00000000001074,-470.9999999999992,-104.99999999999955,-328.9999999999793,,-3575.0000000000173
