date,EURUSD,USDCAD,EURCHF,empty,sum
2019.09.16,-32.0000000000098,-662.000000000007,0.0,,-694.0000000000168
2019.09.16,-5.999999999994898,-550.000000000006,228.99999999999034,,-327.0000000000106
2019.09.16,-62.000000000006494,-666.000000000011,157.99999999999147,,-570.000000000026
2019.09.16,-80.00000000001339,-746.0000000000023,154.99999999999403,,-671.0000000000216
2019.09.16,-143.00000000000423,-730.0000000000084,157.99999999999147,,-715.0000000000211
2019.09.16,-133.00000000000534,-706.0000000000066,181.9999999999933,,-657.0000000000186
2019.09.16,-123.00000000000644,-702.0000000000026,211.99999999998997,,-613.0000000000191
2019.09.16,-66.99999999999484,-635.9999999999922,249.99999999999466,,-452.9999999999924
2019.09.16,-70.99999999999883,-663.999999999998,231.99999999998778,,-503.00000000000904
2019.09.16,-75.00000000000284,-625.0000000000089,197.99999999998707,,-502.00000000002467
2019.09.16,-66.00000000001049,-600.0000000000006,197.99999999998707,,-468.000000000024
2019.09.16,-41.000000000002146,-557.9999999999918,161.99999999999548,,-436.9999999999985
2019.09.16,-39.999999999995595,-537.9999999999941,147.99999999999258,,-429.99999999999704
2019.09.16,-17.000000000000348,-571.9999999999948,97.9999999999981,,-490.99999999999704
2019.09.16,-21.00000000000435,-554.00000000001,123.99999999999079,,-451.00000000002353
2019.09.16,-21.00000000000435,-546.000000000002,118.99999999998023,,-448.00000000002615
2019.09.16,-12.000000000012001,-540.9999999999915,134.99999999999625,,-418.0000000000073
2019.09.16,14.999999999987246,-516.9999999999897,122.99999999998423,,-379.0000000000182
2019.09.16,-48.000000000003595,-530.0000000000082,121.99999999999989,,-456.00000000001194
2019.09.16,-35.00000000000725,-476.0000000000098,126.99999999998823,,-384.0000000000288
2019.09.16,-45.000000000006146,-405.0000000000109,26.999999999999247,,-423.0000000000178
2019.09.16,-102.00000000000209,-307.99999999999716,-1.0000000000065512,,-411.0000000000058
2019.09.16,-7.0000000000014495,-313.00000000000773,11.999999999989797,,-308.00000000001944
2019.09.16,63.99999999999739,-344.00000000001097,27.999999999983594,,-252.00000000002998
2019.09.16,25.999999999992696,-367.99999999999056,38.99999999998904,,-303.0000000000088
2019.09.16,45.99999999999049,-333.9999999999899,57.99999999998029,,-230.0000000000191
2019.09.16,112.99999999998533,-258.0000000000027,70.99999999999883,,-74.0000000000185
2019.09.16,202.9999999999976,-228.00000000000597,90.99999999999665,,65.99999999998829
2019.09.16,289.0000000000059,-351.99999999999676,156.00000000000057,,93.00000000000972
2019.09.16,306.00000000000625,-330.0000000000081,217.99999999998488,,193.99999999998306
2019.09.16,363.9999999999866,-356.00000000000074,210.99999999998343,,218.99999999996928
2019.09.16,374.999999999992,-425.0000000000087,222.99999999999542,,172.9999999999787
2019.09.16,449.9999999999948,-495.000000000001,200.99999999998454,,155.99999999997834
2019.09.16,489.0000000000061,-330.9999999999924,131.99999999999878,,290.0000000000125
2019.09.16,546.9999999999864,-329.00000000000153,130.99999999999224,,348.99999999997704
2019.09.16,553.0000000000035,-312.00000000000114,278.9999999999848,,519.9999999999873
2019.09.16,638.9999999999895,-422.9999999999956,320.9999999999935,,536.9999999999875
2019.09.16,617.9999999999852,-439.99999999999596,356.00000000000074,,533.99999999999
2019.09.16,621.9999999999892,-458.00000000000284,383.0,,546.9999999999864
2019.09.16,638.0000000000052,-438.00000000000506,361.9999999999957,,561.9999999999959
2019.09.16,675.0000000000034,-489.0000000000061,394.9999999999898,,580.9999999999872
