date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,EURCHF,CHFJPY,GBPAUD,EURJPY,EURCAD,EURAUD,NZDJPY,AUDCAD,empty,sum
2020.09.21,9.999999999998899,1.999999999990898,45.000000000001705,-130.99999999999224,9.999999999998899,-51.000000000001044,6.000000000000227,-405.0000000000109,22.999999999996135,8.000000000008,-177.99999999998929,-27.999999999991587,136.99999999999824,,-551.999999999992
2020.09.21,85.00000000000173,38.99999999998904,45.99999999999227,-131.99999999999878,-4.000000000004,-62.000000000006494,-28.000000000005798,-348.00000000001495,34.000000000006025,49.99999999999449,-136.00000000000279,-5.9999999999860165,109.99999999999899,,-352.00000000003627
2020.09.21,29.000000000001247,-15.00000000000945,-45.000000000001705,-32.999999999994145,56.0000000000005,-97.00000000001374,-4.0000000000048885,-558.0000000000141,60.000000000002274,-139.00000000000023,-343.99999999998875,-114.99999999999488,112.000000000001,,-1093.0000000000168
2020.09.21,29.000000000001247,-26.999999999999247,-11.00000000000989,-72.99999999998974,24.000000000001798,-107.00000000001265,-40.00000000000625,-445.0000000000065,8.000000000009777,-106.00000000000608,-287.9999999999994,-72.99999999999329,97.9999999999981,,-1011.0000000000119
2020.09.21,49.99999999999449,-32.999999999994145,3.9999999999906777,-122.99999999998423,6.0000000000060005,-141.99999999999767,-33.00000000000125,-486.00000000000864,-12.999999999991019,-58.000000000002494,-263.99999999999756,-38.99999999998727,109.00000000000354,,-1021.9999999999696
2020.09.21,88.99999999999464,1.999999999990898,24.999999999991473,-102.99999999998644,22.999999999995246,-154.0000000000097,-7.999999999995566,-455.0000000000054,-0.999999999990564,-36.0000000000138,-256.99999999999613,-62.99999999998818,119.00000000000244,,-819.0000000000109
2020.09.21,75.00000000000284,-96.00000000000719,10.99999999999568,-224.000000000002,-87.00000000000374,-224.000000000002,-15.000000000000568,-375.9999999999986,-87.0000000000033,-22.999999999995246,-146.00000000000168,-0.999999999990564,58.000000000002494,,-1135.0000000000039
2020.09.21,12.999999999996348,-134.99999999999625,-62.00000000001182,-263.99999999999756,-129.9999999999968,-189.00000000001694,-12.000000000000455,-378.00000000001165,-42.00000000000159,-26.999999999999247,-104.99999999999955,2.0000000000095497,31.999999999998696,,-1297.0000000000273
2020.09.21,14.999999999998348,-137.00000000000932,-72.00000000000273,-297.9999999999983,-110.99999999999443,-192.00000000001438,0.0,-419.9999999999982,-31.999999999996476,12.999999999996348,-157.99999999999147,38.000000000010914,82.99999999999974,,-1270.9999999999998
2020.09.21,29.000000000001247,-103.99999999999298,-142.00000000001012,-224.99999999998633,-68.00000000000139,-182.99999999999983,102.00000000000387,-441.0000000000025,85.00000000000796,-32.0000000000098,-201.00000000000674,-63.99999999999295,85.00000000000173,,-1158.9999999999877
2020.09.21,5.999999999994898,-143.00000000000423,-159.00000000000603,-312.9999999999855,-170.00000000000347,-185.99999999999727,87.0000000000033,-286.00000000000847,64.99999999999773,21.00000000000435,-18.0000000000069,-35.99999999998715,12.000000000000899,,-1119.9999999999977
2020.09.21,-11.00000000000545,-130.0000000000079,-181.0000000000116,-297.9999999999983,-180.0000000000024,-157.00000000000713,90.00000000000341,-256.99999999999613,100.99999999999909,24.999999999986144,18.999999999991246,-66.99999999999307,-9.00000000000345,,-1055.0000000000455
