date,GBPUSD,AUDUSD,EURCHF,NZDCHF,EURAUD,EURNZD,empty,sum
2017.04.03,-116.99999999998934,-85.00000000000173,-5.000000000010552,-183.99999999999528,-95.00000000000064,-95.999999999985,,-581.9999999999825
2017.04.03,-130.0000000000079,-90.99999999999665,-4.000000000004,-194.0000000000053,-5.999999999994898,0.0,,-425.00000000000875
2017.04.03,-83.9999999999952,-120.99999999999334,36.999999999998145,-243.99999999999977,19.999999999997797,-34.99999999998504,,-426.9999999999774
2017.04.03,56.000000000011596,-161.00000000000003,42.999999999993044,-212.99999999999653,70.0000000000145,18.0000000000069,,-186.99999999997053
2017.04.03,-9.999999999998899,-141.00000000000225,92.00000000000318,-134.0000000000008,129.00000000000134,282.0000000000045,,218.00000000000708
2017.04.03,-42.0000000000087,-100.99999999999554,92.99999999998754,-175.00000000000293,190.00000000000128,198.00000000000927,,162.99999999999093
2017.04.03,-49.99999999999449,-97.00000000000264,83.9999999999952,-153.99999999999858,240.00000000001796,256.00000000001177,,279.0000000000292
2017.04.03,-76.99999999999375,-139.99999999999568,75.00000000000284,-175.99999999999838,156.00000000000057,155.00000000001623,,-6.999999999968196
2017.04.03,-56.99999999999594,-163.00000000000205,83.9999999999952,-205.99999999999508,150.00000000000568,106.00000000000608,,-85.99999999998607
2017.04.03,-96.00000000000719,-102.00000000000209,96.99999999999153,-207.99999999999707,243.99999999999977,139.00000000000023,,73.99999999998522
2017.04.03,-106.00000000000608,46.999999999997044,99.99999999998899,-165.00000000000404,557.0000000000075,220.00000000002018,,653.0000000000036
2017.04.03,-96.00000000000719,85.99999999999719,98.99999999998244,-192.00000000000327,656.9999999999965,171.00000000001003,,724.9999999999757
2017.04.03,-14.999999999987246,97.00000000000264,87.99999999999919,-183.99999999999528,680.0000000000139,154.0000000000097,,820.0000000000429
2017.04.03,-15.999999999993797,77.00000000000485,69.9999999999923,-151.00000000000114,649.0000000000107,209.00000000001472,,838.0000000000277
2017.04.03,-68.00000000000139,96.00000000000719,55.99999999998939,-126.99999999999933,667.0000000000176,249.00000000001032,,873.0000000000239
2017.04.03,-59.99999999999339,153.99999999999858,65.99999999998829,-75.00000000000284,790.0000000000018,371.00000000001023,,1246.0000000000027
2017.04.03,-4.999999999988347,194.0000000000053,64.99999999998174,-65.00000000000395,851.0000000000017,406.00000000001745,,1446.0000000000139
2017.04.03,31.000000000003247,157.00000000000713,58.000000000002494,-27.999999999994696,774.000000000008,451.0000000000014,,1443.0000000000275
2017.04.03,-53.999999999998494,178.00000000000037,48.000000000003595,-34.000000000000696,717.000000000012,420.00000000002035,,1275.0000000000373
2017.04.03,-126.0000000000039,165.9999999999995,-2.999999999997449,4.999999999999449,641.0000000000027,465.0000000000043,,1148.0000000000045
2017.04.03,-215.99999999999397,170.00000000000347,-25.00000000000835,14.999999999998348,675.0000000000034,508.00000000001955,,1127.0000000000225
2017.04.03,-195.9999999999962,146.00000000000168,-8.000000000008,-87.99999999999919,574.0000000000078,370.00000000000364,,798.0000000000098
