date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.01.04,-1.0000000000065512,-180.0000000000024,-0.9999999999843467,-48.00000000000182,-2.0000000000131024,-47.9999999999925,-26.999999999999247,-121.00000000001555,-230.00000000000398,-131.99999999999878,-142.00000000000878,-156.00000000000057,-407.99999999998704,-303.9999999999932,-397.0000000000029,-68.00000000000139,-96.99999999999153,-119.99999999998678,-141.9999999999959,-100.99999999999909,-65.00000000000395,-55.000000000005045,,-2844.999999999994
2021.01.04,26.999999999999247,-168.0000000000126,-2.999999999997449,16.000000000005343,101.99999999997988,-10.999999999994348,-12.000000000000899,-119.00000000000244,-257.99999999999557,-84.0000000000063,-80.00000000000229,-147.00000000000824,-319.9999999999932,-360.9999999999891,-445.0000000000065,72.0000000000054,-46.999999999997044,-51.000000000001044,-87.99999999999386,-96.9999999999942,-117.00000000000044,-63.00000000000195,,-2254.0000000000077
2021.01.04,93.99999999999409,-238.0000000000049,-28.999999999990145,78.00000000000296,34.99999999998504,-91.99999999999208,-59.99999999999339,-178.00000000001148,-326.0000000000076,-191.00000000000784,-212.00000000000108,-211.00000000000563,-549.999999999983,-396.9999999999807,-509.00000000000387,-19.999999999997797,-63.99999999999739,-26.999999999999247,-253.0000000000001,-190.9999999999883,-147.00000000000824,-80.99999999999774,,-3568.9999999999873
2021.01.04,74.99999999999174,-381.0000000000091,-132.99999999998312,106.00000000000875,11.999999999989797,-153.99999999999858,-109.00000000000354,-182.0000000000155,-385.0000000000051,-158.99999999999804,-209.00000000000364,-193.00000000000983,-649.9999999999773,-558.9999999999984,-482.00000000000466,104.00000000001519,-70.99999999999883,-4.000000000004,-307.00000000000216,-224.99999999999432,-202.0000000000022,-123.00000000000644,,-4231.000000000009
2021.01.04,95.00000000000064,-378.999999999996,-105.99999999998388,-12.999999999991019,8.999999999992347,-152.99999999999204,-126.99999999999933,-203.00000000001984,-341.0000000000082,-174.00000000000747,-221.00000000000452,-221.00000000000452,-621.9999999999857,-559.9999999999827,-568.9999999999973,127.00000000001043,-63.99999999999739,-45.99999999999049,-242.999999999995,-173.00000000000182,-208.00000000000819,-155.00000000000514,,-4346.999999999967
2021.01.04,143.9999999999997,-329.00000000000153,-61.99999999998429,-123.99999999999523,95.999999999985,36.0000000000027,-14.000000000002899,-202.00000000001327,-106.00000000000875,-145.00000000000622,-71.00000000000995,-143.9999999999997,-323.99999999998386,-566.9999999999842,-887.9999999999999,191.00000000000784,306.00000000000625,175.00000000001404,33.00000000000125,3.0000000000001137,-29.000000000001247,-72.0000000000054,,-2092.999999999979
2021.01.04,112.000000000001,-381.0000000000091,-107.99999999999699,-75.9999999999934,-33.00000000001635,-65.99999999999939,-24.000000000001798,-248.00000000000378,-126.99999999999534,-234.00000000000088,-185.00000000000182,-165.00000000000404,-441.0000000000025,-536.9999999999875,-831.000000000004,82.00000000000429,114.0000000000141,207.00000000000162,-79.9999999999983,-9.000000000000341,-45.000000000006146,-4.999999999999449,,-3080.0000000000005
2021.01.04,120.99999999999334,-442.9999999999934,-161.99999999999548,-72.99999999999329,-142.0000000000199,-182.99999999999983,-144.99999999999514,-264.0000000000198,-85.00000000000796,-255.00000000000523,-254.00000000000978,-246.00000000000176,-441.0000000000025,-461.0000000000003,-597.9999999999874,53.00000000001415,-31.999999999987594,17.000000000000348,-161.00000000000136,-99.99999999999432,-116.00000000000499,-53.999999999998494,,-4024.000000000011
2021.01.04,112.99999999999643,-455.0000000000054,-188.9999999999947,-113.99999999999011,-166.00000000002169,-224.9999999999974,-204.99999999999963,-279.00000000000705,-88.00000000000807,-263.99999999999756,-279.00000000000705,-285.00000000000193,-425.9999999999877,-402.9999999999978,-441.0000000000025,46.0000000000127,-63.99999999999739,-56.99999999999594,-198.99999999999807,-153.99999999999636,-155.00000000000514,-113.00000000000753,,-4402.000000000009
2021.01.04,104.99999999999955,-493.0000000000101,-190.00000000000128,-153.99999999999636,-194.0000000000053,-201.99999999999108,-180.0000000000024,-267.0000000000172,-58.000000000006935,-297.00000000000284,-253.0000000000032,-263.0000000000021,-388.9999999999816,-387.99999999998835,-523.9999999999911,-31.999999999987594,-5.999999999994898,-14.000000000002899,-132.99999999999557,-95.99999999998943,-99.00000000000463,-58.000000000002494,,-4184.999999999978
2021.01.04,125.99999999999278,-495.000000000001,-181.9999999999933,-150.99999999999625,-241.00000000000233,-194.99999999998963,-180.99999999999784,-300.00000000001137,1.0000000000047748,-329.999999999997,-282.99999999999994,-291.0000000000079,-387.00000000000045,-369.99999999998147,-489.0000000000061,-75.99999999998718,-41.000000000002146,-48.99999999998794,-116.99999999999022,-82.99999999999841,-67.00000000000594,-36.999999999998145,,-4237.999999999957
