date,USDCAD,GBPJPY,EURAUD,AUDCAD,empty,sum
2017.05.08,-95.00000000000064,-128.00000000001432,-208.99999999999253,-91.99999999998099,,-523.9999999999885
2017.05.08,-80.00000000001339,-125.0,-165.9999999999995,-80.99999999999774,,-452.0000000000106
2017.05.08,-204.00000000000418,-456.0000000000173,-379.99999999998033,-139.9999999999846,,-1179.9999999999864
2017.05.08,-218.00000000000708,-425.00000000001137,-400.00000000000034,-204.99999999998852,,-1248.0000000000073
2017.05.08,-195.9999999999962,-461.00000000001273,-484.9999999999799,-221.99999999998886,,-1363.9999999999775
2017.05.08,-195.9999999999962,-664.0000000000157,-772.9999999999793,-202.9999999999976,,-1835.9999999999886
2017.05.08,-216.00000000001617,-723.0000000000132,-781.9999999999939,-188.9999999999947,,-1910.000000000018
2017.05.08,-136.00000000000279,-643.0000000000007,-586.999999999982,-71.99999999998319,,-1437.9999999999686
2017.05.08,-56.99999999999594,-629.0000000000191,-554.9999999999944,58.000000000002494,,-1183.000000000007
2017.05.08,-5.999999999994898,-557.9999999999927,-442.9999999999934,148.00000000001478,,-858.9999999999662
2017.05.08,-28.000000000005798,-546.999999999997,-236.99999999999832,204.00000000000418,,-607.9999999999969
2017.05.08,0.0,-576.9999999999982,-305.9999999999841,180.0000000000024,,-702.9999999999799
2017.05.08,-2.999999999997449,-674.0000000000066,-318.9999999999804,179.00000000001802,,-816.9999999999666
2017.05.08,-12.000000000012001,-718.9999999999941,-392.9999999999989,158.0000000000137,,-965.9999999999914
2017.05.08,-39.00000000001125,-604.0000000000134,-513.9999999999923,114.99999999999844,,-1042.0000000000184
2017.05.08,-22.999999999995246,-603.0000000000086,-554.9999999999944,77.00000000001594,,-1103.9999999999823
2017.05.08,-46.0000000000127,-568.000000000012,-486.999999999993,31.000000000003247,,-1070.0000000000146
2017.05.08,-9.999999999998899,-471.00000000000364,-474.999999999981,-17.999999999984695,,-973.9999999999683
2017.05.08,-53.00000000001415,-576.9999999999982,-517.9999999999962,-21.999999999988695,,-1169.9999999999973
2017.05.08,-137.00000000000932,-544.0000000000111,-438.9999999999894,-39.999999999995595,,-1160.0000000000057
2017.05.08,-158.0000000000137,-539.999999999992,-462.9999999999912,13.000000000018552,,-1147.9999999999782
2017.05.08,-235.00000000000742,-725.9999999999991,-684.9999999999801,-63.99999999999739,,-1709.999999999984
2017.05.08,-148.00000000001478,-658.0000000000155,-1020.9999999999831,-154.99999999999403,,-1982.0000000000073
2017.05.08,-136.00000000000279,-633.0000000000098,-946.9999999999867,-158.99999999999804,,-1874.999999999997
2017.05.08,-235.00000000000742,-825.000000000017,-991.9999999999928,-159.99999999998238,,-2211.9999999999995
2017.05.08,-304.9999999999997,-901.0000000000105,-998.9999999999943,-181.9999999999933,,-2386.9999999999977
2017.05.08,-309.0000000000037,-974.9999999999943,-1011.9999999999907,-207.99999999998596,,-2503.9999999999745
2017.05.08,-330.0000000000081,-852.0000000000039,-910.9999999999951,-228.99999999999034,,-2321.9999999999973
2017.05.08,-324.0000000000132,-842.000000000013,-913.9999999999926,-180.0000000000024,,-2260.000000000021
2017.05.08,-446.0000000000131,-899.0000000000009,-780.9999999999873,-236.99999999999832,,-2362.9999999999995
2017.05.08,-553.0000000000035,-998.0000000000189,-824.9999999999868,-201.99999999999108,,-2578.0
2017.05.08,-666.9999999999953,-822.0000000000027,-711.9999999999793,-197.00000000000273,,-2397.99999999998
2017.05.08,-540.0000000000072,-664.999999999992,-696.999999999992,-156.99999999998494,,-2058.999999999976
2017.05.08,-490.999999999997,-862.9999999999995,-705.0000000000001,-58.000000000002494,,-2116.999999999999
2017.05.08,-619.9999999999983,-816.0000000000025,-584.9999999999911,-100.99999999999554,,-2121.9999999999877
2017.05.08,-666.9999999999953,-771.9999999999914,-634.9999999999856,-100.99999999999554,,-2174.9999999999677
2017.05.08,-795.9999999999967,-802.9999999999973,-736.9999999999877,-202.9999999999976,,-2538.9999999999795
2017.05.08,-808.0000000000088,-830.0000000000125,-743.9999999999891,-200.00000000000017,,-2582.0000000000105
2017.05.08,-704.0000000000157,-727.0000000000039,-668.9999999999862,-141.99999999999767,,-2242.0000000000036
2017.05.08,-778.000000000012,-741.0000000000139,-633.9999999999791,-146.00000000000168,,-2299.000000000007
2017.05.08,-615.00000000001,-561.000000000007,-663.999999999998,-114.99999999999844,,-1955.0000000000134
2017.05.08,-611.000000000006,-443.00000000001205,-722.0000000000005,-75.99999999998718,,-1852.000000000006
2017.05.08,-455.0000000000054,-384.00000000001455,-746.9999999999866,-5.999999999994898,,-1592.0000000000016
2017.05.08,-418.0000000000073,-425.00000000001137,-710.999999999995,-7.999999999985796,,-1561.9999999999995
2017.05.08,-456.9999999999963,-355.0000000000182,-726.9999999999887,-41.000000000002146,,-1580.0000000000052
2017.05.08,-483.0000000000112,-361.0000000000184,-705.0000000000001,-39.999999999995595,,-1589.0000000000252
2017.05.08,-448.000000000004,-198.0000000000075,-725.9999999999823,-10.999999999983245,,-1382.9999999999768
