date,USDCAD,GBPJPY,EURAUD,AUDCAD,empty,sum
2017.05.08,-53.999999999998494,-27.999999999991587,-151.9999999999966,-60.99999999999994,,-294.9999999999866
2017.05.08,-66.99999999999484,-109.00000000000887,-45.99999999999049,-51.000000000001044,,-272.9999999999952
2017.05.08,-201.00000000000674,-403.99999999999636,-365.99999999999966,-121.99999999999989,,-1093.0000000000027
2017.05.08,-190.00000000000128,-372.0000000000141,-368.9999999999971,-186.99999999998164,,-1117.999999999994
2017.05.08,-194.0000000000053,-453.00000000000296,-466.9999999999952,-197.00000000000273,,-1311.0000000000061
2017.05.08,-171.00000000001003,-557.9999999999927,-772.9999999999793,-186.99999999998164,,-1688.9999999999636
2017.05.08,-117.00000000001154,-527.9999999999916,-434.000000000001,49.00000000001015,,-1029.9999999999939
2017.05.08,-33.00000000001635,-627.0000000000095,-511.99999999997914,73.00000000001194,,-1098.9999999999932
2017.05.08,58.99999999998684,-503.0000000000143,-450.9999999999792,148.00000000001478,,-746.9999999999919
2017.05.08,8.999999999992347,-426.00000000001614,-173.00000000000094,267.0000000000172,,-323.00000000000756
2017.05.08,-1.0000000000065512,-485.00000000001364,-184.99999999999073,209.9999999999991,,-461.0000000000118
2017.05.08,28.999999999990145,-575.9999999999934,-278.00000000000045,197.00000000000273,,-628.000000000001
2017.05.08,-2.999999999997449,-674.0000000000066,-289.9999999999903,236.99999999999832,,-729.999999999996
2017.05.08,12.999999999996348,-578.000000000003,-341.99999999999784,182.99999999999983,,-724.0000000000045
2017.05.08,-19.00000000001345,-557.0000000000164,-481.99999999998244,129.00000000000134,,-929.0000000000109
2017.05.08,-9.000000000014552,-558.9999999999975,-421.99999999998903,102.00000000000209,,-887.9999999999991
2017.05.08,1.999999999990898,-445.99999999999795,-456.9999999999963,73.00000000001194,,-827.9999999999915
2017.05.08,73.99999999999629,-383.0000000000098,-351.99999999999676,11.00000000000545,,-650.0000000000048
2017.05.08,-49.00000000001015,-504.99999999999545,-437.99999999998283,-14.000000000002899,,-1005.9999999999914
2017.05.08,-53.00000000001415,-290.9999999999968,-288.99999999998374,55.000000000005045,,-577.9999999999898
2017.05.08,-97.00000000001374,-474.00000000001796,-389.99999999997925,46.0000000000127,,-914.9999999999982
2017.05.08,-136.00000000000279,-536.0000000000014,-644.0000000000001,-0.9999999999843467,,-1316.9999999999884
2017.05.08,19.999999999997797,-600.9999999999991,-932.9999999999839,-109.99999999998789,,-1623.999999999973
2017.05.08,-82.00000000000429,-545.0000000000159,-899.9999999999897,-133.99999999998968,,-1660.9999999999998
2017.05.08,-214.00000000000307,-734.0000000000089,-892.9999999999883,-124.99999999999733,,-1965.9999999999975
2017.05.08,-175.99999999999838,-748.0000000000189,-991.9999999999928,-98.99999999998244,,-2014.9999999999925
2017.05.08,-277.00000000001614,-849.000000000018,-879.9999999999919,-180.0000000000024,,-2186.000000000028
2017.05.08,-324.0000000000132,-735.0000000000136,-780.9999999999873,-173.99999999998528,,-2013.9999999999993
2017.05.08,-316.0000000000052,-736.0000000000184,-770.9999999999884,-151.9999999999966,,-1975.0000000000086
2017.05.08,-434.000000000001,-867.999999999995,-764.9999999999934,-136.99999999998712,,-2203.9999999999764
2017.05.08,-407.0000000000018,-801.0000000000161,-707.9999999999975,-82.99999999998863,,-1999.000000000004
2017.05.08,-504.9999999999999,-539.999999999992,-520.9999999999936,-100.99999999999554,,-1666.999999999981
2017.05.08,-326.0000000000041,-659.9999999999966,-693.9999999999947,-38.99999999998904,,-1718.9999999999845
2017.05.08,-387.000000000004,-813.999999999993,-546.9999999999864,0.0,,-1747.9999999999832
2017.05.08,-567.0000000000064,-747.0000000000141,-513.9999999999923,-59.99999999999339,,-1888.0000000000061
2017.05.08,-541.0000000000136,-737.9999999999995,-626.9999999999998,-51.000000000001044,,-1957.000000000014
