date,USDCHF,EURUSD,USDJPY,USDCAD,NZDUSD,CHFJPY,AUDCHF,GBPJPY,GBPAUD,EURCAD,CADJPY,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2016.11.28,-58.000000000002494,-10.000000000021103,-11.00000000000989,0.0,-109.99999999999899,-12.000000000000455,-22.999999999995246,-117.999999999995,-541.9999999999981,-53.00000000001415,-20.000000000010232,0.0,-52.00000000000671,-1.0000000000065512,-73.99999999999629,,-1084.0000000000553
2016.11.28,31.000000000003247,45.99999999999049,-36.000000000001364,191.99999999999218,-97.9999999999981,-99.00000000000375,202.0000000000022,90.99999999997976,-530.0000000000082,31.999999999987594,-88.00000000000807,91.00000000000819,-10.000000000005116,58.000000000002494,-49.99999999999449,,-168.00000000005292
2016.11.28,110.00000000001009,66.99999999999484,49.99999999999716,211.99999999998997,-52.000000000007596,-19.99999999999602,243.99999999999977,180.99999999998317,-534.0000000000123,69.9999999999923,-124.00000000000944,134.00000000000034,21.99999999999136,63.99999999999739,15.999999999993797,,439.9999999999248
2016.11.28,35.00000000000725,-20.000000000020002,-215.0000000000034,225.00000000000853,-75.00000000000284,-177.0000000000067,229.00000000000142,9.999999999990905,-611.000000000006,227.99999999998377,-234.00000000000887,-7.999999999995566,-100.00000000000853,156.00000000000057,55.000000000005045,,-502.0000000000545
2016.11.28,-68.00000000000139,-140.0000000000068,-335.00000000000796,120.99999999999334,-121.00000000000443,-147.99999999999613,199.00000000000472,-100.99999999999909,-601.000000000007,251.00000000000122,-258.0000000000098,-51.00000000000193,-126.00000000000477,134.00000000001188,9.999999999998899,,-1234.000000000029
2016.11.28,-160.99999999998892,-257.0000000000183,-581.0000000000031,107.99999999999699,-178.00000000000037,-311.9999999999976,46.00000000000159,-584.0000000000032,-609.0000000000151,278.9999999999848,-432.00000000000216,-286.00000000000136,-227.00000000000387,24.000000000001798,-126.99999999998823,,-3297.0000000000373
2016.11.28,-195.9999999999962,-306.00000000000625,-850.0000000000085,4.000000000004,-185.00000000000182,-515.0000000000006,-27.999999999994696,-770.0000000000102,-807.0000000000022,293.99999999999426,-570.0000000000074,-569.0000000000026,-442.0000000000073,-116.00000000000499,-191.99999999999218,,-5248.0000000000355
2016.11.28,-272.99999999998994,-392.00000000001455,-1070.0000000000073,-92.00000000000318,-268.0000000000016,-643.0000000000007,-34.99999999999615,-997.0000000000141,-819.0000000000142,315.99999999998295,-681.0000000000116,-605.000000000004,-545.0000000000017,-130.99999999999224,-190.00000000000128,,-6425.000000000069
2016.11.28,-417.0000000000007,-678.0000000000008,-1251.0000000000048,-232.00000000000998,-367.0000000000062,-780.0000000000011,75.9999999999983,-1171.999999999997,-497.0000000000141,373.00000000000114,-770.0000000000102,-647.9999999999961,-605.000000000004,46.999999999997044,-113.99999999999189,,-7035.00000000004
2016.11.28,-421.99999999998903,-775.0000000000146,-1443.000000000012,-340.9999999999913,-494.00000000000557,-855.000000000004,148.0000000000037,-1072.0000000000027,-683.9999999999957,392.9999999999989,-793.0000000000064,-575.0000000000028,-524.0000000000009,100.0000000000112,-205.99999999999508,,-7543.000000000006
2016.11.28,-347.9999999999928,-569.0000000000194,-1149.000000000001,-293.0000000000099,-490.00000000000153,-653.0000000000058,192.99999999999872,-641.0000000000196,-713.0000000000081,368.9999999999971,-597.999999999999,-415.9999999999968,-322.00000000000273,117.00000000001154,-201.99999999999108,,-5715.00000000004
2016.11.28,-292.00000000000335,-513.0000000000078,-996.9999999999999,-249.00000000001032,-455.0000000000054,-557.0000000000022,287.9999999999994,-548.0000000000018,-461.0000000000003,346.0000000000019,-524.0000000000009,-234.99999999999943,-242.00000000000443,192.99999999999872,-63.99999999999739,,-4310.000000000033
2016.11.28,-306.00000000000625,-514.0000000000144,-1030.0000000000011,-204.00000000000418,-487.99999999999955,-567.9999999999978,299.00000000000483,-641.0000000000196,-375.9999999999986,339.0000000000004,-564.0000000000072,-230.99999999999454,-212.0000000000033,191.99999999999218,-72.0000000000054,,-4376.0000000000555
