date,USDJPY,USDCAD,AUDCHF,GBPCAD,GBPAUD,AUDNZD,empty,sum
2020.10.26,-4.9999999999954525,-9.999999999998899,-173.00000000000094,-92.00000000000318,-382.0000000000157,-39.00000000001125,,-701.0000000000254
2020.10.26,10.000000000005116,188.9999999999947,-190.99999999999673,164.99999999999292,-490.0000000000126,-112.000000000001,,-429.0000000000176
2020.10.26,24.00000000000091,219.99999999999798,-161.99999999999548,154.99999999999403,-479.0000000000072,-106.00000000000608,,-348.00000000001586
2020.10.26,24.00000000000091,177.99999999998929,-114.00000000000298,160.99999999998892,-360.0000000000048,-38.0000000000047,,-149.00000000003334
2020.10.26,24.00000000000091,136.00000000000279,-65.99999999999939,109.99999999998789,-267.0000000000172,-22.999999999995246,,-86.00000000002026
2020.10.26,-3.0000000000001137,146.00000000000168,-82.99999999999974,130.0000000000079,-258.0000000000027,-93.00000000000975,,-161.0000000000027
2020.10.26,-13.999999999995794,103.99999999999298,-73.99999999999629,95.00000000000064,-251.00000000000122,-113.99999999999189,,-253.9999999999916
2020.10.26,120.00000000000455,157.00000000000713,-161.00000000000003,25.999999999992696,-351.99999999999676,-160.00000000000458,,-369.99999999999693
2020.10.26,156.99999999999648,164.00000000000858,-161.99999999999548,-29.999999999996696,-354.0000000000099,-182.99999999999983,,-407.9999999999968
2020.10.26,158.00000000000125,150.99999999999002,-168.00000000000148,-31.000000000003247,-316.0000000000052,-214.00000000000307,,-420.0000000000217
2020.10.26,153.99999999999636,201.00000000000674,-158.99999999999804,-97.00000000001374,-273.0000000000121,-239.99999999999577,,-414.0000000000166
2020.10.26,186.9999999999976,235.99999999999176,-193.99999999999417,-69.9999999999923,-354.0000000000099,-229.00000000001253,,-424.00000000001955
2020.10.26,195.99999999999795,252.0000000000078,-204.99999999999963,-83.00000000001084,-353.0000000000033,-276.00000000000955,,-469.00000000001756
2020.10.26,219.99999999999886,248.00000000000378,-190.00000000000128,-78.00000000000028,-327.00000000001063,-269.9999999999925,,-397.00000000000205
2020.10.26,224.99999999999432,215.99999999999397,-168.99999999999693,-93.00000000000975,-252.0000000000078,-238.0000000000049,,-311.00000000003104
2020.10.26,221.9999999999942,249.99999999999466,-200.99999999999562,-96.00000000000719,-356.00000000000074,-310.0000000000103,,-491.000000000025
2020.10.26,197.9999999999933,310.9999999999946,-188.9999999999947,28.999999999990145,-338.0000000000161,-290.00000000001245,,-279.0000000000452
2020.10.26,203.99999999999352,339.0000000000004,-193.99999999999417,25.999999999992696,-343.00000000000443,-295.0000000000008,,-263.00000000001285
