date,USDJPY,USDCAD,AUDUSD,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,AUDJPY,NZDJPY,AUDNZD,empty,sum
2018.04.02,-71.99999999998852,0.0,-63.00000000000195,-143.00000000000068,-60.00000000000449,-41.9999999999976,-48.99999999999905,-32.00000000001069,-269.9999999999925,-126.99999999998823,-92.99999999998931,-55.999999999997385,-105.99999999999454,-46.999999999997044,,-1159.999999999962
2018.04.02,-102.99999999999443,-141.99999999999767,-47.00000000000814,-120.99999999999511,-175.99999999999838,-95.00000000000064,-39.00000000000014,164.99999999999204,-270.99999999999903,256.00000000001177,-116.99999999999022,-58.000000000006935,-123.99999999999523,18.0000000000069,,-853.9999999999752
2018.04.02,-233.99999999999466,-78.00000000000028,-48.000000000003595,-189.00000000000716,-284.0000000000065,-143.9999999999997,-65.99999999999939,114.00000000000432,-223.99999999997976,153.00000000000313,-292.0000000000016,-144.00000000000546,-228.9999999999992,-107.99999999999699,,-1772.9999999999866
2018.04.02,-218.9999999999941,-7.0000000000014495,-30.000000000007798,-158.00000000000125,-268.99999999999704,-139.99999999999568,-20.999999999993246,352.00000000000387,-26.999999999999247,404.0000000000044,-208.99999999997476,-126.00000000000477,-215.0000000000034,-96.99999999999153,,-761.9999999999561
2018.04.02,-183.9999999999975,5.000000000010552,-28.000000000005798,-167.0000000000016,-261.0000000000001,-122.99999999999534,-25.999999999992696,336.9999999999891,59.000000000009045,483.0000000000112,-191.99999999997885,-85.99999999999852,-197.9999999999933,-92.99999999998754,,-473.9999999999314
2018.04.02,-156.99999999999648,46.999999999997044,-4.999999999999449,-126.99999999999534,-229.99999999999687,-93.99999999999409,-5.999999999994898,289.0000000000157,115.00000000002063,555.0000000000166,-131.99999999997658,-34.000000000006025,-165.99999999999682,-95.00000000000064,,-39.999999999907246
2018.04.02,-202.99999999998875,8.000000000008,-69.00000000000794,-141.9999999999959,-258.0000000000027,-156.00000000000057,15.00000000000945,318.9999999999884,120.00000000000898,482.00000000000466,-156.99999999998226,-100.00000000000853,-164.00000000000148,-152.99999999998093,,-457.9999999999495
2018.04.02,-138.9999999999958,-1.0000000000065512,-109.00000000000354,-123.00000000000466,-246.99999999999721,-182.99999999999983,25.00000000000835,294.00000000001114,200.00000000000017,441.0000000000025,-158.99999999999181,-136.0000000000099,-147.99999999999613,-215.99999999999397,,-500.9999999999772
2018.04.02,-173.99999999999238,-85.99999999998609,-112.000000000001,-200.00000000000284,-262.00000000000665,-158.99999999999804,31.000000000003247,444.9999999999932,194.0000000000053,518.0000000000184,-262.00000000000045,-123.00000000000466,-141.00000000000534,-241.99999999998667,,-572.9999999999638
2018.04.02,-215.99999999999397,-65.99999999998829,-45.000000000006146,-260.9999999999957,-267.00000000000614,-100.99999999999554,31.000000000003247,551.0000000000161,200.00000000000017,692.0000000000038,-328.9999999999793,-93.00000000000352,-146.0000000000008,-194.99999999998963,,-244.99999999993574
