date,USDJPY,USDCAD,AUDUSD,NZDUSD,AUDCHF,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2019.07.08,15.000000000000568,82.00000000000429,-55.000000000005045,-12.000000000000899,-58.99999999999794,-27.999999999991587,13.999999999995794,-140.0000000000068,-8.000000000008,,-191.0000000000096
2019.07.08,0.999999999990564,68.99999999998573,-80.00000000000229,-17.999999999995797,-73.00000000000084,-78.99999999999352,-15.000000000000568,-151.00000000000114,-56.000000000011596,,-402.00000000002944
2019.07.08,-127.00000000000955,85.00000000000173,-77.00000000000485,12.000000000000899,-84.0000000000063,-162.9999999999967,-65.00000000001194,-167.00000000000603,-104.00000000001519,,-690.000000000048
2019.07.08,-78.00000000000296,100.99999999999554,-92.00000000000318,-28.000000000005798,-79.00000000000685,-143.00000000000068,-78.00000000000296,-196.00000000000728,-57.00000000001815,,-650.0000000000523
2019.07.08,-97.00000000000841,65.00000000000395,-102.99999999999754,-50.0000000000056,-96.00000000000719,-174.99999999999716,-111.0000000000042,-181.00000000000892,-43.00000000001525,,-791.0000000000402
2019.07.08,-58.9999999999975,106.99999999999044,-85.99999999999719,-48.000000000003595,-80.99999999999774,-126.99999999999534,-88.00000000000807,-192.00000000000327,-24.000000000001798,,-598.0000000000141
2019.07.08,-10.000000000005116,69.9999999999923,-110.99999999999443,-104.99999999999955,-84.0000000000063,-115.99999999999966,-117.00000000000443,-203.00000000000873,24.999999999986144,,-651.0000000000398
2019.07.08,-105.00000000000398,99.99999999998899,-75.00000000000284,-78.00000000000028,-68.00000000000139,-135.99999999999568,-149.0000000000009,-168.00000000000148,46.999999999997044,,-632.0000000000206
2019.07.08,-84.00000000000318,68.00000000000139,-78.99999999999574,-77.00000000000485,-53.999999999998494,-134.9999999999909,-136.0000000000099,-151.00000000000114,24.999999999986144,,-623.0000000000167
2019.07.08,-30.000000000001137,56.99999999999594,-129.9999999999968,-100.00000000000009,-87.00000000000374,-153.99999999999636,-128.0000000000001,-216.0000000000051,-4.000000000004,,-792.0000000000114
2019.07.08,-6.000000000000227,72.0000000000054,-133.00000000000534,-119.00000000000244,-87.00000000000374,-135.99999999999568,-117.00000000000443,-228.00000000000597,7.0000000000014495,,-747.000000000011
