date,USDJPY,USDCAD,AUDUSD,NZDUSD,AUDCHF,AUDJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2019.07.08,-15.000000000000568,0.0,-73.99999999999629,-22.999999999995246,-77.00000000000485,-54.000000000002046,-21.000000000000796,-162.0000000000066,-46.999999999997044,,-473.0000000000034
2019.07.08,-43.00000000000637,36.999999999998145,-102.99999999999754,-39.00000000000014,-106.00000000000608,-105.99999999999454,-53.00000000001148,-182.99999999999983,-80.00000000001339,,-676.0000000000313
2019.07.08,-150.00000000000568,43.999999999999595,-112.000000000001,-26.000000000003798,-100.00000000000009,-185.00000000000227,-82.00000000000784,-236.00000000000287,-118.00000000001809,,-965.000000000042
2019.07.08,-137.00000000000045,63.99999999999739,-97.9999999999981,-46.00000000000159,-95.00000000000064,-174.99999999999716,-95.00000000001307,-208.00000000000819,-121.99999999999989,,-912.0000000000217
2019.07.08,-102.00000000000387,62.99999999999084,-117.00000000000044,-60.99999999999994,-107.99999999999699,-179.00000000000205,-115.0000000000091,-216.0000000000051,-87.00000000001484,,-922.0000000000416
2019.07.08,-90.00000000000341,59.99999999999339,-109.99999999999899,-70.0000000000034,-101.00000000000664,-174.99999999999716,-112.00000000000898,-212.00000000000108,-68.00000000000139,,-878.0000000000277
2019.07.08,-63.00000000000239,65.00000000000395,-114.99999999999844,-117.99999999999588,-97.00000000000264,-134.9999999999909,-120.00000000000455,-214.00000000000307,-39.00000000001125,,-836.0000000000052
2019.07.08,-131.00000000000023,45.99999999999049,-124.00000000000189,-124.00000000000189,-90.0000000000012,-159.9999999999966,-177.0000000000067,-214.00000000000307,-17.000000000000348,,-991.0000000000215
2019.07.08,-121.00000000000932,43.999999999999595,-112.99999999999643,-106.00000000000608,-89.00000000000574,-194.00000000000261,-170.0000000000017,-187.00000000000384,0.0,,-936.0000000000261
2019.07.08,-82.99999999999841,41.000000000002146,-143.9999999999997,-124.99999999999733,-94.00000000000519,-164.99999999999204,-152.00000000000102,-233.00000000000543,-22.0000000000109,,-977.0000000000078
2019.07.08,-54.000000000002046,56.99999999999594,-136.00000000000279,-121.99999999999989,-101.00000000000664,-156.99999999999648,-133.00000000000978,-243.00000000000432,-28.000000000005798,,-917.0000000000317
2019.07.08,-25.99999999999625,65.99999999998829,-151.9999999999966,-139.99999999999568,-101.00000000000664,-161.00000000000136,-153.0000000000058,-262.00000000000665,-12.000000000012001,,-941.0000000000327
2019.07.08,18.000000000000682,62.99999999999084,-141.00000000000225,-178.00000000000037,-58.99999999999794,-123.99999999999523,-137.00000000000045,-242.00000000000887,15.999999999993797,,-784.0000000000199
2019.07.08,12.000000000000455,49.99999999999449,-124.00000000000189,-146.99999999999713,-40.00000000000669,-110.99999999999,-115.0000000000091,-224.000000000002,19.999999999997797,,-679.000000000014
2019.07.08,43.99999999999693,38.99999999998904,-149.99999999999457,-155.00000000000514,-70.99999999999883,-101.99999999998965,-117.00000000000443,-238.0000000000049,17.999999999984695,,-732.000000000027
2019.07.08,81.99999999999363,31.000000000003247,-166.99999999999494,-170.00000000000347,-78.00000000000028,-97.99999999999898,-106.00000000000875,-250.00000000000577,14.000000000002899,,-742.0000000000125
2019.07.08,88.99999999999864,17.999999999984695,-190.00000000000128,-190.00000000000128,-92.00000000000318,-114.99999999999488,-120.00000000000455,-270.99999999999903,8.999999999992347,,-862.0000000000285
2019.07.08,106.99999999999932,32.999999999994145,-192.00000000000327,-207.00000000000162,-96.00000000000719,-112.99999999999955,-118.00000000000921,-294.00000000000534,21.999999999988695,,-858.000000000044
2019.07.08,72.00000000000273,85.00000000000173,-178.99999999999582,-192.99999999999872,-89.00000000000574,-98.99999999998954,-123.00000000000466,-321.0000000000046,31.000000000003247,,-815.9999999999912
2019.07.08,60.000000000002274,99.99999999998899,-131.99999999999878,-173.9999999999964,-89.00000000000574,-69.99999999999318,-115.0000000000091,-270.99999999999903,76.99999999999375,,-614.0000000000172
