,names,week,needed_features,accuracy
0,USDCHF,15,"['GBPUSD', 'AUDCAD', 'AUDUSD']",80.0
1,GBPUSD,10,"['USDJPY', 'EURCAD']",80.0
2,EURUSD,15,"['EURGBP', 'USDJPY', 'NZDCAD']",80.0
3,USDJPY,30,['AUDNZD'],100.0
4,USDCAD,10,"['EURCAD', 'CADCHF']",100.0
5,NZDUSD,10,['EURGBP'],80.0
6,GBPCHF,10,"['CHFJPY', 'EURJPY', 'EURCAD']",80.0
7,EURCHF,10,['GBPCAD'],80.0
8,CADCHF,15,"['EURCAD', 'CADCHF']",100.0
9,AUDCHF,15,"['USDCHF', 'EURGBP', 'AUDJPY', 'NZDCHF']",100.0
10,EURGBP,10,"['EURUSD', 'GBPJPY']",80.0
11,GBPJPY,15,"['EURGBP', 'USDJPY', 'NZDCAD']",80.0
12,GBPCAD,50,"['EURAUD', 'AUDCHF', 'EURCHF', 'NZDCHF', 'GBPCAD', 'EURCAD']",100.0
13,GBPAUD,20,['AUDJPY'],80.0
14,EURCAD,10,['USDCHF'],80.0
15,EURAUD,15,"['USDCHF', 'EURGBP', 'AUDJPY', 'NZDCHF']",100.0
16,CADJPY,10,"['CHFJPY', 'EURJPY', 'EURCAD']",100.0
17,NZDJPY,15,"['EURGBP', 'EURNZD']",80.0
18,NZDCAD,15,['USDJPY'],80.0
19,AUDNZD,15,['USDJPY'],100.0
