,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,10,"['USDCHF', 'EURUSD', 'NZDCAD', 'NZDUSD', 'GBPUSD']",80.0,0.4483,B
1,1,GBPUSD,10,"['EURGBP', 'AUDCAD', 'CADCHF']",100.0,-0.8368,S
2,2,EURUSD,10,"['EURGBP', 'AUDCAD', 'CADCHF']",100.0,-0.8393,S
3,3,USDJPY,15,"['AUDCAD', 'NZDJPY', 'CADJPY', 'NZDCHF', 'CADCHF', 'USDJPY']",100.0,0.5491,B
4,4,AUDUSD,20,['AUDCAD'],80.0,-0.7768343247464499,S
5,5,GBPCHF,15,"['NZDJPY', 'NZDCHF']",80.0,-0.7139855397380269,S
6,6,EURCHF,10,"['NZDJPY', 'NZDCHF']",80.0,-0.9989399999999999,S
7,7,CHFJPY,10,"['EURGBP', 'EURCAD']",100.0,0.3379,B
8,8,CADCHF,50,"['AUDCAD', 'EURCAD', 'NZDCAD']",80.0,0.558948805870384,B
9,9,AUDCHF,20,"['AUDCAD', 'NZDCHF', 'NZDJPY']",80.0,-0.9990720238095236,S
10,10,NZDCHF,30,['EURCAD'],100.0,-0.25481518075262555,S
11,11,GBPJPY,15,['USDCAD'],80.0,-0.4292841885891848,S
12,12,GBPCAD,30,"['CHFJPY', 'EURCAD', 'EURCHF', 'AUDNZD', 'NZDCHF']",100.0,-0.6470883333333348,S
13,13,GBPAUD,50,"['AUDCAD', 'EURGBP']",100.0,0.19864126904601836,B
14,14,EURJPY,10,['EURGBP'],80.0,-0.9986700000000001,S
15,15,EURCAD,15,"['NZDUSD', 'AUDNZD', 'EURCHF', 'EURNZD', 'GBPCHF']",100.0,-0.9990642857142858,S
16,16,EURNZD,30,"['NZDJPY', 'NZDCHF', 'AUDJPY', 'EURNZD', 'EURCAD', 'AUDCHF', 'USDCHF', 'EURUSD']",80.0,0.9986766666666667,B
17,17,CADJPY,10,"['AUDNZD', 'USDCAD']",80.0,-0.004664285714285714,S
18,18,AUDJPY,10,['EURCAD'],80.0,-0.9929899999999994,S
19,19,NZDJPY,30,"['USDCHF', 'EURUSD', 'EURCAD']",100.0,-0.16777192000680868,S
