date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,CHFJPY,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.01.02,-69.9999999999923,-1.999999999990898,-1.9999999999953388,-103.00000000000864,-8.999999999992347,-248.99999999999523,-46.00000000000159,-65.00000000002615,-116.99999999998934,-255.00000000000966,-181.9999999999933,-554.9999999999944,-124.99999999999733,-14.999999999998348,-42.0000000000087,,-1836.9999999999934
2017.01.02,-106.99999999999044,39.999999999995595,-153.99999999999636,-97.9999999999981,-34.99999999999615,-367.999999999995,-53.00000000000304,-415.00000000002046,-290.9999999999968,-170.0000000000017,-229.99999999999687,6.000000000017103,-102.00000000000209,46.999999999997044,4.999999999988347,,-1924.999999999999
2017.01.02,-95.999999999985,72.0000000000054,-114.99999999999488,-236.00000000001398,-262.999999999991,-493.9999999999998,-128.00000000000588,-412.00000000000614,-485.0000000000021,-57.00000000000216,-404.9999999999887,-203.99999999998198,-97.9999999999981,29.000000000001247,-28.000000000005798,,-2919.999999999969
2017.01.02,-120.99999999999334,92.00000000000318,19.000000000005457,-104.99999999999955,-227.99999999999488,-314.9999999999977,-129.00000000000134,-254.0000000000191,-309.99999999998806,-71.00000000001216,-319.0000000000026,137.00000000000932,-56.0000000000005,27.999999999994696,15.999999999993797,,-1616.000000000003
2017.01.02,-120.99999999999334,55.000000000005045,-10.000000000005116,-133.00000000000534,-202.9999999999976,-161.00000000000136,-2.999999999997449,-403.00000000002,-448.9999999999883,-67.00000000000728,-256.99999999999613,154.0000000000097,-139.99999999999568,-75.00000000000284,-130.0000000000079,,-1943.0000000000039
2017.01.02,-252.99999999999213,75.00000000000284,-4.0000000000048885,-90.00000000001229,-123.99999999999079,-259.00000000000034,-2.000000000002,-326.0000000000218,-380.00000000000256,-112.00000000000898,-248.99999999998812,151.00000000001222,102.99999999999754,-34.000000000000696,83.9999999999952,,-1420.000000000017
2017.01.02,-174.99999999999181,75.00000000000284,-4.9999999999954525,-79.00000000000685,-232.99999999999432,-259.9999999999909,-28.000000000005798,-339.00000000002706,-360.0000000000048,-118.99999999999977,-290.9999999999968,191.00000000000784,-66.99999999999484,-12.000000000000899,-25.00000000000835,,-1727.0000000000068
2017.01.02,-219.99999999999798,79.00000000000685,-6.000000000000227,-76.99999999999375,-98.99999999999353,-296.99999999999704,-92.00000000000318,-509.00000000001455,-444.9999999999843,-129.0000000000049,-241.99999999998667,118.00000000001809,-66.99999999999484,-46.00000000000159,-38.0000000000047,,-2069.9999999999523
2017.01.02,-263.99999999999756,26.999999999999247,-182.00000000000216,-49.00000000001015,-85.99999999999719,-212.0000000000033,21.00000000000435,-515.0000000000148,-371.99999999999454,-129.0000000000049,-197.00000000000273,109.00000000000354,-46.999999999997044,-128.00000000000588,-52.000000000007596,,-2076.0000000000305
2017.01.02,-214.99999999998744,41.000000000002146,-40.99999999999682,43.999999999999595,-56.99999999999594,-128.99999999999068,53.00000000000304,-441.0000000000025,-268.0000000000016,19.99999999999602,-90.99999999999665,96.00000000000719,29.000000000001247,-106.00000000000608,-58.000000000002494,,-1122.999999999971
