date,EURCHF,EURJPY,EURAUD,empty,sum
2018.02.05,-104.99999999999955,-111.99999999999477,-86.0000000000083,,-303.0000000000026
2018.02.05,-100.99999999999554,14.999999999986358,-52.99999999999194,,-139.00000000000114
2018.02.05,-107.99999999999699,-194.00000000001683,52.99999999999194,,-249.00000000002188
2018.02.05,-89.00000000000574,-74.00000000001228,327.99999999999494,,164.99999999997692
2018.02.05,-121.99999999999989,-133.00000000000978,214.00000000000307,,-41.000000000006594
2018.02.05,-100.99999999999554,-262.00000000000045,45.99999999999049,,-317.0000000000055
2018.02.05,-70.99999999999883,-319.9999999999932,49.00000000001015,,-341.9999999999819
2018.02.05,-34.000000000000696,-200.9999999999934,-93.00000000000975,,-328.00000000000387
2018.02.05,-53.999999999998494,-210.00000000000796,-90.99999999999665,,-355.0000000000031
2018.02.05,-38.0000000000047,-176.00000000001614,-25.999999999992696,,-240.00000000001353
2018.02.05,-65.99999999998829,-103.00000000000864,22.0000000000109,,-146.99999999998602
2018.02.05,-73.99999999999629,-87.00000000001751,-52.99999999999194,,-214.00000000000574
2018.02.05,-48.99999999998794,-67.00000000000728,-65.00000000000395,,-180.99999999999918
2018.02.05,-49.99999999999449,-39.99999999999204,-60.99999999999994,,-150.99999999998647
2018.02.05,-76.0000000000094,18.000000000000682,-96.00000000000719,,-154.00000000001592
2018.02.05,-92.00000000000318,-4.9999999999954525,-131.99999999999878,,-228.9999999999974
2018.02.05,-106.99999999999044,-106.99999999999932,-160.00000000000458,,-373.9999999999943
2018.02.05,-113.00000000000753,-75.00000000001705,-219.99999999999798,,-408.00000000002257
2018.02.05,-106.99999999999044,-180.00000000000682,-146.00000000000168,,-432.999999999999
2018.02.05,-102.00000000000209,-288.0000000000109,-156.00000000000057,,-546.0000000000136
2018.02.05,-225.99999999999287,-391.9999999999959,-116.99999999998934,,-734.9999999999781
2018.02.05,-231.0000000000034,-233.0000000000041,-201.00000000000674,,-665.0000000000142
2018.02.05,-168.99999999999693,-212.0000000000175,-263.99999999999756,,-645.000000000012
2018.02.05,-148.99999999999915,-188.0000000000166,-415.0000000000098,,-752.0000000000255
2018.02.05,-96.99999999999153,-132.000000000005,-375.9999999999986,,-604.9999999999951
2018.02.05,-35.00000000000725,-129.99999999999545,-123.00000000000644,,-288.00000000000915
2018.02.05,-72.0000000000054,-203.00000000000296,-171.99999999999437,,-447.00000000000273
2018.02.05,-26.999999999999247,-439.9999999999977,-300.99999999999574,,-767.9999999999927
2018.02.05,-79.00000000000685,-545.0000000000159,-293.0000000000099,,-917.0000000000326
2018.02.05,-59.000000000009045,-455.0000000000125,-279.00000000000705,,-793.0000000000286
2018.02.05,-48.99999999998794,-430.0000000000068,-560.9999999999893,,-1039.999999999984
2018.02.05,58.000000000002494,-396.000000000015,-587.9999999999885,,-926.000000000001
2018.02.05,-25.999999999992696,-667.0000000000016,-706.999999999991,,-1399.9999999999854
