date,GBPUSD,USDJPY,NZDUSD,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDNZD,empty,sum
2019.06.17,-206.00000000001728,-9.000000000000341,-70.99999999999883,-29.000000000001247,-56.99999999999594,-105.99999999999498,-192.99999999998363,-269.9999999999925,-411.0000000000058,-39.99999999999204,0.0,-0.999999999990564,-16.000000000005343,-22.999999999996135,-56.000000000011596,,-1487.9999999999864
2019.06.17,-170.00000000000347,-22.00000000000557,-63.00000000000195,4.000000000004,-40.99999999999105,-39.00000000000014,-182.99999999999272,-242.99999999999324,-373.00000000000114,-84.00000000000318,153.00000000000313,-6.999999999990791,-4.9999999999954525,-52.99999999999727,54.99999999998284,,-1070.9999999999857
2019.06.17,-160.00000000000458,-55.00000000000682,-49.99999999999449,-7.9999999999968985,-29.999999999996696,-5.999999999994898,-221.99999999998,-236.99999999999832,-362.00000000001785,-137.99999999999102,224.99999999998633,-32.99999999998704,-31.00000000000591,-36.99999999999193,103.99999999999298,,-1039.999999999987
2019.06.17,-151.00000000001222,-57.00000000000216,-32.999999999994145,-26.000000000003798,-8.999999999992347,4.000000000004,-213.99999999999864,-197.00000000000273,-343.00000000000443,-143.00000000000068,356.9999999999851,-34.99999999999659,-57.00000000000216,-42.999999999992156,151.9999999999966,,-795.0000000000163
2019.06.17,-158.99999999999804,-56.000000000011596,-71.99999999999429,-61.999999999995396,-66.99999999999484,9.999999999998899,-220.99999999997522,-251.00000000000122,-276.00000000000955,-158.00000000000125,238.0000000000049,-30.9999999999917,-88.00000000000807,-96.9999999999942,137.9999999999937,,-1151.9999999999782
2019.06.17,-158.99999999999804,-94.99999999999886,-75.9999999999983,-97.00000000000264,-90.0000000000012,11.00000000000545,-274.99999999997726,-248.99999999998812,-251.00000000000122,-207.9999999999984,243.99999999999977,-54.99999999999261,-125.0,-121.99999999999989,147.99999999999258,,-1398.9999999999588
2019.06.17,-178.99999999999582,-94.99999999999886,-97.00000000000264,-102.00000000000209,-105.99999999999498,8.000000000008,-295.99999999999227,-297.9999999999983,-255.00000000000523,-233.99999999999466,234.00000000000088,-64.99999999999773,-134.00000000000034,-143.99999999999125,144.99999999999514,,-1617.9999999999702
2019.06.17,-187.00000000000384,-172.00000000001125,-114.99999999999844,-119.99999999999788,-124.99999999999733,26.999999999999247,-379.99999999999545,-280.9999999999979,-207.00000000000162,-307.9999999999927,197.99999999998707,-103.9999999999992,-186.9999999999976,-201.99999999999818,114.99999999999844,,-2048.000000000007
2019.06.17,-151.9999999999966,-171.00000000000648,-119.99999999999788,-119.99999999999788,-147.99999999999258,36.0000000000027,-344.99999999999886,-279.99999999999136,-194.0000000000053,-307.00000000000216,163.9999999999864,-101.99999999998965,-179.00000000000205,-213.99999999999864,96.99999999999153,,-2034.9999999999984
2019.06.17,-175.99999999999838,-210.00000000000796,-132.99999999999423,-129.9999999999968,-156.99999999999602,50.0000000000056,-394.9999999999818,-279.99999999999136,-184.00000000000637,-364.9999999999949,177.00000000000495,-131.9999999999908,-198.0000000000075,-233.99999999999466,95.00000000000064,,-2271.9999999999495
