date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,EURCAD,EURAUD,EURNZD,AUDJPY,NZDCAD,empty,sum
2015.03.09,-42.999999999993044,-60.99999999999994,-27.999999999991587,-48.000000000003595,-20.999999999993246,-16.000000000016,-79.00000000000685,-97.99999999999898,-36.0000000000027,-107.99999999999699,-114.99999999999844,-31.999999999998696,-90.99999999999665,-121.99999999999989,-191.99999999999218,-49.000000000006594,-113.00000000000753,,-1252.000000000003
2015.03.09,-136.99999999999824,-103.00000000000864,-111.0000000000042,-114.99999999999844,-74.99999999999174,-19.00000000001345,-94.00000000001629,-51.00000000000193,-36.999999999998145,-73.99999999999629,-185.99999999999727,-19.00000000000235,-22.999999999995246,-73.99999999999629,-394.9999999999898,-28.000000000005798,-224.000000000002,,-1765.0000000000161
2015.03.09,-303.9999999999932,-163.00000000000205,-114.99999999999488,-157.99999999999147,-110.99999999999443,-187.00000000000384,-204.00000000000418,-305.9999999999974,-167.00000000000603,-165.9999999999995,-298.9999999999937,-5.999999999994898,-78.00000000000028,-110.99999999999443,-425.99999999999307,-93.00000000000352,-197.00000000000273,,-3090.99999999997
2015.03.09,-231.99999999999886,-158.99999999999804,-111.0000000000042,-163.9999999999864,-123.99999999999079,-118.00000000001809,-173.00000000000094,-211.9999999999891,-107.00000000000153,-121.99999999999989,-259.9999999999936,-7.0000000000014495,-55.000000000005045,-59.000000000009045,-405.9999999999952,-82.99999999999841,-192.00000000000327,,-2583.999999999993
2015.03.09,-283.99999999999534,-257.0000000000183,-194.00000000000261,-202.9999999999976,-169.99999999999238,-184.00000000000637,-153.00000000000313,-226.99999999998965,-133.00000000000534,-138.00000000000477,-275.99999999999847,-46.00000000000159,-130.99999999999224,-164.99999999999292,-495.000000000001,-91.99999999999875,-214.99999999999852,,-3362.9999999999986
2015.03.09,-234.99999999999633,-246.00000000001288,-150.99999999999625,-186.99999999998164,-113.99999999999189,-80.00000000001339,-102.00000000000209,-167.0000000000016,-109.00000000000354,-172.00000000000549,-318.99999999999153,-48.99999999999905,-209.9999999999991,-319.999999999987,-666.9999999999953,-28.000000000005798,-289.0000000000059,,-3444.999999999989
2015.03.09,-157.99999999999147,-179.00000000001802,-60.99999999999284,-22.999999999995246,26.000000000003798,-63.000000000013046,-80.00000000001339,-200.9999999999934,-158.0000000000026,-258.9999999999981,-342.9999999999933,-34.000000000000696,-263.99999999999756,-476.9999999999941,-739.0000000000008,66.99999999999307,-275.99999999999847,,-3222.0000000000064
2015.03.09,-121.99999999999989,-139.00000000000023,-69.99999999999318,-41.99999999998649,39.00000000000014,1.999999999990898,-50.0000000000167,-134.9999999999909,-104.99999999999955,-241.99999999999778,-383.0,-21.999999999999797,-202.00000000001327,-456.9999999999963,-853.9999999999992,73.99999999999807,-387.000000000004,,-3095.000000000008
2015.03.09,-153.99999999999858,-120.00000000000898,-54.99999999999261,-28.999999999990145,90.0000000000012,-49.00000000001015,-104.00000000001519,-218.9999999999941,-109.99999999999899,-295.99999999999625,-364.9999999999931,-9.00000000000345,-154.0000000000097,-462.9999999999912,-766.0,117.999999999995,-336.9999999999984,,-3022.0000000000045
2015.03.09,-137.9999999999937,-145.00000000001734,27.000000000001023,-55.99999999998939,104.00000000000409,19.999999999997797,-83.00000000001084,-283.9999999999918,-100.00000000000009,-312.00000000000114,-361.9999999999957,0.999999999995449,-157.00000000000713,-551.9999999999969,-778.9999999999964,90.99999999999397,-348.00000000000387,,-3073.000000000012
2015.03.09,-85.99999999999719,-145.00000000001734,82.00000000000784,-71.99999999998319,138.00000000000477,113.99999999999189,14.999999999987246,-293.99999999999693,-39.00000000000014,-268.99999999999704,-452.99999999999227,2.000000000002,-161.99999999999548,-558.9999999999984,-1049.9999999999955,39.00000000000148,-523.0000000000068,,-3261.9999999999854
2015.03.09,-19.999999999997797,-110.00000000001009,224.00000000000375,-29.999999999996696,169.00000000000804,192.99999999999872,27.999999999983594,-348.99999999998954,-26.000000000003798,-299.00000000000483,-475.99999999999864,21.00000000000435,-168.99999999999693,-632.9999999999947,-1122.0000000000007,0.999999999990564,-558.000000000003,,-3156.000000000008
2015.03.09,-60.99999999999994,-119.00000000000244,200.00000000000284,-58.99999999998684,142.00000000000878,181.9999999999933,-13.000000000018552,-331.99999999999363,-29.999999999996696,-265.99999999999955,-435.9999999999919,21.00000000000435,-127.99999999999478,-529.0000000000017,-985.999999999998,-9.000000000000341,-500.00000000000045,,-2922.9999999999754
2015.03.09,-106.99999999999044,-137.00000000000932,134.00000000000034,-107.99999999999699,119.00000000000244,169.99999999998127,-45.000000000006146,-324.99999999998863,-46.999999999997044,-253.99999999999866,-452.99999999999227,34.99999999999615,-130.99999999999224,-486.999999999993,-988.9999999999955,3.9999999999906777,-523.0000000000068,,-3143.999999999996
2015.03.09,-89.99999999999008,-116.00000000000499,138.9999999999958,-69.9999999999923,147.00000000000824,187.99999999998818,-49.00000000001015,-322.9999999999933,-43.999999999999595,-290.00000000000136,-496.99999999999187,60.00000000000449,-110.00000000001009,-526.0000000000042,-1055.000000000006,40.99999999999682,-575.9999999999987,,-3171.0000000000086
2015.03.09,-61.999999999995396,-141.00000000001333,200.00000000000284,-63.99999999999739,106.00000000000608,239.99999999999577,-22.0000000000109,-339.9999999999892,-26.000000000003798,-278.9999999999959,-431.99999999999903,38.0000000000047,-139.00000000000023,-533.99999999999,-1001.0000000000074,-42.00000000000159,-499.000000000005,,-2996.9999999999995
2015.03.09,-183.99999999999528,-246.00000000001288,140.00000000000057,-191.99999999999218,-31.999999999998696,126.99999999998823,5.999999999994898,-387.00000000000045,-46.999999999997044,-202.0000000000022,-419.9999999999982,7.0000000000014495,-178.00000000001148,-448.9999999999883,-991.0000000000085,-152.00000000000102,-497.000000000003,,-3697.000000000024
2015.03.09,-296.9999999999917,-297.0000000000139,137.00000000000045,-188.9999999999947,-39.999999999995595,-43.999999999999595,-97.00000000001374,-549.9999999999972,-134.99999999999625,-253.99999999999866,-450.9999999999903,-19.999999999997797,-225.99999999999287,-443.99999999999994,-953.0000000000039,-186.9999999999976,-417.0000000000007,,-4463.999999999984
2015.03.09,-310.9999999999946,-341.99999999999784,60.000000000002274,-248.99999999998812,-100.99999999999554,-127.00000000001043,-78.00000000000028,-473.99999999998954,-109.00000000000354,-231.99999999999886,-342.9999999999933,-78.99999999999574,-198.00000000000927,-401.99999999999125,-870.9999999999995,-167.0000000000016,-380.00000000000256,,-4402.99999999997
2015.03.09,-279.99999999999136,-378.00000000001165,10.000000000005116,-234.00000000000088,-107.99999999999699,-86.0000000000083,-54.0000000000207,-429.00000000000205,-116.00000000000499,-192.99999999999872,-328.9999999999904,-92.99999999999864,-324.9999999999975,-436.9999999999985,-783.0000000000003,-158.00000000000125,-316.0000000000052,,-4309.000000000023
2015.03.09,-269.9999999999925,-617.0000000000009,-19.99999999999602,-316.99999999998954,-153.99999999999858,-59.000000000009045,23.999999999979593,-388.9999999999958,-124.99999999999733,-194.0000000000053,-250.9999999999901,-185.00000000000182,-570.0000000000039,-626.9999999999998,-879.0000000000075,-189.00000000000716,-200.00000000000017,,-5022.000000000016
2015.03.09,-318.99999999999153,-626.9999999999998,-81.99999999999363,-400.9999999999847,-219.99999999999798,206.99999999997942,165.9999999999995,-361.99999999999477,-43.00000000000415,-107.99999999999699,-127.99999999999478,-115.99999999999389,-446.0000000000131,-531.9999999999991,-706.999999999991,-209.00000000000318,-139.00000000000023,,-4065.99999999998
2015.03.09,-395.99999999999636,-696.0000000000077,-147.99999999999613,-422.9999999999956,-274.9999999999919,36.999999999998145,54.99999999998284,-429.00000000000205,-117.99999999999588,-90.99999999999665,-219.99999999999798,-126.0000000000039,-432.0000000000102,-478.0000000000006,-656.9999999999965,-278.0000000000058,-142.00000000000878,,-4817.0000000000255
