date,GBPUSD,EURUSD,USDJPY,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,CADJPY,AUDNZD,empty,sum
2019.08.05,-311.0000000000168,-73.99999999999629,-30.000000000001137,-14.999999999998348,23.00000000000635,-192.00000000000327,382.000000000005,428.00000000000614,-149.0000000000009,-119.00000000000244,-30.000000000001137,49.99999999999449,,-37.000000000008406
2019.08.05,-316.0000000000052,-38.0000000000047,19.000000000005457,-21.00000000000435,7.9999999999968985,-180.99999999999784,256.0000000000002,363.0000000000022,-87.99999999999386,1.0000000000065512,-37.00000000000614,76.99999999999375,,42.999999999992966
2019.08.05,-362.00000000001785,-55.000000000005045,-19.99999999999602,-56.0000000000005,-3.999999999992898,-175.00000000000293,359.00000000000887,449.9999999999948,-153.99999999999636,-36.999999999998145,-91.00000000000819,51.000000000001044,,-94.00000000001319
2019.08.05,-314.00000000001427,-25.999999999992696,-60.000000000002274,-75.00000000000284,-39.00000000000014,-185.99999999999727,358.0000000000041,370.00000000000364,-165.99999999999682,15.999999999993797,-127.00000000000955,96.00000000000719,,-153.00000000000708
2019.08.05,-364.00000000000875,-49.99999999999449,8.000000000009777,-48.000000000003595,-48.000000000003595,-171.99999999999437,328.00000000000296,384.00000000000654,-114.99999999999488,31.000000000003247,-103.00000000000864,137.9999999999937,,-10.999999999992099
2019.08.05,-334.00000000001205,-45.000000000006146,6.000000000000227,-63.00000000000195,-70.0000000000034,-192.00000000000327,296.0000000000207,388.9999999999949,-112.99999999999955,0.0,-82.00000000000784,151.9999999999966,,-56.00000000002183
2019.08.05,-479.0000000000072,-252.0000000000078,274.0000000000009,-182.99999999999983,-231.99999999999886,-251.99999999999667,131.00000000000023,496.99999999999187,-36.000000000001364,-198.00000000000927,77.99999999998875,231.0000000000034,,-421.0000000000358
2019.08.05,-622.0000000000115,-225.00000000000853,249.00000000000944,-129.00000000000134,-212.00000000000108,-121.99999999999989,308.00000000002115,703.0000000000092,-36.000000000001364,-180.0000000000024,70.99999999999795,293.0000000000099,,98.00000000002171
2019.08.05,-572.0000000000169,-202.00000000001327,537.9999999999967,-356.9999999999962,-344.99999999999534,-141.99999999999767,-94.99999999999886,774.9999999999924,310.0000000000023,-268.0000000000016,353.9999999999992,139.00000000000023,,134.9999999999709
2019.08.05,-424.00000000000216,-187.00000000000384,477.00000000000387,-390.0000000000015,-386.9999999999929,-241.00000000000233,-179.9999999999784,723.9999999999914,260.0000000000051,-391.000000000008,384.00000000000034,154.99999999999403,,-199.9999999999945
2019.08.05,-258.0000000000027,-175.99999999999838,623.0000000000047,-493.99999999999443,-439.99999999999596,-356.9999999999962,-530.9999999999775,693.9999999999947,434.0000000000117,-540.0000000000072,588.9999999999986,75.00000000000284,,-380.99999999995987
2019.08.05,-312.00000000000114,-191.00000000000784,582.9999999999984,-468.9999999999972,-337.99999999999386,-327.99999999999494,-423.9999999999782,717.000000000012,373.00000000000466,-523.0000000000068,531.9999999999965,-43.999999999999595,,-423.999999999968
