date,AUDUSD,NZDUSD,GBPCHF,EURCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDJPY,AUDNZD,empty,sum
2021.07.19,-7.9999999999968985,39.999999999995595,-48.000000000003595,31.000000000003247,121.99999999999989,142.00000000000878,136.99999999999824,-92.00000000000318,-141.00000000001333,189.99999999999773,-73.00000000001194,58.9999999999975,41.00000000001103,59.99999999999339,,459.99999999997647
2021.07.19,-6.0000000000060005,17.999999999995797,-72.0000000000054,31.000000000003247,174.00000000000747,175.00000000000293,139.99999999999568,-134.99999999999625,-186.0000000000195,164.99999999999204,-87.00000000001484,29.999999999986926,16.000000000005343,93.00000000000975,,355.99999999995725
2021.07.19,-45.000000000006146,41.9999999999976,-26.0000000000149,60.99999999999994,150.00000000000568,215.00000000000963,178.00000000000037,-253.99999999999866,-340.00000000000693,197.00000000000273,-266.0000000000107,52.99999999999727,6.000000000000227,36.999999999998145,,7.999999999974271
2021.07.19,-85.00000000000173,15.999999999993797,-63.99999999999739,53.999999999998494,102.00000000000209,172.00000000000549,214.99999999999852,-275.9999999999874,-418.0000000000073,157.0000000000107,-386.00000000001967,-12.000000000000455,-79.9999999999983,24.000000000001798,,-581.0000000000013
2021.07.19,-78.99999999999574,12.999999999996348,-79.00000000000685,66.99999999999484,102.00000000000209,172.00000000000549,224.9999999999974,-231.0000000000034,-398.00000000000944,135.99999999999568,-392.00000000001455,-16.000000000005343,-96.9999999999942,38.0000000000047,,-539.0000000000331
2021.07.19,-123.00000000000644,-38.0000000000047,-127.99999999999478,19.999999999997797,24.000000000001798,89.00000000000574,219.00000000000253,-265.0000000000041,-543.0000000000045,61.00000000000705,-511.000000000017,-81.00000000000307,-202.99999999998875,46.999999999997044,,-1432.0000000000111
2021.07.19,-158.99999999999804,-80.00000000000229,-117.99999999999588,24.999999999986144,28.000000000005798,87.99999999999919,222.99999999999542,-275.9999999999874,-548.0000000000151,52.99999999999727,-513.0000000000078,-89.00000000001285,-208.99999999998897,60.99999999999994,,-1514.0000000000246
2021.07.19,-219.99999999999798,-163.99999999999747,-140.0000000000068,14.999999999987246,-10.999999999994348,29.000000000001247,229.99999999999687,-329.00000000000153,-604.0000000000045,-64.99999999999773,-581.0000000000093,-204.00000000000773,-317.99999999999784,102.00000000000209,,-2260.0000000000277
2021.07.19,-167.00000000000603,-94.00000000000519,-46.999999999997044,51.99999999998539,42.0000000000087,94.00000000000519,195.9999999999962,-327.99999999999494,-616.0000000000165,-8.000000000009777,-522.0000000000002,-129.0000000000049,-250.0,69.9999999999923,,-1707.0000000000468
2021.07.19,-206.00000000000617,-140.0000000000068,-103.00000000000864,15.999999999993797,8.000000000008,56.0000000000005,205.99999999999508,-347.9999999999928,-620.0000000000206,-3.9999999999906777,-546.000000000002,-148.00000000001035,-259.9999999999909,83.00000000001084,,-2006.0000000000205
2021.07.19,-221.00000000000452,-182.99999999999983,-123.00000000000644,12.999999999996348,-4.999999999999449,17.000000000000348,217.0000000000005,-418.9999999999916,-626.0000000000155,-2.0000000000095497,-575.9999999999987,-182.00000000000216,-272.99999999999613,123.00000000000644,,-2240.00000000002
2021.07.19,-234.00000000000088,-197.99999999999818,-173.00000000000094,18.0000000000069,-29.999999999996696,-5.999999999994898,251.00000000000122,-384.9999999999909,-619.000000000014,19.000000000005457,-632.0000000000103,-201.00000000000762,-292.0000000000016,130.99999999999224,,-2351.0000000000105
2021.07.19,-209.00000000000364,-134.0000000000008,-97.9999999999981,28.999999999990145,2.000000000002,56.0000000000005,212.99999999999653,-425.99999999999307,-638.0000000000052,30.000000000001137,-578.0000000000118,-172.00000000001125,-256.0000000000002,78.00000000000028,,-2103.000000000033
