date,GBPUSD,USDCAD,AUDUSD,GBPCHF,AUDCHF,EURGBP,GBPAUD,EURJPY,EURNZD,NZDCAD,empty,sum
2021.05.10,-76.99999999999375,-82.00000000000429,-114.99999999999844,-58.000000000002494,29.000000000001247,74.00000000000739,-108.99999999998133,90.00000000000341,-440.9999999999803,-2.999999999997449,,-691.9999999999461
2021.05.10,-64.99999999998174,-79.00000000000685,-93.99999999999409,-48.000000000003595,-3.999999999992898,67.00000000000594,-146.99999999998602,133.00000000000978,-417.0000000000007,7.9999999999968985,,-645.9999999999532
2021.05.10,189.00000000001694,-38.0000000000047,-51.99999999999649,-374.0000000000077,-60.99999999999994,-64.99999999999284,-454.9999999999832,46.00000000002069,-278.00000000000045,100.00000000000009,,-987.9999999999476
2021.05.10,251.00000000000122,-72.99999999998974,-39.999999999995595,-364.00000000000875,-34.000000000000696,-73.99999999999629,-502.9999999999868,105.00000000001819,-334.9999999999964,134.99999999999625,,-931.9999999999587
2021.05.10,289.0000000000059,-11.999999999989797,-6.999999999990347,-347.9999999999928,-41.000000000002146,-56.0000000000005,-474.999999999981,76.00000000002183,-232.99999999999432,175.99999999999838,,-630.9999999999247
2021.05.10,362.00000000001785,38.0000000000047,11.00000000000545,-462.0000000000068,-82.99999999999974,-121.99999999999989,-527.9999999999951,156.0000000000059,-200.99999999998454,146.00000000000168,,-682.9999999999504
2021.05.10,312.00000000000114,-7.999999999985796,-46.999999999997044,-520.0000000000093,-85.99999999999719,-139.99999999999568,-602.999999999998,318.00000000001205,-305.9999999999841,73.00000000000084,,-1006.999999999953
2021.05.10,240.00000000001796,-42.999999999993044,-82.99999999999974,-432.0000000000102,-41.9999999999976,-107.00000000000153,-590.0000000000016,263.00000000000523,-347.9999999999928,65.00000000000395,,-1076.9999999999693
2021.05.10,314.99999999999864,14.000000000002899,-82.99999999999974,-567.0000000000064,-76.99999999999375,-187.9999999999993,-682.9999999999892,330.0000000000125,-285.99999999998624,16.0000000000049,,-1208.9999999999554
2021.05.10,274.00000000001864,-5.999999999994898,-83.9999999999952,-504.9999999999999,-68.00000000000139,-151.00000000000114,-634.0000000000013,348.0000000000132,-371.99999999999454,-5.999999999994898,,-1203.9999999999513
2021.05.10,200.00000000000017,-63.99999999999739,-154.99999999999403,-451.0000000000014,-9.00000000000345,-141.99999999999767,-703.9999999999935,329.00000000000773,-446.9999999999974,-34.000000000000696,,-1476.9999999999775
2021.05.10,141.00000000001333,-82.00000000000429,-176.99999999999383,-385.99999999999744,17.000000000000348,-117.99999999999588,-673.9999999999968,308.9999999999975,-450.9999999999792,-36.999999999998145,,-1457.9999999999545
2021.05.10,171.00000000001003,-32.999999999994145,-118.99999999999133,-388.0000000000106,-21.999999999999797,-105.99999999999498,-580.0000000000027,394.00000000000546,-482.999999999989,-60.00000000000449,,-1225.9999999999718
