date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2021.03.15,-53.00000000000304,-72.99999999998974,-60.000000000002274,-34.000000000000696,-54.999999999993946,-88.99999999999464,-218.00000000000708,-78.00000000000028,-95.00000000000064,-72.0000000000054,-100.00000000000009,-12.999999999996348,-169.00000000001114,-148.99999999999915,-114.0000000000141,-151.00000000001046,0.0,-60.99999999999994,-103.9999999999992,-85.00000000000796,-85.99999999999852,-77.00000000000485,-97.9999999999981,,-2034.0000000000375
2021.03.15,-78.99999999999574,-82.00000000000429,-85.99999999999852,12.999999999996348,-17.999999999995797,-68.00000000000139,-269.9999999999925,-75.00000000000284,-100.00000000000009,-73.99999999999629,-102.99999999999754,-31.000000000003247,-215.0000000000034,-165.9999999999995,84.99999999997954,-130.00000000002387,0.0,-2.999999999997449,-102.00000000000387,-79.00000000000773,-96.9999999999942,-69.00000000000794,-57.00000000001815,,-1806.000000000069
2021.03.15,-82.99999999999974,-144.99999999999514,-137.99999999999102,-25.999999999992696,-75.9999999999983,-136.00000000000279,-280.9999999999979,-87.99999999999919,-114.99999999999844,-119.00000000000244,-147.99999999999258,-34.000000000000696,-358.0000000000041,-179.99999999998016,17.999999999984695,-233.0000000000041,5.000000000010552,-52.000000000007596,-164.99999999999204,-155.00000000000114,-179.9999999999926,-125.00000000000844,-70.0000000000145,,-2883.9999999999804
2021.03.15,-97.9999999999981,-129.00000000000134,-149.0000000000009,-58.000000000002494,-75.9999999999983,-124.00000000000189,-299.99999999998914,-89.00000000000574,-137.9999999999937,-122.99999999999534,-149.99999999999457,-29.999999999996696,-352.00000000000387,-153.9999999999875,24.999999999986144,-219.0000000000225,-44.99999999998394,-69.00000000000794,-191.99999999999307,-183.00000000000693,-188.0000000000024,-96.00000000000719,-53.999999999998494,,-2991.0000000000055
2021.03.15,-71.99999999999429,-202.9999999999976,-128.99999999999068,-113.99999999999189,-119.00000000000244,-195.00000000000074,-299.00000000000483,-89.99999999999008,-136.99999999999824,-121.00000000000443,-174.99999999999181,-41.000000000002146,-350.9999999999991,-145.99999999997948,18.999999999991246,-204.00000000000773,-49.99999999999449,-82.00000000000429,-192.99999999999784,-183.9999999999975,-219.99999999999886,-143.00000000000423,-46.999999999997044,,-3295.9999999999573
2021.03.15,-19.999999999997797,-248.99999999998812,-67.99999999999784,-144.99999999999514,-158.99999999999804,-231.0000000000034,-295.0000000000008,-49.99999999999449,-130.99999999999224,-136.99999999999824,-202.9999999999976,-58.99999999999794,-333.00000000002683,-168.99999999999693,-9.000000000014552,-165.00000000002046,-83.9999999999952,-155.00000000001623,-191.0000000000025,-195.99999999999795,-253.0000000000001,-208.00000000000819,-36.0000000000138,,-3546.0000000000537
2021.03.15,-19.00000000000235,-326.9999999999884,-74.99999999998863,-194.0000000000053,-197.00000000000273,-412.9999999999967,-275.000000000003,-43.999999999999595,-112.000000000001,-112.000000000001,-296.9999999999917,-46.00000000000159,-362.0000000000232,-156.00000000000057,-10.000000000021103,-200.00000000001705,-46.999999999997044,-104.99999999999955,-192.99999999999784,-200.00000000000284,-388.9999999999958,-334.00000000000097,85.99999999998609,,-4021.0000000000523
2021.03.15,-10.999999999994348,-330.9999999999924,-64.99999999999773,-194.0000000000053,-200.99999999999562,-419.00000000000273,-296.0000000000074,-78.00000000000028,-115.99999999999389,-102.99999999999754,-309.99999999999915,-41.9999999999976,-332.00000000002206,-175.99999999999838,5.999999999994898,-218.00000000001774,-9.999999999998899,-97.00000000001374,-182.00000000000216,-161.00000000000136,-371.9999999999999,-337.0000000000095,207.00000000000162,,-3838.0000000000514
2021.03.15,-102.00000000000209,-245.99999999999068,-198.99999999999807,-147.99999999999258,-82.99999999999974,-375.9999999999986,-293.99999999999426,-93.00000000000975,-139.00000000000023,-72.0000000000054,-329.00000000000153,-22.999999999995246,-375.0,-126.99999999998823,123.99999999999079,-267.00000000002433,-31.999999999987594,36.999999999998145,-225.9999999999991,-154.00000000001057,-427.99999999999727,-343.00000000000443,288.99999999998374,,-3606.0000000000273
2021.03.15,-109.00000000000354,-113.99999999999189,-185.00000000000227,-41.99999999998649,26.999999999999247,-290.9999999999968,-280.9999999999979,-89.00000000000574,-136.99999999999824,-17.000000000000348,-298.9999999999937,-21.00000000000435,-362.0000000000232,-146.99999999998602,237.99999999998266,-250.0,-39.999999999995595,154.99999999999403,-219.99999999999886,-85.99999999999852,-388.9999999999958,-302.0000000000023,330.9999999999924,,-2630.0000000000136
