date,NZDUSD,CHFJPY,CADCHF,NZDCHF,GBPJPY,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,empty,sum
2017.01.16,-92.99999999999864,-334.99999999999375,-95.00000000000064,-129.00000000000134,-682.9999999999927,-506.0000000000002,-87.99999999999919,-166.00000000001103,-359.99999999999943,-307.00000000000216,-20.0000000000089,,-2782.0000000000086
2017.01.16,-236.99999999999832,-245.9999999999951,-119.00000000000244,-257.0000000000072,-716.0000000000082,-426.9999999999925,-29.999999999996696,-181.0000000000116,-403.99999999999636,-452.0000000000124,-31.000000000003247,,-3100.0000000000236
2017.01.16,-434.000000000001,-266.9999999999959,-136.00000000000279,-397.99999999999835,-764.9999999999864,-510.9999999999957,-236.99999999999832,-190.00000000001194,-420.0000000000017,-514.00000000001,0.0,,-3872.000000000002
2017.01.16,-403.99999999999324,-52.99999999999727,-129.9999999999968,-362.00000000000676,-387.00000000000045,-262.00000000000045,-176.99999999998272,-66.0000000000025,-326.9999999999982,-447.00000000000273,132.99999999999423,,-2481.999999999987
2017.01.16,-239.99999999999577,-137.99999999999102,-110.99999999999443,-241.00000000000233,-567.9999999999836,-344.99999999999886,67.00000000001705,-112.00000000000898,-376.99999999999534,-353.9999999999992,103.99999999999298,,-2314.9999999999595
2017.01.16,-205.99999999999508,-262.00000000000045,-75.9999999999983,-192.00000000000327,-734.0000000000089,-486.99999999999477,192.00000000001438,-171.00000000000648,-408.9999999999918,-368.0000000000092,129.9999999999968,,-2582.999999999997
2017.01.16,-159.9999999999935,-201.99999999999818,-100.99999999999554,-151.9999999999966,-670.9999999999923,-413.99999999998727,267.0000000000172,-155.00000000000114,-363.9999999999901,-324.0000000000123,26.999999999999247,,-2248.9999999999504
2017.01.16,-79.99999999999119,-185.00000000000227,-92.99999999999864,-82.99999999999974,-566.0000000000025,-373.9999999999952,429.00000000001273,-132.000000000005,-251.99999999999534,-187.00000000001182,12.000000000000899,,-1510.9999999999882
2017.01.16,-29.000000000001247,-96.9999999999942,-92.00000000000318,-68.00000000000139,-435.0000000000023,-271.0000000000008,418.0000000000073,-56.000000000011596,-224.99999999999432,-118.99999999999977,29.000000000001247,,-945.0000000000002
2017.01.16,-65.99999999999939,90.00000000000341,-92.00000000000318,-70.0000000000034,-85.99999999998431,-68.9999999999884,392.9999999999989,88.99999999999864,-25.99999999999625,-6.000000000000227,-12.000000000000899,,145.0000000000249
2017.01.16,-14.999999999998348,60.000000000002274,-87.99999999999919,-34.000000000000696,-127.9999999999859,-60.99999999999284,480.00000000001376,68.9999999999884,-9.999999999990905,33.999999999991815,-65.99999999999939,,241.000000000029
2017.01.16,98.0000000000092,73.99999999999807,-112.99999999999643,26.999999999999247,-197.00000000000273,-53.999999999987836,550.000000000006,56.99999999998795,-15.000000000000568,101.99999999998965,-43.999999999999595,,485.000000000003
2017.01.16,78.00000000000028,52.99999999999727,-112.000000000001,3.999999999992898,-370.00000000000455,-64.99999999999773,496.00000000000756,31.999999999996476,-39.99999999999204,53.999999999987836,-52.000000000007596,,77.99999999997945
2017.01.16,56.0000000000005,46.00000000000648,-121.00000000000443,-23.00000000000635,-420.99999999999227,-87.99999999999386,477.0000000000163,6.000000000000227,-37.9999999999967,19.99999999999602,-94.00000000000519,,-179.9999999999793
2017.01.16,36.999999999998145,108.00000000000409,-102.00000000000209,-14.000000000002899,-252.9999999999859,-39.99999999999204,519.0000000000028,64.99999999999773,-1.9999999999953388,66.99999999999307,-77.00000000000485,,308.0000000000128
2017.01.16,58.000000000002494,141.9999999999959,-92.00000000000318,24.999999999997247,-219.99999999999886,3.0000000000001137,577.0000000000052,118.99999999999977,85.00000000000796,155.9999999999917,-97.00000000000264,,755.9999999999958
2017.01.16,17.000000000000348,170.0000000000017,-97.9999999999981,27.999999999994696,-75.9999999999934,6.000000000000227,609.0000000000151,143.00000000000068,91.99999999999875,172.9999999999876,-97.00000000000264,,967.0000000000051
2017.01.16,-73.99999999999629,284.9999999999966,-100.99999999999554,-31.000000000003247,45.000000000015916,125.0,395.000000000012,210.99999999999852,189.00000000000716,214.9999999999892,-120.00000000000898,,1139.000000000015
2017.01.16,-85.00000000000173,299.99999999999716,-187.9999999999993,-90.0000000000012,133.00000000000978,255.00000000000966,245.0000000000063,168.99999999999693,163.0000000000109,143.99999999999125,-150.00000000000568,,896.0000000000141
2017.01.16,58.000000000002494,90.00000000000341,-153.99999999999858,14.000000000002899,-277.9999999999916,32.00000000001069,435.0000000000076,85.99999999999852,85.00000000000796,161.99999999999193,-175.00000000000293,,355.0000000000324
2017.01.16,86.0000000000083,109.99999999999943,-166.99999999999494,39.00000000000014,-381.0000000000002,80.0000000000125,503.000000000009,102.99999999999443,115.0000000000091,192.99999999999784,-239.0000000000003,,442.00000000003524
2017.01.16,161.00000000000003,274.0000000000009,-239.0000000000003,0.0,-606.9999999999993,166.00000000001103,455.0000000000054,94.99999999999886,142.00000000001012,236.99999999999477,-179.00000000000693,,505.00000000001444
2017.01.16,186.00000000000838,201.00000000000762,-234.99999999999633,-41.9999999999976,-665.9999999999968,99.00000000000375,354.0000000000099,49.99999999999716,70.00000000000739,141.9999999999959,-170.00000000000347,,-10.999999999964132
