date,EURUSD,USDCAD,AUDUSD,CHFJPY,GBPCAD,GBPAUD,EURCAD,EURAUD,AUDJPY,empty,sum
2020.08.24,-41.000000000002146,-28.000000000005798,-60.00000000000449,-9.000000000000341,-24.000000000001798,-133.00000000000534,-98.99999999998244,-93.99999999999409,0.0,,-487.9999999999964
2020.08.24,-17.999999999984695,-79.00000000000685,68.99999999999685,43.00000000000637,31.999999999987594,-117.00000000001154,-193.99999999998306,63.99999999999739,176.00000000000193,,-23.99999999999602
2020.08.24,17.000000000000348,-49.99999999999449,87.99999999999919,72.00000000000273,73.99999999999629,-127.99999999999478,-153.9999999999875,133.00000000000534,200.9999999999934,,253.00000000002052
2020.08.24,32.0000000000098,-21.999999999988695,90.99999999999665,233.99999999999466,109.00000000000354,-35.999999999991594,-156.00000000000057,69.9999999999923,296.99999999999704,,619.0000000000131
2020.08.24,69.00000000000794,11.00000000000545,126.99999999999933,218.00000000000352,161.99999999999548,-83.9999999999952,-196.99999999998053,60.99999999999994,316.0000000000025,,683.0000000000384
2020.08.24,36.0000000000138,-59.000000000009045,73.00000000000084,218.9999999999941,201.99999999999108,-11.00000000000545,-207.99999999998596,15.00000000000945,275.0000000000057,,542.0000000000144
2020.08.24,-22.999999999995246,-103.00000000000864,12.999999999996348,114.00000000000432,182.99999999999983,53.999999999998494,-185.99999999999727,-46.999999999997044,224.00000000000375,,229.00000000000452
2020.08.24,5.999999999994898,-83.9999999999952,61.999999999995396,42.00000000000159,139.00000000000023,-32.999999999994145,-170.99999999998784,31.000000000003247,194.99999999999318,,187.00000000001137
2020.08.24,4.000000000004,-86.99999999999264,73.00000000000084,-9.000000000000341,75.00000000000284,-296.0000000000074,-175.99999999999838,55.99999999998939,200.9999999999934,,-159.00000000000824
2020.08.24,66.00000000001049,1.0000000000065512,175.00000000000293,64.00000000000716,109.00000000000354,-239.99999999999577,-178.99999999999582,157.00000000000713,266.9999999999959,,420.00000000004206
2020.08.24,73.99999999999629,-2.999999999997449,212.00000000000108,76.00000000000762,114.99999999999844,-300.00000000001137,-164.99999999999292,276.9999999999939,323.99999999999807,,609.9999999999936
2020.08.24,-24.999999999986144,21.00000000000435,141.00000000000225,82.00000000000784,25.999999999992696,-269.9999999999925,-131.99999999999878,249.00000000001032,298.9999999999924,,391.0000000000324
2020.08.24,-18.999999999991246,31.000000000003247,151.00000000000114,97.99999999999898,14.000000000002899,-222.00000000001108,-3.999999999981796,259.9999999999936,299.99999999999716,,609.0000000000128
2020.08.24,-82.99999999998863,29.00000000001235,115.99999999999389,72.00000000000273,0.0,-198.00000000000927,43.00000000001525,266.999999999995,278.99999999999636,,525.0000000000177
