date,USDCHF,AUDUSD,NZDUSD,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.02.25,130.99999999999224,-7.0000000000014495,12.999999999996348,-1.999999999990898,-112.000000000001,-75.00000000000284,-70.99999999999883,-74.00000000000739,-195.00000000001182,-224.000000000002,-43.99999999999693,11.999999999989797,28.000000000005798,-13.999999999995794,-18.999999999991246,7.999999999995566,-3.999999999992898,19.999999999997797,42.999999999993044,,-586.0000000000225
2019.02.25,130.99999999999224,-112.000000000001,80.00000000000229,-28.999999999990145,-133.00000000000534,-80.00000000000229,-180.99999999999784,-9.00000000000345,-188.9999999999947,-402.0000000000135,-150.00000000000568,-164.00000000000858,253.99999999999866,-84.00000000000318,-189.99999999999773,15.999999999991132,-141.99999999999767,117.00000000000044,289.9999999999903,,-977.0000000000462
2019.02.25,126.99999999998823,-136.99999999999824,12.999999999996348,-110.00000000001009,-167.00000000000603,-86.0000000000083,-202.0000000000022,-70.99999999999883,-79.00000000000685,-329.00000000000153,-203.99999999999352,-157.00000000000713,188.9999999999947,-105.99999999999454,-230.00000000000398,-69.00000000000261,-169.99999999999238,26.999999999999247,249.00000000001032,,-1512.0000000000373
2019.02.25,97.9999999999981,-217.99999999999596,-36.0000000000027,-87.99999999999919,-161.99999999999548,-75.00000000000284,-261.99999999999557,-102.99999999999754,-90.00000000001229,-516.0000000000053,-228.9999999999992,-296.9999999999917,97.9999999999981,-120.99999999999511,-319.9999999999932,-127.00000000000955,-263.99999999999756,-26.000000000003798,286.99999999999284,,-2451.0000000000077
2019.02.25,98.99999999999353,-231.0000000000034,-136.00000000000279,-99.00000000000463,-188.9999999999947,-87.00000000000374,-275.99999999999847,-202.0000000000022,-97.9999999999981,-531.9999999999991,-290.9999999999968,-283.99999999999534,-96.00000000000719,-153.99999999999636,-355.000000000004,-255.00000000000966,-266.999999999995,-143.9999999999997,157.00000000000713,,-3440.0000000000105
2019.02.25,51.99999999999649,-258.0000000000027,-178.00000000000037,-95.00000000000064,-164.99999999999292,-49.00000000001015,-269.9999999999925,-212.99999999999653,-14.000000000002899,-520.0000000000093,-275.99999999999625,-299.00000000000483,-150.00000000000568,-117.999999999995,-352.00000000000387,-271.0000000000008,-309.99999999999915,-204.99999999999963,137.00000000000932,,-3554.0000000000073
2019.02.25,61.999999999995396,-226.00000000000398,-165.00000000000404,-76.99999999999375,-170.00000000000347,-65.99999999999939,-242.99999999999324,-204.99999999999963,-83.00000000001084,-477.0000000000163,-262.00000000000045,-234.00000000000088,-129.99999999998568,-121.99999999999989,-310.99999999999284,-254.0000000000049,-249.99999999999466,-175.00000000000293,104.99999999999955,,-3283.000000000012
2019.02.25,53.00000000000304,-148.0000000000037,-92.99999999999864,-60.99999999999994,-131.99999999999878,-34.000000000000696,-159.9999999999935,-126.0000000000039,-29.00000000001235,-293.99999999999426,-149.0000000000009,-107.00000000001265,2.0000000000131024,-39.00000000000148,-174.99999999999716,-123.00000000000466,-180.99999999999784,-107.00000000000153,106.00000000000608,,-1796.9999999999995
2019.02.25,53.00000000000304,-161.00000000000003,-121.00000000000443,-69.9999999999923,-120.00000000000898,-54.00000000000959,-173.00000000000094,-157.00000000000713,-65.00000000000395,-310.0000000000103,-164.00000000000148,-151.9999999999966,-85.00000000000173,-78.00000000000296,-204.9999999999983,-171.00000000000648,-173.9999999999964,-121.99999999999989,79.00000000000685,,-2250.000000000032
2019.02.25,71.99999999999429,-17.999999999995797,-46.999999999997044,-93.99999999999409,-110.00000000001009,-26.000000000003798,-43.999999999999595,-95.00000000000064,32.999999999994145,55.000000000005045,-24.00000000000091,120.00000000000898,42.0000000000087,37.9999999999967,18.000000000000682,-27.000000000001023,-37.99999999999359,-75.9999999999983,-18.0000000000069,,-238.9999999999932
