date,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2020.03.09,-217.0000000000005,-72.0000000000054,-289.99999999999204,-109.00000000000354,0.0,-77.00000000000485,-15.999999999993797,-384.00000000000034,-78.00000000000028,-30.999999999992145,-175.00000000001137,-414.9999999999876,-431.0000000000036,-274.9999999999915,-209.00000000001472,-352.9999999999811,-204.9999999999983,-272.99999999999613,-134.0000000000008,-373.00000000000114,,-4116.999999999979
2020.03.09,-297.0000000000139,-11.999999999989797,-912.9999999999967,-287.000000000015,94.00000000000519,63.99999999999739,-436.9999999999985,-385.9999999999957,0.0,-313.99999999999204,-967.000000000013,-568.9999999999973,-489.0000000000061,-558.9999999999975,-7.0000000000014495,-547.999999999993,-813.999999999993,-421.99999999999704,117.00000000000044,-224.000000000002,,-6969.999999999999
2020.03.09,-168.0000000000126,195.00000000001182,-719.9999999999989,-353.0000000000033,65.99999999999939,-15.00000000000945,-435.9999999999919,-296.0000000000065,239.99999999999577,-322.00000000000006,-794.9999999999875,-648.9999999999885,-466.9999999999952,-418.99999999999693,401.99999999999125,-723.9999999999914,-683.9999999999975,-399.0000000000009,83.9999999999952,-252.0000000000078,,-5711.999999999995
2020.03.09,-300.00000000001137,333.0000000000055,-679.000000000002,-394.00000000000546,85.99999999999719,5.999999999994898,-414.00000000000324,-97.99999999999898,358.9999999999982,-319.99999999999807,-644.0000000000055,-852.9999999999926,-171.99999999999437,-286.00000000000136,621.9999999999892,-734.9999999999968,-657.999999999987,-402.9999999999916,83.9999999999952,-201.00000000000674,,-4667.0000000000155
2020.03.09,-229.99999999999687,215.00000000000963,-494.99999999999034,-361.0000000000113,163.00000000000205,89.99999999999008,-394.00000000000546,-218.9999999999941,90.0000000000012,-334.9999999999964,-473.0000000000132,-795.9999999999967,-675.0000000000034,-155.9999999999917,341.99999999999784,-479.99999999999153,-546.999999999997,-225.9999999999991,258.0000000000027,-202.9999999999976,,-4431.999999999981
2020.03.09,-69.00000000000794,120.99999999999334,-356.9999999999993,-197.00000000000273,153.00000000000313,143.9999999999997,-251.00000000000122,-165.99999999999682,95.00000000000064,-279.99999999999136,-437.0000000000118,-251.00000000000122,-653.999999999999,-188.99999999999295,282.9999999999888,0.0,-314.9999999999977,-57.999999999992724,256.99999999999613,-110.00000000001009,,-2281.0000000000227
2020.03.09,-191.00000000000784,89.00000000000574,-596.0000000000036,-261.0000000000001,23.00000000000635,57.99999999999139,-167.00000000000603,-337.99999999999386,119.99999999999788,-290.00000000000136,-580.0000000000125,-571.9999999999948,-431.99999999998795,-280.00000000000114,304.9999999999997,-447.99999999998175,-555.9999999999974,-268.0000000000007,170.99999999999892,-109.00000000000354,,-4321.999999999993
2020.03.09,-487.99999999999955,283.000000000011,-2847.999999999999,-1714.0000000000155,-2837.999999999996,-3156.000000000003,-1651.0000000000025,-1959.0000000000032,197.99999999999818,-1000.9999999999964,-3717.999999999989,-2854.9999999999854,160.00000000000458,-2155.999999999992,644.9999999999844,-10300.999999999982,-3019.999999999996,-4870.999999999995,-3369.999999999995,-751.9999999999972,,-45411.99999999995
2020.03.09,-368.00000000001273,669.9999999999928,-2887.999999999991,-1143.0000000000052,-1430.9999999999934,-1121.0000000000052,-1255.9999999999905,-1759.0000000000005,858.0000000000032,-839.0000000000009,-3522.9999999999964,-1844.0000000000011,2129.000000000003,-2097.999999999999,1661.9999999999857,-4739.999999999989,-2751.9999999999955,-2853.9999999999923,-914.9999999999991,100.99999999999554,,-24110.999999999993
2020.03.09,-260.0000000000158,391.9999999999924,-2387.999999999991,-940.0000000000075,-919.9999999999986,-683.0000000000002,-971.9999999999951,-1924.9999999999973,361.0000000000002,-644.0000000000001,-2941.0000000000027,-1519.0000000000036,720.0000000000095,-1867.999999999995,1171.9999999999952,-3299.999999999992,-2247.0,-2114.999999999995,-436.00000000000307,-49.00000000001015,,-20562.00000000001
2020.03.09,-5.000000000010552,234.00000000000088,-2049.9999999999973,-802.9999999999982,-539.999999999996,-492.0000000000035,-548.9999999999995,-1888.0000000000052,326.9999999999995,-556.0000000000009,-2736.9999999999945,-1018.9999999999922,880.9999999999984,-1818.9999999999884,855.0000000000058,-2301.999999999982,-1949.9999999999886,-1825.9999999999934,-297.00000000000284,-66.99999999999484,,-16602.999999999945
2020.03.09,-117.00000000001154,262.00000000000665,-2174.9999999999973,-914.9999999999991,-973.999999999997,-745.0000000000068,-991.9999999999928,-1709.9999999999936,392.00000000000347,-657.9999999999919,-2866.0000000000136,-1134.999999999997,1296.9999999999925,-1872.0,900.9999999999962,-3239.9999999999986,-2037.9999999999968,-2075.9999999999936,-775.9999999999989,24.000000000001798,,-19412.99999999999
2020.03.09,-41.000000000002146,541.9999999999981,-2030.9999999999918,-612.9999999999969,-807.0000000000022,-722.0000000000005,-1004.0000000000049,-1388.0000000000052,665.0000000000044,-678.0000000000008,-2637.0000000000005,-814.0000000000036,1581.0000000000102,-1634.999999999991,1295.0000000000018,-3177.999999999992,-1760.9999999999957,-2026.9999999999939,-776.9999999999943,-58.000000000002494,,-16087.999999999962
2020.03.09,21.999999999988695,502.00000000000244,-1816.0000000000025,-661.0000000000005,-870.9999999999995,-694.0000000000057,-997.9999999999878,-1066.9999999999932,734.0000000000014,-628.9999999999907,-2415.999999999997,-812.999999999997,1705.000000000001,-1425.9999999999877,1302.0000000000032,-2952.9999999999836,-1673.9999999999923,-1826.9999999999982,-585.0000000000022,-63.99999999999739,,-14228.999999999938
2020.03.09,-21.00000000000435,530.9999999999926,-1906.9999999999964,-605.0000000000111,-649.999999999995,-589.0000000000061,-1116.9999999999902,-1075.9999999999934,663.999999999998,-751.9999999999972,-2510.9999999999955,-746.0000000000023,1012.9999999999973,-1388.999999999996,1255.0000000000061,-2757.9999999999936,-1731.9999999999993,-1766.999999999996,-488.999999999995,-68.00000000000139,,-14713.99999999998
2020.03.09,149.9999999999835,339.0000000000004,-1908.0000000000014,-626.9999999999998,-727.9999999999953,-623.0000000000069,-1085.0000000000027,-1346.999999999994,563.9999999999978,-745.9999999999911,-2677.9999999999973,-614.9999999999877,1411.9999999999911,-1744.9999999999905,1001.9999999999918,-2570.99999999999,-1705.9999999999889,-1856.9999999999993,-531.0000000000036,-21.00000000000435,,-15320.999999999989
2020.03.09,105.99999999998388,340.9999999999913,-1849.9999999999943,-531.0000000000148,-587.9999999999997,-544.0,-1018.9999999999922,-1328.9999999999936,534.0000000000011,-683.9999999999957,-2657.9999999999873,-358.9999999999982,1163.000000000003,-1715.999999999994,978.9999999999966,-2448.99999999999,-1653.9999999999964,-1737.9999999999995,-483.99999999999557,-85.00000000000173,,-14564.99999999998
2020.03.09,-225.00000000000853,469.0000000000083,-1869.9999999999905,-462.0000000000068,-622.0000000000003,-545.0000000000066,-1173.0000000000018,-1168.0000000000064,549.9999999999949,-768.9999999999975,-2641.999999999996,-903.9999999999937,1011.9999999999907,-1552.9999999999973,1009.9999999999998,-2516.9999999999914,-1617.999999999995,-1747.9999999999905,-485.99999999999756,-35.00000000000725,,-15295.999999999993
