date,USDJPY,USDCAD,NZDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURCAD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDNZD,empty,sum
2020.05.04,-27.000000000001023,-37.00000000002035,-68.99999999999685,-124.99999999999733,-80.99999999999774,-87.99999999999919,-87.99999999999919,-93.99999999999409,-66.99999999997885,-203.00000000001984,-80.00000000001339,-346.0000000000019,-45.000000000001705,-90.99999999999397,-109.99999999999943,-56.99999999999594,,-1608.000000000011
2020.05.04,-7.999999999995566,-58.000000000002494,-95.00000000000064,-44.99999999998394,-127.99999999999478,-120.99999999999334,-88.99999999999464,-83.9999999999952,-39.99999999999204,-289.0000000000059,-48.000000000003595,-356.00000000000074,-82.00000000000784,-100.99999999999909,-132.000000000005,-71.99999999998319,,-1747.9999999999582
2020.05.04,-0.999999999990564,-338.0000000000161,-153.99999999999858,6.000000000017103,-80.00000000000229,-153.99999999999858,-134.99999999999625,-119.99999999999788,8.000000000009777,-344.00000000001097,-236.00000000001398,-573.0000000000013,-118.00000000000921,-97.99999999999898,-149.0000000000009,-184.99999999999073,,-2670.9999999999995
2020.05.04,55.00000000000682,-442.00000000000904,-335.99999999999187,-74.99999999998064,-107.99999999999699,-232.99999999999432,-244.99999999999523,-170.00000000000347,-216.99999999998454,-665.0000000000044,-290.9999999999968,-937.9999999999944,-185.00000000000227,-283.00000000000125,-349.00000000000375,-170.99999999998784,,-4652.99999999994
2020.05.04,32.00000000001069,-451.0000000000014,-329.00000000000153,-154.99999999999403,-124.99999999999733,-222.99999999999542,-248.99999999999923,-234.00000000000088,-306.99999999998795,-515.000000000021,-341.99999999999784,-906.0000000000068,-204.00000000000773,-283.00000000000125,-355.000000000004,-194.99999999998963,,-4840.999999999995
2020.05.04,-66.99999999999307,-548.9999999999995,-402.9999999999978,-201.99999999999108,-175.99999999999838,-322.00000000000006,-349.99999999999477,-248.99999999999923,-436.9999999999834,-659.0000000000095,-446.9999999999974,-1201.999999999992,-322.00000000000273,-444.0000000000026,-495.00000000000455,-209.9999999999991,,-6533.999999999965
2020.05.04,-107.99999999998988,-633.0000000000168,-454.9999999999943,-193.99999999998306,-190.00000000000128,-288.9999999999948,-368.9999999999971,-239.99999999999577,-522.9999999999961,-672.0000000000059,-452.00000000000796,-1242.999999999994,-391.00000000000534,-462.0000000000033,-561.000000000007,-282.9999999999888,,-7064.999999999982
2020.05.04,-101.99999999998965,-700.0000000000117,-436.9999999999985,-150.99999999999002,-187.9999999999993,-268.99999999999704,-356.9999999999962,-215.99999999999397,-516.9999999999959,-592.0000000000148,-448.000000000004,-1198.9999999999945,-402.000000000001,-442.99999999999784,-539.0000000000015,-285.00000000000193,,-6844.999999999988
2020.05.04,-60.000000000002274,-684.000000000018,-407.99999999999727,-112.99999999998533,-185.99999999999727,-224.000000000002,-302.9999999999977,-180.99999999999784,-462.99999999999386,-501.0000000000181,-443.0000000000156,-1011.9999999999907,-395.00000000001023,-387.00000000000045,-493.9999999999998,-282.0000000000045,,-6136.000000000032
2020.05.04,-48.00000000000182,-508.00000000001955,-290.00000000000136,-59.99999999999339,-119.00000000000244,-182.99999999999983,-206.99999999999054,-141.99999999999767,-337.99999999999386,-365.99999999999966,-302.0000000000023,-757.999999999992,-297.00000000001125,-275.99999999999625,-371.0000000000093,-270.99999999999903,,-4536.000000000011
2020.05.04,-107.99999999998988,-456.00000000001194,-292.9999999999988,-49.99999999999449,-83.9999999999952,-110.99999999999443,-191.99999999999218,-141.99999999999767,-417.99999999997794,-270.00000000001467,-200.00000000000017,-652.9999999999925,-300.00000000001137,-283.9999999999918,-398.00000000001035,-252.99999999999213,,-4211.999999999965
2020.05.04,-111.99999999999477,-434.000000000001,-256.99999999999613,0.0,-56.99999999999594,-85.99999999999719,-159.9999999999935,-97.00000000000264,-393.0000000000007,-247.00000000001944,-147.00000000000824,-571.0000000000103,-294.00000000001114,-260.9999999999957,-362.99999999999955,-249.99999999999466,,-3729.0000000000205
2020.05.04,-96.9999999999942,-403.00000000002,-219.99999999999798,12.000000000012001,-31.000000000003247,-42.999999999993044,-115.99999999999389,-66.99999999999484,-337.99999999999386,-189.00000000001694,-78.00000000000028,-402.9999999999978,-269.00000000000546,-218.9999999999941,-325.00000000000284,-235.99999999999176,,-3021.9999999999877
2020.05.04,-66.0000000000025,-340.00000000000693,-225.99999999999287,-13.999999999980695,-9.00000000000345,-39.00000000000014,-113.99999999999189,-76.99999999999375,-367.999999999995,-83.00000000001084,14.000000000002899,-411.0000000000058,-213.00000000000807,-200.00000000000284,-301.00000000000193,-262.999999999991,,-2709.9999999999845
2020.05.04,-51.9999999999925,-385.00000000001313,-308.9999999999926,-80.99999999999774,-7.9999999999968985,-109.99999999999899,-187.9999999999993,-122.99999999999534,-445.99999999999795,-185.00000000001293,34.000000000000696,-587.0000000000042,-220.00000000001307,-275.99999999999625,-384.00000000000034,-272.99999999998994,,-3593.000000000001
2020.05.04,-72.00000000000273,-411.0000000000058,-334.00000000000097,-74.99999999998064,-7.9999999999968985,-119.99999999999788,-187.9999999999993,-124.00000000000189,-513.9999999999816,-218.00000000000708,29.999999999996696,-609.9999999999994,-249.00000000000944,-322.9999999999933,-419.00000000001114,-259.9999999999936,,-3894.9999999999854
2020.05.04,-60.000000000002274,-438.00000000000506,-307.99999999999716,-40.99999999997994,0.0,-78.99999999999574,-148.99999999999915,-112.99999999999643,-494.9999999999761,-161.00000000001114,-12.000000000012001,-520.9999999999936,-262.00000000000045,-287.9999999999967,-383.0000000000098,-254.999999999983,,-3564.9999999999586
2020.05.04,-48.00000000000182,-550.000000000006,-361.0000000000002,-78.99999999998464,-14.000000000002899,-124.99999999999733,-172.99999999998983,-126.99999999999933,-558.9999999999975,-223.00000000001762,-4.000000000004,-563.0000000000024,-290.00000000000625,-352.99999999999443,-423.0000000000018,-235.99999999999176,,-4127.999999999998
2020.05.04,-49.99999999999716,-575.0000000000144,-375.9999999999986,-191.99999999999218,-63.99999999999739,-148.99999999999915,-190.99999999999673,-182.99999999999983,-674.999999999983,-207.00000000000162,-63.99999999999739,-573.0000000000013,-328.00000000000296,-388.00000000000523,-453.00000000000296,-224.99999999998633,,-4692.999999999976
