date,USDCHF,EURUSD,USDCAD,NZDUSD,CHFJPY,AUDCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDJPY,NZDCAD,AUDNZD,empty,sum
2015.06.08,87.99999999999919,12.000000000012001,46.999999999997044,7.9999999999968985,36.000000000001364,131.00000000000333,82.99999999999974,-55.999999999983174,92.99999999998754,-38.99999999998904,-4.9999999999954525,-22.0000000000109,-2.999999999997449,6.000000000000227,-80.0000000000125,-1.999999999990898,-112.000000000001,,185.0000000000169
2015.06.08,34.99999999999615,-35.999999999991594,12.999999999996348,-46.00000000000159,12.000000000000455,85.00000000000173,3.0000000000085514,-98.99999999998954,112.000000000001,-4.999999999988347,-62.00000000001182,8.999999999992347,-87.99999999999919,-33.00000000000125,-66.0000000000025,-60.99999999999994,-63.99999999999739,,-290.9999999999866
2015.06.08,84.99999999999064,48.000000000003595,-59.99999999999339,-41.9999999999976,194.99999999999318,99.00000000000463,43.999999999999595,30.000000000001137,-114.0000000000141,79.00000000002905,115.0000000000091,142.99999999998204,62.000000000006494,2.0000000000095497,-7.000000000005002,-101.99999999999099,-58.000000000002494,,519.0000000000254
2015.06.08,64.99999999999284,56.99999999999594,-85.00000000000173,-34.99999999999615,209.00000000000318,79.00000000000685,28.000000000005798,87.00000000001751,-150.00000000000568,86.0000000000305,169.9999999999875,157.99999999999147,124.99999999999733,21.000000000000796,18.000000000000682,-119.99999999999788,-27.999999999983594,,685.0000000000452
2015.06.08,85.99999999999719,55.000000000005045,-133.00000000000534,-55.000000000005045,262.00000000000045,101.00000000000664,26.999999999999247,84.00000000000318,-223.00000000001762,87.00000000003705,156.0000000000059,153.00000000000313,80.00000000001339,-24.00000000000091,12.000000000000455,-175.99999999999838,-55.000000000005045,,437.0000000000393
2015.06.08,30.999999999992145,1.0000000000065512,-227.99999999998377,17.999999999995797,152.00000000001523,120.00000000000898,55.000000000005045,-37.00000000000614,-297.0000000000139,192.00000000001438,56.000000000011596,214.99999999998744,168.99999999999693,-121.99999999999989,-94.0000000000083,-153.99999999999858,-36.999999999998145,,40.00000000002533
2015.06.08,105.99999999999498,60.99999999999994,-163.00000000000205,-56.99999999999594,170.99999999999227,64.0000000000085,35.00000000000725,-39.99999999999204,-309.0000000000037,1.0000000000065512,44.999999999987494,63.99999999999739,87.99999999999919,-131.9999999999908,-3.0000000000001137,-201.99999999999108,26.999999999999247,,-243.99999999998283
2015.06.08,-98.0000000000092,-174.99999999999181,-313.99999999999204,24.000000000001798,-64.99999999999773,91.00000000000774,-24.000000000001798,-205.99999999998886,-313.00000000000773,239.00000000001143,-205.0000000000125,102.99999999998644,-68.00000000000139,-225.9999999999991,-204.00000000000773,-198.99999999999363,-107.99999999999699,,-1747.999999999993
2015.06.08,-10.000000000010001,-51.000000000001044,-214.00000000000307,-77.00000000000485,-62.99999999998818,13.00000000000745,-64.99999999999284,-171.99999999999704,-365.0000000000153,83.00000000001084,-177.99999999999727,-6.000000000017103,-112.000000000001,-229.99999999998977,-108.00000000000409,-262.999999999991,-63.99999999999739,,-1881.9999999999916
2015.06.08,-16.0000000000049,-45.99999999999049,-246.99999999999721,-63.99999999999739,-187.99999999998818,-26.999999999999247,-41.9999999999976,-402.9999999999916,-340.00000000000693,-119.99999999998678,-284.9999999999966,-90.00000000001229,-106.99999999999044,-344.99999999999886,-127.00000000000955,-241.99999999999778,7.0000000000014495,,-2681.9999999999645
2015.06.08,-46.00000000000159,-38.0000000000047,-238.99999999998923,-72.0000000000054,-218.9999999999941,15.00000000000945,-85.00000000000173,-353.00000000000864,-375.9999999999986,132.00000000002098,-264.00000000001,69.9999999999923,-90.99999999999665,-331.00000000000307,-219.99999999999886,-273.9999999999965,-102.00000000000209,,-2492.9999999999886
2015.06.08,-63.00000000000195,-15.999999999993797,-258.0000000000027,-97.9999999999981,-159.9999999999966,49.00000000001015,-120.99999999999334,-293.00000000000637,-351.99999999999676,207.00000000002382,-163.0000000000109,188.9999999999947,-113.99999999999189,-286.9999999999919,-227.00000000000387,-318.99999999999153,-208.99999999999253,,-2234.9999999999436
2015.06.08,-60.00000000000449,-17.000000000000348,-251.00000000000122,-9.999999999998899,-161.00000000000136,104.00000000000409,-29.999999999996696,-293.00000000000637,-346.0000000000019,358.00000000003604,-168.00000000000637,292.9999999999877,80.00000000001339,-286.9999999999919,-301.00000000000193,-195.9999999999962,-154.99999999999403,,-1439.9999999999602
2015.06.08,-23.00000000000635,19.999999999997797,-238.0000000000049,-43.00000000000415,-105.99999999999454,84.0000000000063,-41.000000000002146,-265.99999999999113,-355.0000000000164,251.00000000000122,-117.999999999995,246.99999999999721,60.99999999999994,-271.99999999999136,-234.99999999999943,-239.99999999999577,-129.99999999998568,,-1403.999999999984
2015.06.08,-69.00000000000794,-60.99999999999994,-271.99999999998334,0.0,-153.99999999999636,133.00000000000534,-32.999999999994145,-283.9999999999918,-364.00000000000875,442.00000000000904,-199.99999999998863,312.9999999999855,45.000000000006146,-287.9999999999967,-332.9999999999984,-204.99999999999963,-190.99999999998562,,-1520.9999999999452
