date,GBPUSD,USDCAD,AUDUSD,NZDUSD,CHFJPY,AUDCHF,GBPJPY,GBPAUD,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.02.22,-28.000000000005798,38.99999999998904,-33.000000000005244,-76.99999999999375,-155.9999999999917,-26.000000000003798,-179.00000000000205,-8.000000000008,82.00000000000429,-90.00000000000341,-114.99999999999488,-138.9999999999958,-34.000000000000696,-104.00000000000409,,-868.0000000000159
2021.02.22,-35.00000000000725,8.999999999992347,-7.9999999999968985,-71.99999999999429,-227.99999999999443,48.99999999999905,-218.9999999999941,110.99999999999443,154.0000000000097,-132.99999999999557,-109.99999999999943,-150.99999999999625,-21.999999999999797,-70.99999999999883,,-725.9999999999814
2021.02.22,-12.999999999996348,56.99999999999594,2.999999999997449,-107.99999999999699,-219.99999999999886,-105.99999999999498,-349.9999999999943,148.99999999999915,139.00000000000023,-226.99999999998965,-175.99999999998772,-269.999999999996,-50.0000000000056,-157.00000000000713,,-1328.999999999975
2021.02.22,-181.00000000000892,-100.0000000000112,-133.00000000000534,-209.9999999999991,-215.99999999999397,-190.00000000000128,-450.9999999999934,70.99999999999883,-18.0000000000069,-286.00000000000136,-274.9999999999915,-334.0000000000032,-92.99999999999864,-169.00000000000804,,-2585.000000000024
2021.02.22,-241.00000000000233,-109.00000000000354,-212.00000000000108,-244.99999999999523,-212.0000000000033,-238.0000000000049,-454.00000000000773,-38.0000000000047,-185.99999999999727,-259.00000000000034,-323.99999999999807,-340.0000000000034,-192.00000000000327,-208.00000000000819,,-3258.000000000033
2021.02.22,-229.99999999999687,-161.00000000001114,-163.99999999999747,-208.99999999999253,-134.00000000000034,-214.99999999999852,-389.00000000001,58.99999999998684,-97.9999999999981,-263.9999999999958,-243.99999999999977,-275.0000000000057,-89.00000000000574,-124.00000000000189,,-2537.000000000027
2021.02.22,-378.00000000001165,-279.00000000000705,-322.9999999999955,-476.9999999999941,-248.99999999999523,-309.0000000000037,-592.9999999999893,-117.00000000001154,-272.99999999998994,-367.999999999995,-437.9999999999882,-582.9999999999984,-197.00000000000273,-379.0000000000071,,-4962.999999999989
2021.02.22,-243.99999999999977,-192.00000000001438,-270.0000000000036,-419.00000000000273,-299.99999999999716,-300.0000000000003,-584.0000000000032,-164.00000000000858,-262.999999999991,-385.9999999999957,-456.99999999999363,-590.999999999994,-197.99999999999818,-367.0000000000062,,-4735.000000000008
2021.02.22,-87.99999999999919,-90.00000000001229,-146.00000000000168,-276.9999999999939,-277.9999999999916,-251.99999999999667,-532.0000000000107,-79.00000000000685,-109.00000000000354,-382.99999999999557,-387.999999999991,-496.9999999999999,-121.00000000000443,-256.0000000000007,,-3496.000000000008
2021.02.22,-90.00000000001229,-36.0000000000138,-105.99999999999498,-304.9999999999997,-231.99999999999932,-212.00000000000108,-463.99999999999864,11.00000000000545,-21.999999999988695,-307.9999999999927,-308.9999999999975,-495.00000000000455,-112.000000000001,-336.9999999999984,,-3016.9999999999973
2021.02.22,-104.00000000001519,-30.0000000000189,-75.9999999999983,-225.99999999999287,-216.99999999999875,-209.00000000000364,-512.0000000000005,97.9999999999981,9.000000000014552,-322.00000000000273,-294.9999999999875,-426.9999999999925,-80.00000000000229,-241.00000000000233,,-2632.0000000000027
2021.02.22,-90.00000000001229,-34.000000000000696,-87.00000000000374,-231.99999999999886,-236.99999999999477,-209.9999999999991,-504.99999999999545,55.000000000005045,9.000000000014552,-328.00000000000296,-308.9999999999975,-435.99999999999284,-90.99999999999665,-246.00000000000176,,-2740.9999999999773
2021.02.22,-158.0000000000137,-87.00000000001484,-78.99999999999574,-222.99999999999542,-228.9999999999992,-187.00000000000384,-533.0000000000155,154.99999999999403,66.00000000001049,-337.99999999999386,-278.99999999999636,-405.00000000000114,-41.000000000002146,-196.00000000000728,,-2534.0000000000346
2021.02.22,-124.00000000001299,-89.00000000000574,-73.99999999999629,-210.99999999999451,-253.0000000000001,-217.99999999999596,-598.0000000000132,130.0000000000079,48.000000000003595,-397.99999999999613,-326.9999999999982,-444.0000000000026,-31.000000000003247,-180.99999999999784,,-2770.0000000000055
2021.02.22,-131.00000000001444,-130.0000000000079,-165.00000000000404,-298.9999999999937,-209.99999999999375,-310.9999999999946,-576.9999999999982,-72.0000000000054,-114.99999999999844,-406.9999999999965,-409.9999999999966,-522.0000000000056,-119.99999999999788,-257.0000000000072,,-3726.000000000014
2021.02.22,-79.00000000000685,-90.00000000001229,-111.00000000000554,-253.0000000000032,-189.99999999999773,-266.999999999995,-509.9999999999909,-5.000000000010552,-22.999999999995246,-375.0,-342.9999999999893,-468.0000000000035,-73.99999999999629,-231.0000000000034,,-3019.00000000001
2021.02.22,-51.000000000001044,-67.00000000001705,-87.00000000000374,-247.99999999999267,-203.00000000000296,-231.99999999999886,-456.99999999999363,1.0000000000065512,45.000000000006146,-347.999999999999,-309.99999999998806,-450.9999999999934,-68.99999999999685,-240.00000000000688,,-2716.999999999982
2021.02.22,-43.00000000001525,-46.0000000000127,-90.99999999999665,-198.99999999999363,-189.99999999999773,-256.0000000000007,-484.00000000000887,-11.00000000000545,-1.999999999990898,-352.99999999999443,-330.99999999998886,-415.9999999999968,-85.00000000000173,-195.00000000000074,,-2702.0000000000045
2021.02.22,241.99999999998667,204.99999999998852,97.00000000000264,-27.999999999994696,-141.9999999999959,-168.99999999999693,-295.99999999999227,53.999999999998494,218.00000000000708,-248.99999999999523,-194.99999999999318,-295.99999999999227,-50.0000000000056,-169.00000000000804,,-777.9999999999907
2021.02.22,173.99999999998528,267.99999999997937,24.999999999997247,-53.999999999998494,-113.99999999999011,-300.99999999999574,-467.00000000001296,-28.000000000005798,96.00000000000719,-265.99999999999113,-328.9999999999935,-373.9999999999952,-187.9999999999993,-240.00000000000688,,-1798.00000000002
2021.02.22,133.00000000000534,364.9999999999931,66.99999999999484,29.999999999996696,149.0000000000009,-409.0000000000038,-493.9999999999998,124.99999999999733,75.00000000000284,-191.99999999999307,-273.9999999999867,-275.99999999999625,-207.00000000000162,-204.99999999999963,,-1112.9999999999898
2021.02.22,88.99999999998354,311.99999999997897,26.999999999999247,-61.999999999995396,138.9999999999958,-419.9999999999982,-492.999999999995,92.00000000000318,-19.999999999997797,-200.00000000000284,-286.9999999999919,-347.999999999999,-216.0000000000051,-280.9999999999979,,-1668.0000000000223
2021.02.22,-16.000000000016,317.9999999999961,31.999999999998696,-51.000000000001044,-48.99999999999238,-324.00000000000205,-658.9999999999918,228.99999999999034,86.0000000000083,-224.00000000000375,-313.99999999999295,-365.99999999999966,-216.0000000000051,-277.000000000005,,-1831.0000000000161
2021.02.22,-43.999999999999595,243.99999999999977,-48.99999999999905,-173.9999999999964,-21.99999999999136,-312.00000000000114,-462.99999999999386,79.99999999999119,-68.99999999998573,-149.0000000000009,-274.9999999999915,-379.99999999999545,-265.0000000000041,-375.0000000000031,,-2252.9999999999714
2021.02.22,-140.0000000000068,214.99999999998744,-75.00000000000284,-204.99999999999963,-4.9999999999954525,-326.9999999999995,-533.0000000000155,147.00000000000824,17.000000000000348,-147.99999999999613,-282.99999999998704,-396.0000000000008,-273.000000000001,-397.99999999999835,,-2404.000000000007
2021.02.22,-148.99999999999915,192.99999999999872,-72.0000000000054,-200.99999999999562,-69.00000000000261,-300.99999999999574,-578.000000000003,170.99999999998784,158.0000000000137,-183.9999999999975,-298.9999999999924,-411.00000000000136,-250.00000000000577,-375.9999999999986,,-2367.9999999999964
2021.02.22,-265.0000000000041,154.99999999999403,-156.99999999999602,-264.999999999993,-61.99999999999761,-321.0000000000046,-569.9999999999932,121.99999999999989,96.00000000000719,-134.9999999999909,-313.99999999999295,-409.9999999999966,-329.00000000000153,-430.00000000000813,,-2884.9999999999773
