date,GBPUSD,USDCAD,AUDUSD,NZDUSD,CHFJPY,AUDCHF,GBPJPY,GBPAUD,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.02.22,-106.00000000000608,-10.000000000021103,-34.99999999999615,-90.0000000000012,-197.9999999999933,-53.999999999998494,-213.99999999999864,-43.999999999999595,-26.999999999999247,-131.00000000000023,-117.999999999995,-161.99999999999193,-80.99999999999774,-130.0000000000079,,-1400.0000000000066
2021.02.22,-36.999999999998145,1.999999999990898,-51.000000000001044,-85.99999999999719,-240.99999999999966,-44.99999999999504,-233.0000000000041,-29.00000000001235,41.000000000002146,-140.00000000000057,-126.99999999999534,-152.00000000000102,-101.00000000000664,-121.99999999999989,,-1321.0000000000177
2021.02.22,-120.00000000000898,-71.00000000002105,-90.99999999999665,-197.00000000000273,-283.9999999999918,-126.0000000000039,-391.9999999999959,52.000000000007596,49.99999999999449,-259.00000000000034,-218.9999999999941,-308.9999999999975,-114.00000000000298,-178.00000000000037,,-2258.000000000014
2021.02.22,-219.99999999999798,-134.00000000001188,-227.99999999999488,-300.0000000000003,-259.9999999999909,-253.0000000000032,-467.00000000001296,-124.00000000001299,-174.99999999999181,-301.00000000000193,-347.999999999999,-402.9999999999916,-194.0000000000053,-260.00000000000466,,-3667.000000000019
2021.02.22,-246.00000000001288,-120.00000000000898,-219.99999999999798,-253.0000000000032,-228.9999999999992,-251.00000000000122,-462.99999999999386,-52.000000000007596,-200.00000000000017,-295.99999999999227,-332.9999999999984,-346.00000000000364,-202.9999999999976,-208.00000000000819,,-3420.000000000025
2021.02.22,-341.99999999999784,-161.00000000001114,-295.99999999999625,-298.9999999999937,-236.99999999999477,-292.9999999999988,-509.9999999999909,-187.00000000000384,-300.99999999999574,-268.99999999999125,-387.00000000000045,-376.99999999999534,-258.0000000000027,-253.0000000000032,,-4169.999999999976
2021.02.22,-426.9999999999996,-309.0000000000037,-392.00000000000347,-519.9999999999983,-272.99999999999613,-366.9999999999951,-662.0000000000061,-218.00000000000708,-390.0000000000015,-396.0000000000008,-518.0000000000007,-629.9999999999955,-263.99999999999756,-407.0000000000018,,-5773.000000000007
2021.02.22,-374.0000000000077,-277.00000000001614,-319.99999999999807,-478.9999999999961,-319.0000000000026,-309.99999999999915,-634.0000000000146,-168.99999999999693,-283.99999999999534,-403.99999999999636,-480.99999999999454,-611.9999999999948,-212.00000000000108,-385.000000000002,,-5260.000000000015
2021.02.22,-253.00000000001432,-205.00000000001074,-282.99999999999994,-419.9999999999982,-349.00000000000375,-321.0000000000046,-679.000000000002,-195.9999999999962,-262.999999999991,-479.99999999998977,-493.9999999999998,-591.9999999999987,-209.9999999999991,-373.00000000000114,,-5118.00000000001
2021.02.22,-107.99999999999699,-98.0000000000203,-148.0000000000037,-317.0000000000006,-283.9999999999918,-265.99999999999955,-534.9999999999966,-78.00000000000028,-127.99999999999478,-384.00000000000034,-387.999999999991,-518.0000000000007,-148.0000000000037,-365.99999999999966,,-3765.9999999999995
2021.02.22,-133.00000000000534,-76.0000000000094,-116.00000000000499,-307.99999999999716,-231.99999999999932,-219.99999999999798,-515.9999999999911,-7.0000000000014495,-38.0000000000047,-325.00000000000284,-311.9999999999976,-495.9999999999951,-119.00000000000244,-341.99999999999784,,-3240.000000000007
2021.02.22,-109.00000000000354,-44.0000000000218,-95.00000000000064,-248.99999999999923,-242.999999999995,-221.99999999999997,-513.0000000000052,43.999999999999595,-11.00000000000545,-331.99999999999363,-313.99999999999295,-450.9999999999934,-100.00000000000009,-265.0000000000041,,-2904.000000000016
2021.02.22,-158.0000000000137,-89.00000000000574,-109.00000000000354,-246.99999999999721,-277.000000000001,-219.00000000000253,-562.9999999999882,39.999999999995595,-2.999999999997449,-361.99999999999477,-325.9999999999934,-444.0000000000026,-114.99999999999844,-262.00000000000665,,-3134.00000000001
