date,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2016.01.18,78.00000000000028,-7.0000000000014495,-90.99999999999397,111.99999999998988,-62.000000000006494,203.00000000000296,75.9999999999983,-2.000000000002,-273.99999999997425,9.000000000000341,191.00000000000784,-289.0000000000059,-207.00000000000784,-346.00000000000364,-100.00000000000009,-207.99999999999707,,-916.9999999999931
2016.01.18,100.0000000000112,-104.99999999999955,-250.0,171.99999999999437,62.000000000006494,279.0000000000106,224.9999999999974,61.999999999995396,-355.99999999997857,94.99999999999886,543.999999999989,-495.000000000001,-417.0000000000016,-516.9999999999959,-65.00000000000395,-206.99999999999054,,-872.9999999999678
2016.01.18,160.00000000000458,-8.999999999992347,-290.9999999999968,200.99999999999562,69.9999999999923,374.00000000000944,131.99999999999878,17.000000000000348,-371.99999999999454,237.99999999999955,214.00000000000307,-429.99999999999704,-359.00000000000887,-581.0000000000031,-221.99999999999997,-385.99999999999744,,-1243.9999999999866
2016.01.18,246.99999999999721,-24.000000000001798,-348.99999999998954,210.99999999999451,234.00000000000088,371.0000000000093,175.99999999999838,70.0000000000034,-261.9999999999845,283.9999999999918,253.99999999999866,-461.0000000000003,-409.000000000006,-629.0000000000049,-221.99999999999997,-379.9999999999915,,-888.9999999999842
2016.01.18,167.9999999999904,12.999999999996348,-350.9999999999991,208.99999999999253,89.00000000000574,433.00000000000693,168.99999999999693,0.0,-357.99999999999164,334.99999999999375,245.99999999999068,-394.00000000000546,-430.9999999999974,-579.9999999999983,-190.00000000000128,-292.9999999999988,,-935.0000000000186
2016.01.18,139.00000000000023,-86.0000000000083,-440.9999999999883,312.9999999999966,167.00000000000603,435.0000000000023,245.0000000000063,56.99999999999594,-716.9999999999899,316.0000000000025,441.99999999998687,-781.0000000000094,-525.0000000000057,-686.000000000007,-305.0000000000108,-317.0000000000006,,-1744.0000000000234
2016.01.18,204.00000000000418,-150.00000000000568,-533.0000000000013,455.99999999998977,459.99999999999375,353.9999999999992,487.0000000000041,137.9999999999937,-1051.0000000000018,340.0000000000034,846.9999999999977,-1205.0000000000116,-740.9999999999997,-894.0000000000055,-321.0000000000046,-328.9999999999904,,-1938.0000000000346
2016.01.18,224.000000000002,-224.000000000002,-610.99999999999,592.9999999999991,500.9999999999959,407.0000000000107,558.000000000003,198.99999999999363,-1435.9999999999927,340.0000000000034,1099.0000000000055,-1629.0000000000139,-865.9999999999997,-1061.000000000007,-430.00000000000813,-387.99999999999943,,-2724.0
2016.01.18,188.9999999999947,-165.9999999999995,-536.9999999999919,555.9999999999899,426.9999999999996,365.0000000000091,499.000000000005,137.9999999999937,-1363.0000000000032,325.00000000000284,926.0000000000045,-1452.0000000000089,-772.9999999999961,-906.0000000000059,-431.99999999999903,-301.9999999999912,,-2505.999999999997
2016.01.18,265.0000000000041,-259.9999999999936,-600.9999999999991,686.9999999999932,592.9999999999991,353.00000000000864,645.0000000000067,246.99999999999721,-1654.0,281.9999999999965,1290.9999999999977,-1885.0000000000034,-933.0000000000069,-1061.9999999999977,-474.9999999999921,-310.9999999999946,,-2817.9999999999845
