date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,EURGBP,GBPJPY,empty,sum
2015.05.11,-2.999999999997449,-17.000000000000348,-6.000000000017103,-82.99999999999841,-21.00000000000435,-17.000000000000348,-273.9999999999965,-36.999999999998145,-18.999999999991246,-17.999999999995797,-157.99999999998704,,-652.9999999999866
2015.05.11,9.00000000000345,8.000000000008,-9.000000000014552,-90.99999999999397,-21.00000000000435,-19.999999999997797,-297.9999999999983,-32.999999999994145,19.999999999997797,-31.999999999998696,-189.99999999999773,,-656.9999999999902
2015.05.11,-31.000000000003247,-86.0000000000083,-27.00000000002145,-123.99999999999523,-38.0000000000047,29.000000000001247,-218.99999999999142,-29.999999999996696,-5.999999999994898,-22.999999999995246,-223.0000000000132,,-778.0000000000231
2015.05.11,-21.999999999999797,-106.00000000000608,-74.0000000000185,-141.9999999999959,-92.99999999998754,-24.000000000001798,-391.9999999999924,21.999999999988695,-7.0000000000014495,2.000000000002,-161.00000000000136,,-997.0000000000141
2015.05.11,-38.0000000000047,-167.9999999999904,-86.0000000000083,-174.99999999999716,-102.00000000000209,-34.000000000000696,-394.9999999999898,31.000000000003247,-5.999999999994898,3.0000000000085514,-143.00000000000068,,-1112.9999999999768
2015.05.11,-40.00000000000669,-192.99999999999872,-86.0000000000083,-161.99999999999193,-95.999999999985,-4.999999999999449,-378.999999999996,41.99999999998649,11.00000000000545,9.999999999998899,-76.99999999999818,,-974.9999999999935
2015.05.11,-14.999999999998348,-120.99999999999334,-63.000000000013046,-116.99999999999022,-62.99999999999084,36.999999999998145,-370.9999999999991,5.999999999994898,-82.00000000000429,-10.999999999994348,-98.00000000001319,,-898.0000000000038
2015.05.11,-112.000000000001,-276.9999999999939,-352.000000000019,-91.99999999999875,-165.9999999999995,-83.9999999999952,-512.9999999999968,41.000000000002146,-170.00000000000347,-100.00000000000009,-43.00000000000637,,-1868.0000000000118
2015.05.11,-243.99999999999977,-353.0000000000033,-484.00000000001774,-163.99999999998727,-219.99999999999798,-156.00000000000057,-512.9999999999968,-174.00000000000747,-182.99999999999983,-165.9999999999995,48.00000000000182,,-2609.0000000000086
2015.05.11,-262.00000000000665,-287.9999999999994,-484.00000000001774,-177.99999999999727,-190.99999999998562,-246.99999999999721,-524.9999999999977,-198.00000000000927,-156.00000000000057,-183.99999999999528,7.000000000005002,,-2706.000000000002
2015.05.11,-182.99999999999983,-306.9999999999906,-445.0000000000065,-184.99999999998806,-295.99999999998516,-276.9999999999939,-568.9999999999973,-85.00000000000173,-180.99999999998673,-171.99999999999437,-39.99999999999204,,-2739.9999999999363
2015.05.11,-209.00000000000364,-310.9999999999946,-487.0000000000152,-206.99999999999363,-334.9999999999964,-268.0000000000016,-690.9999999999972,-97.9999999999981,-178.99999999999582,-181.9999999999933,-50.00000000001137,,-3017.000000000001
