date,GBPUSD,NZDUSD,NZDCHF,EURGBP,empty,sum
2016.09.19,-76.99999999999375,-41.9999999999976,-76.99999999999375,-71.00000000000995,,-266.99999999999505
2016.09.19,-61.99999999998429,-73.99999999999629,-71.99999999999429,-79.00000000000685,,-286.9999999999817
2016.09.19,6.000000000017103,-112.99999999999643,-131.99999999999878,-58.000000000002494,,-296.9999999999806
2016.09.19,80.99999999999774,-166.99999999999494,-149.99999999999457,-35.00000000000725,,-270.999999999999
2016.09.19,73.00000000001194,-219.00000000000253,-200.00000000000017,-60.00000000000449,,-405.9999999999953
2016.09.19,74.0000000000185,-224.9999999999974,-212.00000000000108,-73.00000000000084,,-435.99999999998084
2016.09.19,117.00000000001154,-231.0000000000034,-236.00000000000287,-33.000000000005244,,-383.0
2016.09.19,162.00000000001768,-259.9999999999936,-263.0000000000021,18.999999999991246,,-341.99999999998676
2016.09.19,229.00000000001253,-331.0000000000035,-292.9999999999988,28.999999999990145,,-365.9999999999996
2016.09.19,287.9999999999994,-404.99999999999983,-353.0000000000033,56.99999999999594,,-413.0000000000078
2016.09.19,318.00000000001825,-436.9999999999985,-383.99999999999545,44.99999999999504,,-457.9999999999807
2016.09.19,348.00000000001495,-532.9999999999945,-431.99999999999903,57.99999999999139,,-558.9999999999873
2016.09.19,373.00000000000114,-573.0000000000013,-464.9999999999932,44.99999999999504,,-619.9999999999983
2016.09.19,384.00000000000654,-517.9999999999962,-431.0000000000036,57.99999999999139,,-507.00000000000193
2016.09.19,311.0000000000168,-514.9999999999987,-436.00000000000307,31.999999999998696,,-607.9999999999862
2016.09.19,331.999999999999,-456.00000000000085,-392.9999999999989,46.999999999997044,,-470.00000000000375
2016.09.19,360.0000000000048,-473.99999999999665,-400.9999999999958,48.99999999999905,,-465.9999999999887
2016.09.19,421.0000000000047,-617.0000000000009,-515.9999999999942,76.99999999999375,,-634.9999999999967
2016.09.19,331.0000000000146,-605.0,-519.0000000000028,52.99999999999194,,-739.9999999999962
2016.09.19,290.00000000001245,-539.0000000000006,-517.0000000000008,53.999999999998494,,-711.9999999999903
2016.09.19,456.00000000001194,-573.9999999999967,-600.0000000000006,169.99999999999238,,-547.999999999993
2016.09.19,565.0000000000155,-565.0000000000044,-605.9999999999955,238.99999999998923,,-366.9999999999952
2016.09.19,563.0000000000024,-629.0000000000018,-661.0000000000005,247.99999999999267,,-479.0000000000072
2016.09.19,458.00000000000284,-653.999999999999,-688.9999999999952,139.99999999999568,,-744.9999999999957
2016.09.19,473.0000000000123,-553.0000000000035,-597.0000000000031,117.99999999999588,,-558.9999999999984
2016.09.19,384.00000000000654,-566.9999999999953,-617.0000000000009,71.99999999999429,,-727.9999999999955
2016.09.19,510.00000000001046,-583.9999999999957,-622.9999999999958,123.99999999999079,,-572.9999999999902
2016.09.19,463.0000000000134,-595.9999999999966,-653.0000000000035,157.99999999999147,,-627.9999999999952
2016.09.19,438.00000000000506,-585.9999999999976,-659.999999999994,135.99999999999167,,-671.9999999999949
2016.09.19,442.00000000000904,-583.0000000000002,-673.9999999999968,140.99999999999113,,-673.9999999999968
2016.09.19,486.00000000000864,-648.0000000000041,-729.9999999999973,149.99999999999457,,-741.9999999999982
2016.09.19,558.9999999999984,-653.0000000000035,-742.9999999999936,208.99999999999253,,-628.0000000000063
2016.09.19,714.999999999999,-619.9999999999983,-671.9999999999948,242.99999999999324,,-334.00000000000085
2016.09.19,751.0000000000127,-702.0000000000026,-700.999999999996,212.99999999999653,,-438.99999999998937
2016.09.19,679.0000000000074,-712.0000000000015,-719.000000000003,151.9999999999966,,-600.0000000000005
2016.09.19,607.0000000000019,-714.0000000000035,-675.9999999999989,25.999999999992696,,-757.0000000000077
2016.09.19,570.0000000000039,-661.0000000000005,-627.9999999999952,51.99999999999649,,-666.9999999999953
2016.09.19,450.00000000001705,-644.9999999999956,-639.0000000000007,41.9999999999976,,-791.9999999999816
2016.09.19,368.9999999999971,-644.0000000000001,-629.9999999999973,16.999999999989246,,-888.000000000011
2016.09.19,379.0000000000182,-583.0000000000002,-598.999999999994,0.0,,-802.999999999976
2016.09.19,361.0000000000113,-566.9999999999953,-558.000000000003,-25.00000000000835,,-788.9999999999953
2016.09.19,240.00000000001796,-514.9999999999987,-512.9999999999968,-75.00000000000284,,-862.9999999999804
2016.09.19,209.00000000001472,-512.9999999999968,-522.9999999999957,-89.00000000000574,,-915.9999999999834
