date,GBPUSD,NZDUSD,NZDCHF,EURGBP,empty,sum
2016.09.19,-29.999999999996696,-39.00000000000014,-12.000000000000899,-67.00000000000594,,-148.0000000000037
2016.09.19,35.00000000000725,-27.999999999994696,-60.99999999999994,-35.00000000000725,,-88.99999999999464
2016.09.19,80.00000000001339,-78.00000000000028,-71.99999999999429,-38.0000000000047,,-107.99999999998587
2016.09.19,189.00000000001694,-165.00000000000404,-149.99999999999457,11.999999999989797,,-113.99999999999187
2016.09.19,73.00000000001194,-165.9999999999995,-163.99999999999747,-50.0000000000056,,-306.99999999999056
2016.09.19,134.00000000001188,-185.00000000000182,-180.0000000000024,-28.000000000005798,,-258.9999999999981
2016.09.19,178.00000000001148,-207.00000000000162,-229.00000000000142,28.999999999990145,,-229.00000000000145
2016.09.19,257.0000000000183,-224.000000000002,-221.99999999999997,64.99999999999284,,-123.99999999999082
2016.09.19,345.0000000000175,-285.9999999999974,-253.99999999999866,76.99999999999375,,-117.9999999999848
2016.09.19,351.99999999999676,-376.99999999999403,-334.9999999999964,72.99999999998974,,-287.000000000004
2016.09.19,351.0000000000124,-417.0000000000007,-353.99999999999875,59.99999999999339,,-359.99999999999363
2016.09.19,441.0000000000025,-522.0000000000002,-419.9999999999982,83.9999999999952,,-417.0000000000007
2016.09.19,390.0000000000015,-504.00000000000443,-414.00000000000324,60.99999999999994,,-467.0000000000062
2016.09.19,396.00000000001853,-487.0000000000041,-412.00000000000125,76.99999999999375,,-425.99999999999307
2016.09.19,330.0000000000081,-453.0000000000034,-390.99999999999693,46.999999999997044,,-466.9999999999952
2016.09.19,385.00000000001313,-434.9999999999965,-361.9999999999957,64.99999999999284,,-346.9999999999862
2016.09.19,433.0000000000167,-463.9999999999977,-390.99999999999693,93.99999999999409,,-327.99999999998386
2016.09.19,486.00000000000864,-587.0000000000042,-495.9999999999964,105.99999999999498,,-490.99999999999704
2016.09.19,336.00000000000296,-539.0000000000006,-503.99999999999335,53.999999999998494,,-652.9999999999924
2016.09.19,527.0000000000108,-441.0000000000025,-441.99999999999795,209.9999999999991,,-145.99999999999056
2016.09.19,575.9999999999987,-532.9999999999945,-580.9999999999982,242.99999999999324,,-295.00000000000074
2016.09.19,591.0000000000082,-512.9999999999968,-549.9999999999949,262.999999999991,,-208.9999999999925
2016.09.19,709.0000000000041,-622.9999999999958,-641.0000000000027,354.9999999999942,,-200.00000000000023
2016.09.19,483.0000000000112,-539.999999999996,-571.9999999999948,153.99999999999858,,-474.99999999998096
2016.09.19,495.000000000001,-520.9999999999936,-551.9999999999969,130.99999999999224,,-446.99999999999727
2016.09.19,513.0000000000078,-554.9999999999944,-592.0000000000036,127.99999999999478,,-505.99999999999545
2016.09.19,572.0000000000169,-553.0000000000035,-595.9999999999966,211.99999999998997,,-364.9999999999932
2016.09.19,507.9999999999973,-541.0000000000026,-619.9999999999983,195.9999999999962,,-457.00000000000745
2016.09.19,451.0000000000014,-578.9999999999961,-658.0000000000031,145.9999999999906,,-640.0000000000072
2016.09.19,496.00000000000756,-541.0000000000026,-636.9999999999986,176.99999999999383,,-504.9999999999998
2016.09.19,597.0000000000031,-612.9999999999969,-712.0000000000015,222.99999999999542,,-504.9999999999999
2016.09.19,751.0000000000127,-598.999999999994,-658.9999999999985,281.99999999999335,,-224.99999999998641
2016.09.19,781.0000000000094,-615.9999999999943,-607.0000000000019,252.99999999999213,,-188.99999999999469
2016.09.19,914.9999999999991,-697.0000000000032,-700.999999999996,342.9999999999933,,-140.00000000000682
2016.09.19,723.0000000000069,-653.999999999999,-639.9999999999961,157.99999999999147,,-412.9999999999967
2016.09.19,624.0000000000023,-624.0000000000023,-600.999999999996,101.99999999999099,,-499.000000000005
2016.09.19,585.9999999999976,-590.0000000000016,-585.9999999999976,105.99999999999498,,-484.0000000000066
2016.09.19,506.0000000000064,-619.9999999999983,-612.0000000000015,59.99999999999339,,-666.0
2016.09.19,439.0000000000116,-548.0000000000041,-576.9999999999942,61.999999999995396,,-623.9999999999914
2016.09.19,486.00000000000864,-542.9999999999935,-541.9999999999981,60.99999999999994,,-537.999999999983
2016.09.19,394.00000000000546,-512.0000000000014,-492.999999999999,-8.000000000008,,-619.0000000000028
2016.09.19,246.99999999999721,-493.99999999999443,-505.99999999999534,-71.00000000000995,,-824.0000000000025
2016.09.19,280.9999999999979,-490.999999999997,-502.9999999999979,-53.00000000000304,,-766.0000000000001
2016.09.19,333.0000000000055,-502.9999999999979,-483.0000000000001,-47.00000000000814,,-700.0000000000007
2016.09.19,373.00000000000114,-456.00000000000085,-453.0000000000034,-29.000000000001247,,-565.0000000000044
2016.09.19,346.0000000000019,-414.00000000000324,-414.9999999999987,-39.00000000000014,,-522.0000000000002
2016.09.19,299.00000000000483,-402.00000000000233,-409.0000000000038,-63.00000000000195,,-575.0000000000033
2016.09.19,285.00000000000193,-378.00000000000057,-365.99999999999966,-29.000000000001247,,-487.99999999999955
2016.09.20,310.0000000000103,-405.9999999999952,-419.9999999999982,-50.0000000000056,,-565.9999999999887
2016.09.20,327.00000000001063,-473.0000000000012,-478.0000000000006,-9.00000000000345,,-632.9999999999945
2016.09.20,398.00000000000944,-473.0000000000012,-473.0000000000012,17.999999999995797,,-529.9999999999972
2016.09.20,373.00000000000114,-446.00000000000193,-456.00000000000085,-21.00000000000435,,-550.0000000000059
2016.09.20,419.0000000000138,-483.0000000000001,-487.99999999999955,13.999999999991797,,-537.9999999999941
2016.09.20,402.9999999999978,-490.00000000000153,-509.00000000000387,6.999999999990347,,-589.0000000000173
