date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.11.11,-21.00000000000435,-190.00000000000128,-36.999999999998145,0.0,0.0,-27.999999999994696,0.0,-225.00000000000853,-63.99999999999295,-65.00000000000395,0.0,0.0,-175.00000000001137,-187.99999999998818,0.0,0.0,0.0,-24.999999999991473,0.0,-68.00000000000139,0.0,0.0,,-1085.9999999999964
2019.11.11,-17.000000000000348,-178.99999999999582,-25.00000000000835,4.0000000000048885,12.000000000012001,-43.999999999999595,100.00000000000009,-226.00000000001506,-69.99999999999318,-72.0000000000054,34.000000000000696,70.0000000000034,-164.0000000000157,-188.9999999999947,283.99999999999534,0.999999999990564,11.999999999989797,-36.99999999999193,35.99999999998715,-80.00000000000229,23.999999999990695,1.0000000000065512,,-525.0000000000412
2019.11.11,-48.99999999999905,-201.99999999999108,-35.999999999991594,-15.000000000000568,-38.99999999998904,-63.00000000000195,100.99999999999554,-279.00000000000705,-25.000000000005684,-14.000000000002899,29.000000000001247,69.00000000000794,-212.99999999999386,-272.99999999998994,312.9999999999855,-34.000000000006025,-63.000000000013046,-25.99999999999625,47.99999999998761,-23.00000000000635,45.99999999999049,-45.99999999999049,,-794.0000000000166
2019.11.11,-19.999999999997797,-221.99999999998886,-42.999999999993044,-21.99999999999136,-29.999999999996696,-63.99999999999739,134.99999999999625,-273.9999999999965,13.00000000000523,2.999999999997449,80.00000000000229,77.00000000000485,-241.99999999999022,-290.9999999999968,329.00000000000153,-45.000000000001705,-68.00000000000139,-30.000000000001137,71.99999999998852,21.999999999999797,115.99999999999389,-42.999999999993044,,-546.9999999999562
2019.11.11,-41.9999999999976,-245.99999999999068,-52.000000000007596,2.0000000000095497,-28.999999999990145,-54.999999999993946,140.99999999999113,-313.00000000000773,-21.000000000000796,11.999999999989797,84.0000000000063,74.00000000000739,-211.00000000001273,-300.99999999999574,367.99999999999056,-11.00000000000989,-63.000000000013046,-9.999999999990905,61.99999999999761,9.999999999998899,119.99999999999788,19.999999999997797,,-461.0000000000241
2019.11.11,-60.99999999999994,-242.00000000000887,-34.000000000000696,-13.999999999995794,-51.99999999998539,-36.999999999998145,158.99999999999804,-327.99999999999494,-120.00000000000455,18.999999999991246,120.00000000000898,80.99999999999774,-223.0000000000132,-336.9999999999873,421.99999999998903,-27.000000000001023,-59.000000000009045,-21.99999999999136,81.99999999999363,-31.999999999998696,143.9999999999997,39.00000000001125,,-521.9999999999993
2019.11.11,-48.000000000003595,-241.00000000000233,-28.999999999990145,97.00000000000841,-70.99999999999883,-25.999999999992696,200.00000000000017,-324.9999999999975,-140.00000000000057,1.999999999990898,162.0000000000066,89.00000000000574,-104.00000000001342,-340.00000000000693,424.99999999998647,103.9999999999992,-69.00000000000794,73.0000000000075,61.99999999999761,-21.999999999999797,222.99999999999542,158.0000000000137,,179.99999999999807
2019.11.11,-22.999999999995246,-229.99999999999687,-25.999999999992696,81.00000000000307,-66.99999999999484,-24.999999999997247,226.99999999999943,-280.9999999999979,-106.99999999999932,-33.000000000005244,160.00000000000458,89.00000000000574,-109.00000000000887,-350.00000000000585,453.99999999999886,88.99999999999864,-87.00000000001484,64.00000000000716,104.99999999998977,-20.0000000000089,256.99999999999613,197.00000000000273,,364.9999999999883
2019.11.11,-31.999999999998696,-195.9999999999962,-12.999999999996348,84.00000000000318,-81.9999999999821,21.999999999999797,206.99999999999054,-243.00000000001543,-123.00000000000466,-27.00000000001035,157.00000000000713,46.00000000000159,-74.00000000001228,-319.0000000000026,480.99999999999807,117.999999999995,-72.0000000000054,73.99999999999807,62.99999999998818,-73.00000000000084,237.99999999999378,243.00000000001543,,478.9999999999659
2019.11.11,-12.999999999996348,-222.99999999999542,-48.000000000003595,131.00000000000023,-65.99999999998829,19.999999999997797,233.99999999998977,-195.00000000001182,-120.99999999999511,-49.00000000001015,161.00000000000003,48.99999999999905,38.000000000010914,-340.9999999999913,485.99999999998647,152.00000000000102,-118.00000000001809,112.99999999999955,70.99999999999795,-62.000000000006494,267.99999999999045,290.00000000001245,,776.9999999999691
