date,GBPUSD,USDJPY,AUDUSD,GBPAUD,EURAUD,EURNZD,NZDJPY,AUDCAD,empty,sum
2017.01.09,-18.999999999991246,-6.999999999990791,-41.9999999999976,-81.9999999999821,-81.9999999999821,-63.99999999999739,-40.99999999999682,-4.999999999999449,,-341.9999999999375
2017.01.09,8.000000000008,79.9999999999983,-73.00000000000084,-47.99999999998139,-54.99999999998284,42.0000000000087,-76.99999999999818,-15.00000000000945,,-137.9999999999577
2017.01.09,33.00000000001635,106.99999999999932,-135.99999999999167,-110.99999999999443,-192.99999999999872,25.00000000000835,-156.99999999999648,34.99999999999615,,-396.9999999999612
2017.01.09,40.0000000000178,97.99999999999898,-207.99999999999707,-316.99999999998954,-317.9999999999961,-14.000000000002899,-161.00000000000136,146.99999999999713,,-732.999999999973
2017.01.09,34.000000000000696,115.0000000000091,-274.9999999999919,-456.9999999999963,-451.99999999998573,-11.00000000000545,-198.0000000000075,176.99999999999383,,-1066.9999999999832
2017.01.09,43.999999999999595,157.0000000000107,-273.9999999999965,-433.99999999997885,-468.9999999999861,1.0000000000065512,-230.99999999999454,189.99999999999017,,-1015.9999999999488
2017.01.09,104.00000000001519,147.00000000000557,-308.9999999999926,-402.9999999999978,-370.00000000000364,18.0000000000069,-257.99999999999557,213.99999999999199,,-856.9999999999698
2017.01.09,121.99999999999989,187.00000000001182,-328.9999999999904,-419.9999999999982,-373.00000000000114,70.99999999999883,-245.00000000000455,244.99999999999523,,-741.9999999999884
2017.01.09,126.0000000000039,189.00000000000716,-367.99999999999056,-554.9999999999944,-495.99999999998533,-9.999999999998899,-281.9999999999965,281.99999999999335,,-1113.9999999999611
2017.01.09,33.00000000001635,234.99999999999943,-337.99999999999386,-606.9999999999798,-485.0000000000021,-31.999999999987594,-289.0000000000015,326.9999999999995,,-1155.9999999999495
2017.01.09,-26.999999999999247,280.00000000000114,-328.9999999999904,-676.9999999999943,-493.99999999999443,-56.99999999999594,-310.0000000000023,358.9999999999982,,-1254.9999999999773
2017.01.09,-65.99999999998829,314.00000000000716,-284.9999999999908,-631.9999999999882,-446.9999999999974,41.000000000002146,-260.0000000000051,292.9999999999988,,-1041.9999999999616
2017.01.09,-114.99999999999844,364.0000000000043,-239.0000000000003,-580.999999999987,-407.0000000000018,117.99999999999588,-239.99999999999488,295.0000000000008,,-804.9999999999815
2017.01.09,-187.00000000000384,435.0000000000023,-217.0000000000005,-666.9999999999953,-353.0000000000033,164.00000000000858,-250.0,281.99999999999335,,-792.9999999999986
2017.01.09,-380.9999999999869,408.00000000000125,-196.99999999999162,-887.9999999999999,-303.9999999999932,167.00000000000603,-263.00000000000523,280.9999999999979,,-1176.9999999999718
2017.01.09,-687.9999999999998,421.0000000000065,-204.99999999999963,-1217.9999999999857,-354.9999999999942,109.00000000000354,-259.00000000000034,256.0000000000007,,-1938.9999999999688
2017.01.09,-627.9999999999841,411.00000000000136,-173.9999999999964,-1178.9999999999968,-329.99999999998585,96.00000000000719,-254.99999999999545,278.00000000000045,,-1780.9999999999495
2017.01.09,-697.9999999999986,337.0000000000033,-251.00000000000122,-1445.9999999999918,-344.99999999999534,117.00000000001154,-260.0000000000051,236.99999999999832,,-2308.999999999979
2017.01.09,-845.9999999999912,271.0000000000008,-312.00000000000114,-1690.999999999998,-391.9999999999924,103.99999999999298,-262.00000000000045,342.9999999999933,,-2784.999999999996
2017.01.09,-834.0000000000014,338.0000000000081,-286.99999999999284,-1634.9999999999864,-342.9999999999822,171.99999999999437,-272.00000000000557,361.0000000000002,,-2499.9999999999654
2017.01.09,-709.9999999999884,176.00000000000193,-356.00000000000074,-1570.999999999989,-356.9999999999851,35.999999999991594,-301.00000000000193,313.99999999999204,,-2768.999999999979
