date,GBPUSD,USDCAD,AUDUSD,AUDJPY,empty,sum
2021.02.01,-1.999999999990898,55.000000000005045,-28.000000000005798,-51.9999999999925,,-26.999999999984148
2021.02.01,19.999999999997797,22.0000000000109,-56.0000000000005,-105.00000000000398,,-118.99999999999578
2021.02.01,35.00000000000725,296.9999999999917,98.99999999999353,96.00000000000364,,526.9999999999961
2021.02.01,55.000000000005045,170.00000000000347,4.999999999999449,22.00000000000557,,252.00000000001356
2021.02.01,-42.999999999993044,63.99999999999739,-103.00000000000864,-75.9999999999934,,-157.9999999999977
2021.02.01,-136.00000000000279,83.9999999999952,-124.00000000000189,-85.99999999999852,,-262.000000000008
2021.02.01,-242.00000000000887,-60.99999999999994,-209.9999999999991,-126.99999999999534,,-640.0000000000033
2021.02.01,-180.0000000000024,41.000000000002146,-158.0000000000026,-128.0000000000001,,-425.00000000000296
2021.02.01,-262.00000000000665,-5.999999999994898,-235.00000000000742,-230.00000000000398,,-733.000000000013
2021.02.01,-228.99999999999034,-25.00000000000835,-213.00000000000762,-209.99999999999375,,-677.0
2021.02.01,-297.9999999999983,-83.9999999999952,-273.000000000001,-237.99999999999955,,-892.9999999999941
2021.02.01,-331.999999999999,-106.00000000000608,-289.0000000000059,-259.9999999999909,,-987.0000000000018
2021.02.01,-312.00000000000114,-89.99999999999008,-279.00000000000705,-236.99999999999477,,-917.9999999999931
2021.02.01,-293.0000000000099,-104.99999999999955,-302.0000000000023,-289.99999999999204,,-990.0000000000038
2021.02.01,-292.00000000000335,-136.00000000000279,-299.00000000000483,-259.9999999999909,,-987.0000000000018
2021.02.01,-434.000000000001,-181.9999999999933,-369.0000000000082,-325.00000000000284,,-1310.0000000000055
2021.02.01,-395.99999999999636,-198.99999999999363,-392.00000000000347,-361.99999999999477,,-1348.9999999999882
2021.02.01,-375.9999999999986,-175.99999999999838,-367.0000000000062,-328.9999999999935,,-1247.9999999999968
2021.02.01,-300.99999999999574,-153.00000000000313,-346.0000000000019,-352.99999999999443,,-1152.999999999995
2021.02.01,-337.0000000000095,-117.99999999999588,-294.00000000000534,-308.9999999999975,,-1058.0000000000082
2021.02.01,-268.0000000000016,21.00000000000435,-179.00000000000693,-204.9999999999983,,-631.0000000000025
2021.02.01,-200.00000000000017,177.00000000000495,-56.0000000000005,-156.99999999999648,,-235.9999999999922
2021.02.01,-350.00000000000585,48.000000000003595,-179.00000000000693,-292.0000000000016,,-773.0000000000108
2021.02.01,-262.00000000000665,72.0000000000054,-177.00000000000495,-289.0000000000015,,-656.0000000000077
2021.02.01,-100.99999999999554,141.99999999999767,-111.00000000000554,-230.99999999999454,,-300.99999999999795
2021.02.01,-158.99999999999804,188.9999999999947,-52.000000000007596,-179.00000000000205,,-201.00000000001296
2021.02.01,-113.00000000000753,146.00000000000168,-137.00000000000932,-266.9999999999959,,-371.0000000000111
2021.02.01,-55.000000000005045,226.99999999999943,-126.0000000000039,-240.99999999999966,,-195.00000000000918
2021.02.01,-116.00000000000499,204.00000000000418,-95.00000000000064,-215.99999999999397,,-222.99999999999542
2021.02.01,-7.0000000000014495,212.99999999999653,-52.000000000007596,-200.9999999999934,,-47.00000000000591
2021.02.01,219.99999999999798,310.9999999999946,-31.000000000003247,-209.99999999999375,,289.9999999999956
2021.02.01,246.99999999999721,330.0000000000081,-42.0000000000087,-194.99999999999318,,340.0000000000034
2021.02.01,99.00000000000463,116.00000000000499,-107.00000000000153,-225.9999999999991,,-117.99999999999102
2021.02.01,268.0000000000016,269.00000000000813,12.999999999996348,-164.00000000000148,,386.00000000000466
2021.02.01,225.00000000000853,235.00000000000742,-75.00000000000284,-200.00000000000284,,185.00000000001023
2021.02.01,402.9999999999978,510.99999999999477,23.999999999990695,-140.99999999999113,,796.999999999992
2021.02.01,286.99999999999284,466.9999999999952,-42.0000000000087,-183.9999999999975,,527.9999999999818
2021.02.01,314.99999999999864,429.00000000001273,-16.0000000000049,-201.99999999999818,,526.0000000000083
2021.02.01,310.0000000000103,493.0000000000101,-37.00000000000925,-228.9999999999992,,537.000000000012
2021.02.01,272.99999999998994,451.0000000000014,-54.00000000000959,-250.0,,419.9999999999818
