date,GBPUSD,EURUSD,USDJPY,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,CADJPY,NZDCAD,AUDNZD,empty,sum
2020.06.29,-259.9999999999936,0.0,-168.99999999999693,-182.00000000000438,-171.00000000001003,-43.99999999999693,-36.999999999998145,-118.00000000000699,0.0,-45.99999999999049,0.0,0.0,0.0,-95.99999999998943,-229.00000000000142,0.0,,-1351.9999999999882
2020.06.29,-204.99999999998852,42.0000000000087,-128.0000000000001,-178.99999999999582,-150.00000000000568,7.000000000005002,-31.999999999998696,-100.00000000000009,62.99999999998818,-224.000000000002,212.0000000000033,116.00000000000499,144.0000000000108,-64.99999999999773,-221.99999999999997,70.0000000000145,,-650.9999999999532
2020.06.29,-156.00000000000057,24.000000000001798,-165.99999999999682,-158.99999999999804,-109.00000000000354,-4.0000000000048885,-10.999999999994348,-94.00000000000519,0.9999999999763531,-14.000000000002899,232.99999999998988,211.00000000000563,266.999999999995,-52.99999999999727,-268.99999999999704,59.000000000009045,,-240.00000000002296
2020.06.29,-181.9999999999933,78.00000000000028,-105.00000000000398,-185.00000000000182,-143.00000000000423,51.00000000000193,-48.99999999999905,-126.99999999999933,103.999999999985,28.000000000005798,265.99999999999113,232.99999999999432,246.00000000001288,-94.99999999999886,-256.0000000000007,130.0000000000079,,-6.000000000002075
2020.06.29,-174.00000000000747,52.000000000007596,-140.00000000000057,-180.0000000000024,-137.00000000000932,78.00000000000296,-54.999999999993946,-126.99999999999933,95.99999999997522,82.00000000000429,262.00000000000045,225.00000000000853,248.00000000000378,-110.99999999999,-267.00000000000614,125.00000000001954,,-22.999999999986798
2020.06.29,-215.99999999999397,52.000000000007596,-170.0000000000017,-238.0000000000049,-173.00000000000094,69.00000000000261,-73.00000000000084,-180.0000000000024,99.99999999999432,101.00000000001774,262.00000000000045,201.00000000000674,136.00000000000279,-132.99999999999557,-304.9999999999997,131.99999999999878,,-434.99999999996896
2020.06.29,-191.00000000000784,52.000000000007596,-173.99999999999238,-219.99999999999798,-164.00000000000858,82.00000000000784,-80.00000000000229,-174.00000000000747,89.99999999997499,28.000000000005798,269.999999999996,161.99999999999548,153.00000000000313,-153.99999999999636,-277.000000000005,150.00000000000568,,-447.0000000000214
2020.06.29,-319.0000000000026,80.00000000001339,-207.9999999999984,-251.00000000000122,-261.0000000000001,105.00000000000398,-131.00000000000333,-253.99999999999866,212.99999999999386,97.00000000001374,325.9999999999934,100.99999999999554,-15.999999999993797,-265.00000000000057,-246.00000000000176,198.00000000000927,,-830.9999999999773
2020.06.29,-353.99999999998766,142.0000000000199,-313.0000000000024,-307.0000000000017,-303.0000000000088,224.00000000000375,-185.99999999999727,-267.00000000000614,434.99999999997385,-0.9999999999843467,482.9999999999899,72.99999999998974,-1.999999999990898,-376.99999999999534,-278.9999999999959,101.00000000001774,,-930.9999999999754
2020.06.29,-367.0000000000062,177.00000000000495,-243.99999999999977,-322.00000000000006,-306.00000000000625,189.99999999999773,-165.00000000000404,-256.0000000000007,427.99999999999727,66.00000000001049,506.9999999999908,112.000000000001,55.000000000005045,-316.99999999999307,-309.0000000000037,116.00000000000499,,-635.0000000000016
2020.06.29,-472.9999999999901,184.00000000000637,-222.99999999999898,-365.0000000000042,-356.00000000000074,192.00000000000728,-158.0000000000026,-321.0000000000046,396.99999999999136,69.00000000000794,500.0,121.99999999999989,-92.00000000000318,-302.99999999999727,-329.00000000000153,145.00000000001734,,-1010.9999999999729
