date,EURUSD,USDJPY,USDCAD,CHFJPY,EURJPY,EURNZD,NZDCAD,empty,sum
2019.04.08,-26.0000000000149,-69.00000000000261,-36.999999999998145,-31.00000000000591,-33.00000000000125,-87.00000000001484,73.99999999999629,,-209.00000000004133
2019.04.08,21.999999999988695,-64.00000000000716,-38.99999999998904,-64.00000000000716,36.000000000001364,113.99999999999189,44.99999999999504,,49.999999999973625
2019.04.08,40.99999999997994,-58.000000000006935,9.000000000014552,-108.00000000000409,68.00000000001205,72.99999999998974,97.00000000000264,,121.99999999998789
2019.04.08,41.99999999998649,-46.00000000000648,41.000000000002146,-104.00000000001342,55.00000000000682,187.99999999998818,16.0000000000049,,191.99999999996862
2019.04.08,28.999999999990145,-43.00000000000637,69.00000000000794,-101.0000000000133,36.000000000001364,217.99999999998488,-26.999999999999247,,180.99999999996544
2019.04.08,38.99999999998904,-82.00000000000784,80.00000000001339,-121.00000000000932,94.0000000000083,212.99999999999653,-26.000000000003798,,196.9999999999863
2019.04.08,47.99999999998139,-19.000000000005457,8.000000000008,-69.00000000000261,31.00000000000591,366.999999999984,-51.000000000001044,,314.9999999999702
2019.04.08,32.999999999994145,125.99999999999056,-0.9999999999843467,44.999999999987494,-147.99999999999613,245.99999999999068,9.999999999998899,,310.9999999999813
2019.04.08,38.99999999998904,153.99999999999636,53.999999999998494,40.99999999999682,-173.99999999999238,285.99999999998624,-46.999999999997044,,352.9999999999775
2019.04.08,59.99999999999339,128.0000000000001,100.99999999999554,-3.0000000000001137,-120.99999999999511,227.99999999998377,-27.999999999994696,,364.9999999999829
2019.04.08,81.9999999999821,197.9999999999933,97.00000000001374,48.99999999999238,-174.99999999999716,289.9999999999903,-41.9999999999976,,498.99999999997704
2019.04.08,108.99999999998133,239.99999999999488,107.00000000001265,67.99999999999784,-189.99999999999773,240.9999999999801,-0.999999999995449,,573.9999999999736
2019.04.08,119.99999999998678,248.99999999999523,87.99999999999919,51.9999999999925,-188.99999999999295,275.9999999999874,2.000000000002,,597.9999999999702
2019.04.08,148.99999999999915,225.9999999999991,32.0000000000098,22.999999999996135,-129.99999999999545,404.9999999999887,-7.0000000000014495,,697.9999999999959
2019.04.08,142.99999999998204,266.9999999999959,33.00000000001635,42.999999999992156,-183.9999999999975,331.999999999999,27.999999999994696,,661.9999999999826
2019.04.08,164.99999999999292,234.99999999999943,43.00000000001525,11.999999999986244,-123.99999999999523,349.99999999998363,24.999999999997247,,705.9999999999795
2019.04.08,144.99999999999514,253.99999999999068,14.000000000002899,50.99999999998772,-167.99999999999216,334.9999999999964,38.0000000000047,,668.9999999999853
2019.04.08,116.99999999998934,205.99999999998886,34.000000000000696,36.99999999999193,-143.99999999999125,312.00000000000114,14.000000000002899,,575.9999999999836
2019.04.08,115.99999999998278,199.99999999998863,-38.99999999998904,54.99999999999261,-137.99999999999102,345.99999999997965,48.000000000003595,,587.9999999999673
2019.04.08,124.99999999999733,188.99999999999295,-0.9999999999843467,86.99999999998909,-115.99999999999966,295.0000000000008,56.0000000000005,,634.9999999999966
2019.04.08,112.99999999998533,182.00000000000216,39.00000000001125,75.9999999999934,-120.99999999999511,290.9999999999968,22.999999999995246,,602.9999999999891
2019.04.08,143.99999999998857,179.9999999999926,62.000000000006494,88.99999999999864,-84.99999999999375,248.99999999998812,55.000000000005045,,693.9999999999857
2019.04.08,182.99999999999983,155.9999999999917,7.0000000000014495,30.9999999999917,-15.000000000000568,332.9999999999833,75.9999999999983,,770.9999999999657
2019.04.08,190.99999999998562,170.99999999999227,8.000000000008,135.99999999999568,-19.99999999999602,378.999999999996,60.99999999999994,,925.9999999999816
2019.04.08,210.99999999998343,170.99999999999227,60.99999999999994,111.99999999999477,1.0000000000047748,419.9999999999982,14.999999999998348,,990.9999999999717
2019.04.08,249.99999999999466,218.9999999999941,41.000000000002146,140.99999999999113,-9.999999999990905,442.9999999999934,51.99999999999649,,1135.9999999999811
2019.04.08,259.9999999999936,159.9999999999966,51.000000000001044,76.99999999999818,68.00000000001205,432.9999999999945,53.999999999998494,,1102.9999999999943
2019.04.08,287.9999999999994,164.99999999999204,46.0000000000127,66.99999999999307,94.0000000000083,483.99999999999557,53.00000000000304,,1197.0000000000039
2019.04.08,312.9999999999855,185.99999999999284,124.00000000001299,95.99999999998943,97.00000000000841,463.9999999999977,31.000000000003247,,1310.99999999999
2019.04.08,323.99999999999096,179.00000000000205,97.9999999999981,115.99999999999966,117.00000000000443,525.999999999982,26.999999999999247,,1386.9999999999766
2019.04.08,294.9999999999786,174.99999999999716,130.0000000000079,127.9999999999859,90.00000000000341,522.9999999999845,-19.999999999997797,,1320.9999999999598
2019.04.08,469.99999999999267,271.0000000000008,207.00000000000162,118.99999999999977,175.00000000001137,518.9999999999806,72.0000000000054,,1832.9999999999923
2019.04.08,551.9999999999969,307.00000000000216,390.0000000000015,47.99999999998761,225.9999999999991,583.9999999999845,-22.999999999995246,,2083.9999999999764
2019.04.08,587.9999999999885,319.9999999999932,400.00000000000034,67.99999999999784,256.0000000000002,561.9999999999958,12.000000000000899,,2205.999999999977
2019.04.08,545.9999999999799,244.99999999999034,601.000000000007,33.999999999991815,291.000000000011,458.9999999999872,-102.00000000000209,,2073.999999999965
2019.04.08,469.99999999999267,213.99999999999864,565.0000000000155,60.99999999999284,239.00000000000432,522.0000000000002,-172.00000000000549,,1898.9999999999986
2019.04.08,454.9999999999832,153.99999999999636,544.0000000000111,20.999999999986585,293.00000000000637,556.9999999999853,-190.00000000000128,,1833.9999999999677
