date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2018.01.08,-9.999999999998899,-1.999999999990898,-9.999999999998899,0.0,-41.99999999998649,-34.99999999999615,-99.00000000000463,-107.99999999998988,-92.00000000000318,-58.99999999999794,-168.99999999999693,-87.99999999999919,-155.00000000000114,-161.99999999999548,-81.00000000001728,-121.99999999999989,-28.999999999990145,-43.99999999999693,-1.0000000000047748,-34.99999999999659,-180.0000000000024,-116.00000000000499,,-1638.9999999999727
2018.01.08,-5.999999999994898,-1.999999999990898,22.999999999995246,-9.000000000000341,-17.999999999984695,7.9999999999968985,-56.99999999999594,-108.99999999999466,-102.00000000000209,-73.00000000000084,-189.99999999999017,-26.000000000003798,21.99999999999136,-156.99999999998494,-80.0000000000125,-100.99999999999554,46.0000000000127,16.000000000005343,-40.00000000000625,67.99999999999784,-171.99999999999437,-25.00000000000835,,-983.9999999999608
2018.01.08,-7.9999999999968985,-92.99999999998754,45.000000000006146,-34.000000000006025,-105.99999999998388,14.000000000002899,9.999999999998899,-60.000000000002274,-151.00000000000114,-114.00000000000298,-210.99999999999451,-16.0000000000049,52.99999999999727,-191.99999999999218,-177.99999999999727,-140.0000000000068,76.0000000000094,25.000000000005684,-109.99999999999943,85.99999999999852,-173.9999999999964,-5.000000000010552,,-1282.999999999964
2018.01.08,-13.999999999991797,-75.99999999998718,76.99999999999375,-42.00000000000159,-147.99999999999258,-38.0000000000047,46.999999999997044,23.000000000010346,-189.00000000000583,-70.99999999999883,-223.99999999999088,-14.000000000002899,185.00000000000227,-109.99999999998789,-173.00000000000182,-29.999999999996696,157.00000000000713,144.00000000000546,-67.00000000000728,114.99999999999488,-109.99999999999899,-119.00000000000244,,-676.9999999999607
2018.01.08,-27.999999999994696,-83.9999999999952,63.000000000013046,-22.00000000000557,-174.99999999999181,-67.00000000000594,71.99999999998319,-25.99999999999625,-206.00000000000617,-37.99999999999359,-227.99999999999488,-14.000000000002899,121.99999999998568,-51.000000000001044,-151.00000000001046,4.000000000004,259.0000000000092,138.9999999999958,6.000000000000227,90.99999999999397,-100.00000000000009,-124.00000000001299,,-558.0000000000266
2018.01.08,-13.999999999991797,-52.99999999999194,93.00000000000975,3.0000000000001137,-217.99999999998488,-46.999999999997044,79.99999999999119,-18.000000000000682,-216.0000000000051,-34.99999999999615,-200.99999999999562,-66.99999999999484,102.00000000000387,-14.000000000002899,-173.00000000000182,15.999999999993797,285.00000000000193,153.99999999999636,12.000000000000455,67.99999999999784,-65.00000000000395,-76.0000000000094,,-383.99999999998096
2018.01.08,-0.999999999995449,-163.00000000000205,148.99999999999915,7.999999999995566,-308.9999999999815,9.00000000000345,110.99999999999443,-12.999999999991019,-282.99999999999994,-102.99999999999754,-318.99999999999153,-82.99999999999974,90.00000000000341,-2.999999999997449,-243.99999999999977,-2.999999999997449,211.00000000000563,183.9999999999975,-69.00000000000261,119.99999999999034,-175.99999999999838,-163.00000000000205,,-1049.999999999967
2018.01.08,-15.999999999993797,-139.00000000000023,161.99999999999548,-19.000000000005457,-273.9999999999965,-34.000000000000696,154.99999999999403,-7.999999999995566,-257.0000000000072,-85.00000000000173,-326.9999999999995,-51.99999999999649,205.99999999998886,-35.999999999991594,-264.00000000001,-7.0000000000014495,253.00000000001432,212.0000000000033,-40.00000000000625,222.99999999999898,-195.9999999999962,-261.0000000000001,,-804.0000000000078
2018.01.08,-31.999999999998696,-147.99999999999258,110.00000000001009,-6.000000000000227,-218.99999999999142,-102.00000000000209,109.00000000000354,-22.999999999996135,-223.00000000000654,-58.000000000002494,-334.00000000000097,-29.999999999996696,203.9999999999793,-89.99999999999008,-213.99999999999864,-14.000000000002899,284.00000000001756,159.9999999999966,-14.000000000010004,237.99999999999955,-214.00000000000307,-339.0000000000004,,-954.9999999999864
2018.01.08,-66.99999999999484,-85.99999999998609,39.999999999995595,-63.00000000000239,-149.9999999999835,-189.00000000000583,92.00000000000318,-12.000000000000455,-204.00000000000418,31.000000000003247,-304.9999999999997,-17.000000000000348,174.99999999998295,-81.9999999999821,-176.00000000001614,-5.999999999994898,426.00000000001523,156.0000000000059,91.99999999999875,173.00000000000182,-188.9999999999947,-365.0000000000153,,-725.9999999999739
2018.01.08,-52.99999999999194,-24.999999999986144,49.99999999999449,-42.00000000000159,-143.99999999998857,-158.0000000000026,59.99999999999339,-4.9999999999954525,-208.00000000000819,23.00000000000635,-324.9999999999975,-31.999999999998696,134.9999999999909,-35.999999999991594,-161.00000000000136,7.0000000000014495,385.00000000001313,167.0000000000016,81.99999999999363,212.99999999999386,-214.99999999999852,-363.0000000000022,,-644.9999999999754
2018.01.08,-49.99999999999449,2.999999999997449,2.0000000000131024,-61.99999999999761,-141.99999999999767,-156.99999999999602,44.99999999998394,27.000000000001023,-199.00000000000472,56.0000000000005,-314.99999999999864,-24.000000000001798,116.99999999999022,14.000000000002899,-129.99999999999545,56.99999999999594,394.00000000000546,174.0000000000066,100.99999999999909,222.99999999999898,-210.99999999999451,-378.00000000001165,,-454.9999999999974
