,names,week,needed_features,accuracy
0,GBPUSD,10,['NZDJPY'],80.0
1,EURUSD,30,"['AUDUSD', 'GBPUSD']",80.0
2,USDJPY,15,"['AUDCAD', 'EURAUD', 'AUDUSD', 'AUDCHF']",100.0
3,GBPCHF,10,"['CADJPY', 'EURJPY']",100.0
4,EURCHF,20,['AUDCAD'],80.0
5,CADCHF,20,"['AUDCAD', 'EURUSD', 'NZDCAD', 'EURCAD']",80.0
6,NZDCHF,30,['AUDUSD'],100.0
7,EURGBP,10,"['CADJPY', 'EURJPY']",100.0
8,GBPJPY,50,['EURUSD'],80.0
9,GBPCAD,10,"['CADJPY', 'EURJPY', 'GBPJPY', 'AUDJPY', 'USDCAD']",100.0
10,EURCAD,10,"['AUDUSD', 'AUDJPY', 'EURUSD', 'NZDUSD']",80.0
11,EURAUD,15,['NZDJPY'],80.0
12,EURNZD,10,['AUDCHF'],80.0
13,AUDCAD,10,"['AUDUSD', 'AUDJPY', 'EURUSD', 'NZDUSD']",80.0
14,NZDCAD,10,"['AUDUSD', 'AUDJPY', 'EURUSD', 'NZDUSD']",100.0
